id,geom,subway_500,natural_500
32237240,"40.70649,-74.01227",7,18
32237306,"40.70586,-74.01078",8,6
32237394,"40.70789,-74.01229",6,21
32237413,"40.70631,-74.01098",8,7
32237469,"40.7074,-74.01175",6,8
32237493,"40.7065,-74.01171",7,9
32237560,"40.70721,-74.01044",7,5
32237566,"40.70648,-74.01241",7,20
32237634,"40.70642,-74.01045",7,6
32237640,"40.70734,-74.01056",6,6
32237692,"40.70767,-74.01061",6,7
32237736,"40.7065,-74.01019",7,6
32237768,"40.70656,-74.01092",7,7
32237811,"40.70797,-74.01227",6,19
32238040,"40.81359,-73.95246",0,0
32238106,"40.7072,-74.01214",7,15
32238131,"40.70731,-74.01056",6,6
32238198,"40.70782,-74.01066",6,7
32238229,"40.70584,-74.01045",8,5
32238253,"40.70569,-74.01183",6,9
32238307,"40.70574,-74.01023",6,5
32238324,"40.70621,-74.01054",8,7
32238387,"40.70766,-74.01114",6,8
32238391,"40.70569,-74.01077",6,6
32238462,"40.70748,-74.01042",6,6
32238473,"40.70581,-74.01226",7,17
32238548,"40.70764,-74.01077",6,8
32238621,"40.70644,-74.01188",7,10
32238694,"40.75431,-73.96518",1,4
32238730,"40.70785,-74.01239",6,21
32238809,"40.70599,-74.01201",8,11
32238821,"40.70731,-74.01021",6,5
32238933,"40.69344,-73.9652",0,0
32239033,"40.70583,-74.01089",8,6
32239034,"40.70651,-74.01252",7,20
32239035,"40.70599,-74.01064",8,6
32239039,"40.70775,-74.0105",6,7
32239170,"40.60525,-74.06745",0,0
32239551,"40.70706,-74.01036",7,6
32239640,"40.70632,-74.0116",8,9
32239738,"40.70563,-74.01097",5,6
32239944,"40.70702,-74.01087",7,7
32239950,"40.70595,-74.0118",8,9
32240068,"40.74554,-73.89831",2,0
32240076,"40.70637,-74.01199",7,12
32240110,"40.70609,-74.01219",8,15
32240183,"40.70581,-74.01101",7,6
32240186,"40.7074,-74.01218",6,15
32240388,"40.70722,-74.01023",7,5
32240417,"40.7074,-74.01043",6,6
32240476,"40.70654,-74.01091",7,7
32240488,"40.70757,-74.01111",6,7
32240533,"40.70765,-74.011",6,8
32240537,"40.70748,-74.01081",6,7
32240590,"40.70734,-74.01097",6,6
32240603,"40.70638,-74.01086",7,7
32240776,"40.68529,-73.94028",0,0
32240788,"40.70782,-74.01227",6,19
32240812,"40.70619,-74.01065",8,6
32240870,"40.65302,-73.97357",0,1
32240873,"40.70796,-74.01206",6,14
32240896,"40.70751,-74.01066",6,6
32240933,"40.70726,-74.0106",7,6
32240966,"40.7062,-74.01192",8,10
32240970,"40.70584,-74.01039",8,5
32241019,"40.70751,-74.01184",6,10
32241027,"40.7058,-74.01107",7,6
32241060,"40.70628,-74.01213",8,15
32241096,"40.70656,-74.01094",7,7
32241117,"40.70781,-74.01165",6,11
32241142,"40.70766,-74.01074",6,7
32241163,"40.70649,-74.01208",7,13
32241185,"40.7075,-74.01199",6,12
32241235,"40.70727,-74.01026",7,5
32241239,"40.63129,-73.92748",0,0
32241242,"40.70645,-74.01175",7,9
32241284,"40.70582,-74.01111",8,6
32241288,"40.70782,-74.0107",6,8
32241577,"40.70762,-74.01105",6,8
32241600,"40.7062,-74.01092",8,6
32242139,"40.67655,-73.97697",0,0
32242353,"40.68429,-73.92515",0,0
32242547,"40.7597,-73.97916",1,12
32242848,"40.73834,-73.79209",0,0
32244500,"40.69754,-73.91465",2,0
32244701,"40.7588,-73.9922",1,1
32244865,"40.64464,-73.96453",2,0
32245235,"40.72576,-73.98309",0,2
32250920,"40.71989,-73.9581",0,2
32251219,"40.6923,-73.9328",0,1
32251904,"40.73907,-73.82943",0,0
32252006,"40.77315,-73.89908",0,0
32252190,"40.73784,-73.79101",0,0
32253160,"40.73704,-73.79151",0,0
32257766,"40.69534,-73.91777",2,0
32260219,"40.74311,-73.88098",0,0
32260853,"40.7079,-73.94608",1,0
32263166,"40.8474,-73.89612",0,0
32264646,"40.665,-73.95362",0,0
32266199,"40.71683,-74.00574",1,4
32267097,"40.73394,-73.95174",0,1
32267833,"40.83099,-73.86951",0,0
32268791,"40.68272,-73.9303",0,0
32270481,"40.72716,-73.9783",0,3
32270656,"40.749,-73.91858",0,0
32271293,"40.82153,-73.95458",0,1
32272051,"40.70525,-73.93363",1,1
32272082,"40.76218,-73.94897",1,2
32272829,"40.71356,-73.96751",0,2
32273036,"40.74609,-73.90632",0,0
32278370,"40.72871,-73.86014",0,1
32281241,"40.79616,-73.93343",0,1
32281512,"40.67959,-73.96736",0,2
32282597,"40.64941,-73.93451",0,0
32283154,"40.6892,-73.95213",0,0
32284162,"40.71294,-73.96142",0,1
32284611,"40.71297,-73.95139",1,0
32284628,"40.80129,-73.94466",1,1
32284910,"40.76599,-73.8693",0,0
32285425,"40.69429,-73.98415",0,0
32285578,"40.67863,-73.82648",0,0
32286305,"40.76324,-73.96382",0,1
32286787,"40.70684,-73.94932",0,0
32286975,"40.68723,-73.91451",0,0
32287174,"40.68846,-73.96139",0,0
32288165,"40.79658,-73.93284",0,2
32291033,"40.77405,-73.9623",0,2
32291088,"40.68194,-73.98033",3,0
32291385,"40.72694,-73.98501",0,2
32291386,"40.74101,-73.99471",0,0
32291500,"40.68981,-73.91299",0,0
32291826,"40.71751,-73.94474",1,0
