id,geom,subway_500,natural_500
10675218,"40.80523,-73.93929",1,1
10676786,"40.64179,-74.01147",0,0
10676959,"40.80097,-73.9489",0,1
10677426,"40.7276,-74.00075",0,2
10679702,"40.68256,-73.96108",1,0
10679740,"40.71507,-73.94093",0,0
10680745,"40.72553,-73.9777",0,3
10681362,"40.67755,-73.95108",1,0
10681555,"40.7653,-73.98536",1,4
10681986,"40.83865,-73.93782",1,1
10682290,"40.70123,-73.91865",1,0
10682316,"40.69887,-73.9227",2,0
10682536,"40.71455,-73.9618",0,1
10684164,"40.64945,-73.9624",2,1
10684843,"40.73242,-74.00411",2,1
10685403,"40.697,-73.92176",2,0
10685496,"40.7794,-73.91646",0,2
10686287,"40.7388,-73.98024",0,2
10686350,"40.71287,-73.99573",0,1
10686406,"40.76446,-73.92988",0,0
10686809,"40.67706,-73.98227",0,1
10686958,"40.86679,-73.92699",0,2
10692885,"40.74237,-74.00063",0,2
10695252,"40.72112,-74.00039",0,0
10695321,"40.64205,-73.96622",2,0
10696159,"40.67631,-73.97224",0,2
10697652,"40.68696,-73.91382",0,0
10701027,"40.6803,-73.96261",0,1
10702489,"40.64266,-73.96492",2,0
10702506,"40.72215,-73.98496",1,3
10702865,"40.72523,-74.00127",0,0
10704981,"40.79816,-73.97178",1,1
10708300,"40.6643,-73.95196",0,0
10709205,"40.79018,-73.94689",0,4
10709249,"40.682,-73.91851",0,0
10709846,"40.73539,-73.95838",0,2
10710179,"40.72999,-73.98275",0,4
10719039,"40.88777,-73.9059",0,0
10723142,"40.76061,-73.91767",0,0
10724373,"40.73804,-73.9852",0,2
10724792,"40.75279,-73.97251",2,4
10725897,"40.71504,-73.93613",0,1
10729454,"40.76797,-73.95369",0,1
10729951,"40.6936,-73.94864",0,0
10730086,"40.68995,-73.92844",0,1
10731035,"40.76175,-73.99041",1,1
10731317,"40.77141,-73.9534",0,1
10731618,"40.74095,-73.98554",0,2
10731680,"40.75981,-73.99071",1,1
10732197,"40.76189,-73.94934",1,3
10732341,"40.76443,-73.95833",0,1
10732870,"40.83365,-73.94459",0,1
10733505,"40.76504,-73.98856",1,2
10741931,"40.5903,-73.79247",0,1
10746511,"40.6713,-73.95603",1,0
10747156,"40.73462,-73.85705",0,0
10748040,"40.82903,-73.94747",0,1
10751336,"40.80554,-73.96422",0,4
10752737,"40.71823,-73.98319",1,0
10753780,"40.6837,-73.96505",0,2
10753967,"40.71113,-73.95457",1,0
10755415,"40.80526,-73.95509",0,2
10755419,"40.71331,-73.99822",0,4
10755640,"40.65846,-73.9489",0,0
10755963,"40.64528,-73.93457",0,0
10765309,"40.73303,-74.00118",2,2
