id,geom,subway_500,natural_500
35233735,"40.75501,-73.99376",3,0
35233790,"40.70696,-73.94377",0,0
35233799,"40.76251,-73.86722",0,0
35233865,"40.65902,-73.73783",0,1
35233897,"40.70473,-74.01582",4,21
35233962,"40.75287,-73.98631",3,16
35233998,"40.69041,-73.99777",0,4
35235212,"40.73611,-73.86401",0,1
35235326,"40.69447,-73.91364",1,0
35235379,"40.7363,-73.86316",0,1
35235701,"40.75728,-73.80072",0,0
35236040,"40.74614,-74.00168",0,0
35236345,"40.74239,-73.89454",4,0
35236534,"40.74258,-73.89315",4,0
35236795,"40.71419,-73.95967",0,0
35237543,"40.86871,-73.8474",1,0
35237894,"40.75392,-73.96862",2,4
35238264,"40.8127,-73.96163",0,1
35238691,"40.70478,-73.93851",1,0
35238986,"40.89147,-73.84747",0,0
35240782,"40.72685,-73.98349",0,2
35240989,"40.80618,-73.94618",0,0
35247268,"40.76495,-73.98784",1,2
35247808,"40.72993,-73.98319",0,4
35249301,"40.72757,-74.00059",0,2
35249458,"40.82778,-73.91516",0,1
35249610,"40.76605,-73.99193",0,2
35249977,"40.68559,-73.95478",0,0
35250139,"40.70149,-73.92768",1,0
35250568,"40.76542,-73.92607",0,0
35251282,"40.79523,-73.94956",0,4
35251947,"40.58485,-73.81482",0,1
35252356,"40.73927,-73.98774",0,2
35252509,"40.74575,-74.01052",0,1
35252737,"40.74832,-73.98126",3,1
35253003,"40.74854,-73.94908",1,1
35253668,"40.6624,-73.76348",0,2
35255732,"40.70012,-73.89451",0,0
35256322,"40.66459,-73.96629",1,19
35257081,"40.80486,-73.94754",0,0
35257168,"40.68213,-73.9538",1,0
35257699,"40.76273,-73.99028",1,1
35257756,"40.73129,-74.00661",2,2
35258971,"40.68543,-73.92068",0,0
35259405,"40.72085,-73.79179",0,0
35259569,"40.68027,-73.94358",0,0
35260351,"40.79164,-73.97361",1,1
35260483,"40.76476,-73.98871",1,2
35260885,"40.70912,-74.00671",5,4
35260994,"40.72435,-73.99419",0,2
35261255,"40.74833,-73.93682",1,0
35261651,"40.76671,-73.95286",0,2
35261660,"40.67038,-73.92962",0,0
35262025,"40.60585,-74.13331",0,0
35262429,"40.69694,-73.90766",1,0
35262444,"40.85457,-73.92778",0,1
35262475,"40.67132,-73.93003",0,0
35262993,"40.67144,-73.93182",0,0
35263166,"40.69134,-73.92768",0,1
35263416,"40.75152,-73.97313",2,3
35263825,"40.81203,-73.90779",0,0
35263872,"40.81494,-73.96041",0,1
35264260,"40.69367,-73.96424",0,0
35264702,"40.81489,-73.95842",0,1
35265039,"40.84607,-73.9071",0,0
35265786,"40.756,-73.91589",0,0
35265962,"40.82155,-73.93927",1,1
35266157,"40.68896,-73.99734",0,3
35266422,"40.6905,-73.93877",0,0
35266495,"40.76179,-73.96427",0,1
35266709,"40.75926,-73.82641",0,0
35267090,"40.67768,-73.94332",0,0
35267137,"40.73872,-73.92696",0,0
35267420,"40.67621,-73.78279",0,1
35267761,"40.76774,-73.87358",0,0
35268203,"40.78481,-73.95303",0,1
35268366,"40.75049,-73.89368",4,0
35268488,"40.74434,-73.90347",0,0
35268573,"40.74283,-73.90303",0,0
35268637,"40.74615,-73.89953",0,0
35268673,"40.74171,-73.87645",0,0
35268730,"40.74066,-73.87755",0,0
35268845,"40.75365,-73.92247",0,0
35268861,"40.74,-73.87734",0,0
35268953,"40.74045,-73.87776",0,0
35269041,"40.73847,-73.8775",0,0
35269083,"40.69174,-73.93094",0,1
35269107,"40.68833,-73.95055",0,0
35269147,"40.68787,-73.94973",0,0
35275242,"40.74774,-73.94757",1,1
35275591,"40.69704,-73.96704",0,1
35275920,"40.58825,-73.81208",0,1
35277302,"40.84853,-73.93805",1,1
35278838,"40.64184,-73.99102",1,0
35280902,"40.70736,-74.00965",6,6
35281242,"40.73081,-74.00089",1,2
35281731,"40.69852,-73.99606",0,6
35281795,"40.76411,-73.92076",0,0
35282511,"40.78085,-73.97508",0,3
35282577,"40.66277,-73.76336",0,2
35282883,"40.70694,-74.007",5,5
35283406,"40.68739,-73.97212",3,0
35283631,"40.82512,-73.93817",1,1
35283648,"40.75946,-73.89019",0,0
35283981,"40.74469,-74.00535",0,1
35284044,"40.71346,-73.95884",0,0
35284206,"40.64224,-73.95824",1,0
35284472,"40.70161,-73.90484",2,0
35284533,"40.75837,-73.93429",0,0
35284618,"40.69044,-73.95893",0,0
35285031,"40.76011,-73.88833",0,0
35285908,"40.6821,-73.95279",1,0
35286246,"40.76928,-73.96675",0,5
35287089,"40.76918,-73.9667",0,5
35287395,"40.68936,-73.83357",0,0
35287808,"40.76615,-73.95639",0,1
35288297,"40.69722,-73.98467",1,1
35288505,"40.6946,-73.93448",1,1
35288933,"40.70528,-73.90896",1,0
35289004,"40.74338,-73.92191",0,1
35289022,"40.80224,-73.94231",1,0
35289875,"40.71357,-73.8794",0,0
35290565,"40.69423,-73.94627",0,0
35290739,"40.70785,-74.00645",5,4
35290892,"40.80224,-73.95168",0,1
35291681,"40.74329,-73.8787",0,0
35292625,"40.76479,-73.98667",1,3
35297214,"40.73999,-73.99806",0,1
35301609,"40.65842,-73.96044",2,2
35301999,"40.7665,-73.98673",1,3
35303893,"40.7455,-73.99714",1,0
35304260,"40.74793,-73.92034",0,1
35304831,"40.75949,-73.98825",1,1
35304884,"40.72896,-73.99201",0,1
35305083,"40.77574,-73.95331",0,0
35305338,"40.72608,-73.82038",0,1
35306652,"40.79798,-73.93972",0,0
35308120,"40.74505,-74.00298",0,1
35309370,"40.71004,-73.95577",1,0
35310307,"40.76228,-73.94272",0,2
35310394,"40.75606,-73.98871",2,6
