id,geom,subway_500,natural_500
23103116,"40.79661,-73.93832",0,1
23104347,"40.69017,-73.86683",0,0
23105516,"40.8987,-73.86389",0,0
23105764,"40.77074,-73.87342",0,0
23106013,"40.72651,-73.99196",0,1
23106106,"40.80017,-73.93812",0,0
23106220,"40.68928,-73.95541",0,0
23106361,"40.82748,-73.95083",0,1
23106431,"40.6896,-73.95653",0,0
23106518,"40.71191,-73.90631",0,0
23106900,"40.80022,-73.96301",0,2
23107316,"40.73716,-73.99764",1,1
23108435,"40.75524,-73.90701",0,0
23108652,"40.71147,-73.96",0,0
23108877,"40.79728,-73.97348",1,1
23109325,"40.84693,-73.94205",0,1
23109329,"40.6897,-73.96535",0,0
23110037,"40.67544,-73.94023",0,0
23110266,"40.72943,-73.99277",0,1
23111211,"40.74107,-73.988",0,2
23111561,"40.71608,-73.99081",1,2
23116453,"40.8273,-73.88906",0,1
23118522,"40.6786,-73.98705",0,1
23120062,"40.7592,-73.97017",2,3
23120142,"40.84882,-73.90263",0,0
23120678,"40.79037,-73.9458",0,1
23122597,"40.59868,-73.99202",0,0
23122670,"40.6752,-73.96385",1,0
23123189,"40.68206,-73.95998",1,0
23124338,"40.85662,-73.89797",0,0
23126553,"40.77418,-73.91889",0,0
23126790,"40.69126,-73.97186",0,0
23126850,"40.75287,-73.99066",3,0
23127656,"40.72836,-73.99961",0,2
23127964,"40.72605,-74.00072",0,1
23128067,"40.70425,-73.92624",0,1
23128247,"40.64593,-73.97745",0,1
23128460,"40.77029,-73.95526",0,1
23129639,"40.69113,-73.86778",0,0
23129919,"40.67226,-73.97251",0,1
23130144,"40.7675,-73.90911",0,0
23131011,"40.66322,-73.95142",0,0
23131033,"40.64086,-73.9547",0,0
23131155,"40.70828,-73.75276",0,0
23131354,"40.66186,-73.99505",0,0
23131463,"40.74216,-73.99673",0,0
23131496,"40.73799,-73.97821",0,3
23136074,"40.75584,-73.99559",2,3
23139166,"40.71662,-73.94514",1,0
23139647,"40.86578,-73.86534",0,0
23142074,"40.64726,-73.95937",3,0
23142952,"40.83416,-73.94375",0,1
23143173,"40.68822,-73.9124",0,0
23144059,"40.79298,-73.97249",1,1
23145289,"40.71264,-73.96461",0,2
23147603,"40.72421,-73.94074",0,1
23148112,"40.63012,-74.13512",0,0
23149641,"40.75546,-73.99582",2,3
23150033,"40.61182,-73.95436",2,0
23151066,"40.77579,-73.95628",0,1
23154138,"40.7216,-73.98959",1,2
23156950,"40.74879,-73.88342",0,0
23158057,"40.68293,-73.98849",0,1
23158770,"40.69564,-73.85052",0,1
23160162,"40.70569,-73.95301",0,0
23161182,"40.7255,-73.84755",0,0
23163660,"40.76444,-73.86907",0,0
23164537,"40.84718,-73.91378",0,0
23166224,"40.69874,-73.92496",1,0
23166555,"40.77394,-73.95252",0,1
23166556,"40.75115,-73.99787",1,2
23166697,"40.68706,-73.95637",0,0
23166922,"40.80115,-73.96282",0,2
23168904,"40.7681,-73.82265",0,0
23169146,"40.74786,-73.94628",1,0
23170204,"40.74405,-73.97596",0,1
23170592,"40.71937,-73.90442",0,0
23171129,"40.74668,-73.97309",0,3
23171917,"40.71967,-73.99583",0,2
23172490,"40.74759,-73.91446",0,1
23177964,"40.6455,-73.95975",3,0
23179415,"40.654,-73.96209",3,1
23183557,"40.68357,-73.93753",0,0
23184420,"40.71172,-73.98864",0,2
23184752,"40.69076,-73.95883",0,0
23184876,"40.6844,-73.98669",0,1
23185690,"40.84857,-73.94193",1,1
23188573,"40.84777,-73.94178",0,1
23188871,"40.84643,-73.94187",0,1
23189933,"40.82015,-73.95747",0,1
23190292,"40.77226,-73.95631",0,0
23191484,"40.68261,-73.95187",1,0
23195752,"40.79788,-73.96235",0,1
23199948,"40.74827,-73.98828",2,1
23200628,"40.8298,-73.93984",0,1
23201228,"40.73091,-74.00002",1,2
23203149,"40.69839,-73.92044",1,0
23203929,"40.77722,-73.97834",2,6
23204924,"40.68651,-73.96604",0,0
23207975,"40.70663,-73.89709",1,0
23213107,"40.74301,-73.8954",4,0
23214720,"40.79408,-73.97392",1,1
23214729,"40.67616,-73.96466",0,2
23216187,"40.67671,-73.94938",0,0
23216381,"40.72742,-73.95066",0,0
23216832,"40.71619,-73.95641",1,0
23217530,"40.67184,-73.94041",0,0
23218152,"40.72672,-73.9517",0,0
23218579,"40.72612,-73.95691",0,2
23219361,"40.59078,-74.07504",0,5
23219659,"40.70757,-73.95387",1,0
23221495,"40.7149,-73.80916",0,0
23221581,"40.64279,-74.00515",0,0
23222091,"40.80086,-73.93979",1,0
23222310,"40.68901,-73.90768",1,0
23222680,"40.76163,-73.97113",2,7
23223028,"40.69472,-73.98337",0,0
23229152,"40.64109,-73.97503",0,0
23230395,"40.74524,-73.8876",4,0
23232087,"40.83118,-73.94325",0,0
23233925,"40.77603,-73.95573",0,0
23235101,"40.68807,-73.93634",0,1
23235139,"40.64745,-73.94413",0,0
23235654,"40.77506,-73.95335",0,0
23235762,"40.69109,-73.99654",0,4
23236828,"40.83168,-73.91977",0,1
23237952,"40.69306,-73.94475",0,0
23238781,"40.6893,-73.94573",0,0
23240738,"40.77354,-73.82371",0,0
23247351,"40.6943,-73.93935",1,0
23247442,"40.63462,-74.08136",0,0
23247514,"40.68082,-73.92162",0,0
23249573,"40.65511,-74.001",0,2
23250710,"40.72923,-73.98197",0,3
23251395,"40.70468,-73.92481",0,1
23251417,"40.77202,-73.91292",0,0
23251775,"40.71399,-73.95363",1,0
23252265,"40.739,-74.00115",0,2
23252443,"40.75377,-73.97223",3,4
23252588,"40.67914,-74.0063",0,1
23253216,"40.70991,-73.91832",0,1
23254023,"40.8315,-73.92047",0,1
23254776,"40.67294,-73.95943",1,1
23254924,"40.71483,-73.99287",1,1
23255800,"40.70794,-73.94532",1,0
23256023,"40.68215,-73.97372",3,2
23256828,"40.68705,-73.91425",0,0
23256946,"40.66179,-73.95879",1,5
23258602,"40.71335,-74.00687",5,7
23258639,"40.74482,-73.99882",0,0
23258724,"40.65774,-73.99927",0,2
23262857,"40.79701,-73.96933",1,1
23264421,"40.749,-73.97961",2,11
23265699,"40.76105,-73.82317",0,0
23268810,"40.80541,-73.93658",1,1
23269735,"40.69158,-73.95958",0,0
23270879,"40.72291,-73.94781",0,0
23271408,"40.70987,-73.98689",0,1
23271535,"40.71097,-73.9533",1,0
23271736,"40.69061,-73.99264",0,1
23273676,"40.71913,-73.99835",0,2
23273907,"40.60434,-74.0169",0,0
23274386,"40.78785,-73.94249",0,1
23274936,"40.71395,-73.91373",0,0
23275013,"40.71859,-73.95284",1,0
23275777,"40.73082,-73.86796",0,2
23277230,"40.76646,-73.9676",0,6
23277442,"40.64555,-74.00995",0,0
23278026,"40.67904,-73.94191",0,0
23285672,"40.86918,-73.8905",0,1
23285903,"40.66459,-73.98553",0,0
23287403,"40.64397,-73.96907",2,0
23288584,"40.76422,-73.98188",1,10
23288667,"40.60859,-73.99331",0,0
