id,geom,subway_500,natural_500
511960,"40.73044,-73.98683",0,3
512209,"40.69964,-73.99299",0,5
512210,"40.67709,-73.95237",2,0
512775,"40.75296,-73.93716",0,0
513343,"40.67717,-73.96915",0,3
513688,"40.68586,-73.9809",3,1
514457,"40.68543,-73.93838",0,0
514548,"40.69849,-73.92678",1,0
515392,"40.74348,-73.9998",0,1
516452,"40.68679,-73.97378",3,0
516461,"40.75086,-73.99776",1,0
516643,"40.71915,-73.95581",0,0
516791,"40.64625,-73.97932",0,1
517626,"40.71577,-73.94084",0,0
517654,"40.70278,-73.90153",1,0
518566,"40.77108,-73.95967",0,0
518576,"40.68812,-73.94627",0,0
518960,"40.82823,-73.94691",0,1
519310,"40.74377,-73.91225",0,1
521018,"40.69432,-73.96481",0,0
521038,"40.82749,-73.9382",1,1
521522,"40.66777,-73.98367",4,0
521672,"40.71423,-73.95305",1,0
521806,"40.72719,-73.86166",0,1
522081,"40.74341,-73.99298",1,3
523123,"40.66051,-73.98495",0,0
524111,"40.72915,-73.98019",0,3
525120,"40.74767,-74.01061",0,1
525293,"40.82822,-73.92439",0,1
525388,"40.73067,-73.955",0,0
525412,"40.72246,-73.99552",0,1
525523,"40.80762,-73.94017",1,1
526520,"40.67786,-73.97166",0,3
526532,"40.80719,-73.94253",1,0
526923,"40.74129,-73.98374",0,2
526942,"40.77761,-73.94606",0,3
527076,"40.76413,-73.96227",0,1
528485,"40.66119,-73.98822",0,0
530247,"40.78339,-73.98003",1,1
530431,"40.80654,-73.95019",0,0
530576,"40.78111,-73.97739",2,1
530632,"40.67147,-73.94979",0,0
531091,"40.75532,-73.91603",0,0
531208,"40.70762,-73.96764",0,1
531258,"40.7311,-73.99913",1,2
531455,"40.66199,-73.96294",1,12
532288,"40.73176,-73.99895",1,2
532749,"40.71606,-73.95526",1,0
533168,"40.72184,-73.9944",1,2
533506,"40.72829,-73.98156",0,3
533625,"40.69043,-73.95677",0,0
533927,"40.74403,-73.99581",0,1
534897,"40.74552,-74.0006",0,0
535095,"40.6744,-73.96558",0,1
535352,"40.79358,-73.97043",1,0
536578,"40.7014,-73.91333",3,0
538344,"40.72924,-73.98113",0,3
538590,"40.75919,-73.91836",0,0
539160,"40.83064,-73.94076",0,1
539350,"40.76184,-73.99334",1,2
540057,"40.82445,-73.95243",0,1
540489,"40.72006,-73.99579",0,2
541725,"40.71872,-73.96042",0,2
542054,"40.72855,-73.98265",0,3
542203,"40.76304,-73.9888",2,2
543792,"40.70878,-73.91727",0,0
544039,"40.64437,-74.00304",0,0
544131,"40.72987,-74.00082",1,2
544331,"40.77424,-73.94839",0,3
545261,"40.68752,-73.96688",0,0
545651,"40.65841,-73.95016",0,0
546383,"40.75578,-73.81948",0,0
546504,"40.69271,-73.99365",0,3
546573,"40.70587,-74.01534",7,21
547830,"40.64882,-73.9605",2,0
548133,"40.69073,-73.96762",0,0
548184,"40.72515,-73.95153",0,0
549873,"40.72564,-73.98252",0,2
550288,"40.78024,-73.94813",0,2
550653,"40.6599,-73.98279",0,0
550777,"40.7964,-73.9675",1,1
550858,"40.74664,-73.99441",2,1
552141,"40.71788,-73.98975",1,3
552519,"40.67356,-73.9425",0,0
552639,"40.81757,-73.94709",0,0
553516,"40.68052,-73.97254",3,2
553565,"40.86821,-73.92252",0,0
553862,"40.67981,-73.97967",1,0
554165,"40.68251,-73.98486",1,1
555206,"40.72718,-73.9812",0,2
557487,"40.72363,-73.9457",0,0
559511,"40.72697,-73.93921",0,1
560078,"40.72274,-73.97934",0,3
560406,"40.68343,-73.99189",0,1
563442,"40.73514,-73.99954",1,3
563496,"40.73481,-73.99845",1,2
564049,"40.80053,-73.96651",0,2
564184,"40.73971,-74.00221",0,2
564447,"40.75767,-73.99034",1,0
564751,"40.80165,-73.96287",0,2
565814,"40.68328,-73.9379",0,0
566712,"40.72819,-73.97933",0,4
566911,"40.68411,-73.93875",0,0
567195,"40.68269,-73.94004",0,0
568661,"40.70779,-73.92129",0,0
568684,"40.70202,-73.92402",2,0
568743,"40.72603,-73.98751",0,3
570218,"40.68522,-73.97771",3,0
570750,"40.67391,-73.94039",0,0
571564,"40.67436,-73.94807",0,0
573612,"40.81199,-73.95116",0,0
573671,"40.68586,-73.9501",0,0
573795,"40.65204,-73.94938",0,0
573870,"40.78292,-73.97438",0,3
575061,"40.71603,-73.95665",1,0
576227,"40.82446,-73.95274",0,1
576426,"40.7641,-73.98803",1,2
576916,"40.79785,-73.97202",1,1
577324,"40.76961,-73.90451",0,0
577703,"40.73047,-73.98229",0,4
577824,"40.6772,-73.9506",1,0
578267,"40.71328,-73.99315",1,2
578941,"40.66732,-73.98233",0,0
579716,"40.66488,-73.98079",0,0
580323,"40.78837,-73.94628",0,1
581180,"40.68232,-73.96501",0,2
581421,"40.73252,-73.95496",0,1
581542,"40.59783,-73.80158",0,0
582272,"40.72437,-73.94847",0,0
582372,"40.77115,-73.92275",0,0
583337,"40.67859,-73.99444",0,1
583352,"40.72304,-73.97923",0,3
584122,"40.77032,-73.99493",0,1
585369,"40.72692,-73.99948",0,2
585491,"40.6806,-73.96317",0,1
585937,"40.72949,-73.95493",0,1
586847,"40.67649,-73.9435",0,0
587519,"40.71099,-73.95217",1,0
587554,"40.73041,-74.00326",2,2
587641,"40.7197,-73.95741",0,2
587698,"40.60399,-73.97092",0,0
587740,"40.72372,-74.00277",0,0
588677,"40.70989,-73.95347",1,0
590903,"40.80797,-73.9489",0,0
591135,"40.72466,-73.99632",0,1
591565,"40.71552,-74.00749",3,8
591710,"40.69464,-73.99885",0,6
592785,"40.6877,-73.95824",0,0
592831,"40.69079,-73.95809",0,0
592853,"40.70001,-73.90698",3,0
593000,"40.77247,-73.94665",0,3
593292,"40.75128,-73.97658",2,11
593320,"40.86345,-73.92039",1,1
594020,"40.86284,-73.91955",1,1
594036,"40.73413,-74.00465",2,2
594640,"40.74026,-74.00079",0,2
594732,"40.73474,-73.99527",1,1
595321,"40.71316,-73.94532",1,0
595604,"40.8347,-73.94857",0,1
596448,"40.69082,-73.99281",0,1
597544,"40.74124,-73.92273",0,1
597624,"40.67465,-73.97975",0,0
598612,"40.72203,-73.95376",0,1
599595,"40.7839,-73.97897",0,1
599847,"40.68533,-73.96808",0,1
600286,"40.70397,-73.95536",0,0
600775,"40.68084,-73.97429",3,2
600877,"40.68379,-73.98313",3,1
602070,"40.72188,-73.94963",0,0
602142,"40.67963,-73.97237",1,2
602250,"40.69249,-73.73382",0,0
602453,"40.6686,-73.98342",2,0
602888,"40.76985,-73.95815",0,0
606269,"40.76257,-73.99303",1,2
607735,"40.68466,-73.98871",0,1
607781,"40.79183,-73.94743",0,4
607891,"40.77471,-73.98261",2,3
609213,"40.67293,-73.96399",0,2
609559,"40.73587,-73.88279",0,0
609983,"40.69945,-73.92148",2,0
610118,"40.7072,-73.92245",0,0
610596,"40.67376,-73.99648",0,1
611009,"40.7256,-73.97857",0,3
611408,"40.6916,-73.73323",0,0
612936,"40.79196,-73.97065",1,1
613528,"40.81726,-73.94583",0,0
613556,"40.71655,-74.01171",1,4
613818,"40.68375,-73.87065",0,0
614269,"40.70958,-73.93578",1,1
616585,"40.72091,-73.96133",0,2
618836,"40.66959,-73.95718",0,5
618916,"40.68066,-73.96644",0,2
619122,"40.71447,-73.95237",1,0
619471,"40.68372,-73.9406",0,0
620214,"40.76408,-73.92461",0,0
621430,"40.76876,-73.99473",0,1
622410,"40.66839,-73.96001",0,14
623423,"40.74519,-73.98338",1,2
623747,"40.74285,-73.97986",0,0
624222,"40.80352,-73.95127",0,0
