id,geom,subway_500,natural_500
35030427,"40.74848,-73.98631",2,6
35030460,"40.69348,-73.94499",0,0
35030571,"40.77132,-73.90474",0,0
35030589,"40.76392,-73.98805",1,2
35030835,"40.74646,-73.9863",2,2
35031082,"40.74669,-73.98749",2,2
35031409,"40.74847,-73.98629",2,6
35031778,"40.71949,-73.98607",1,2
35031939,"40.82204,-73.95566",0,1
35032636,"40.75476,-73.97118",3,4
35032803,"40.76501,-73.98892",1,2
35033070,"40.64918,-74.00756",0,0
35033521,"40.76356,-73.98814",1,2
35033674,"40.82374,-73.91555",0,0
35033921,"40.76509,-73.98795",1,2
35034032,"40.70861,-74.00479",4,3
35034410,"40.72764,-73.98712",0,2
35034543,"40.76424,-73.98916",1,2
35034773,"40.76404,-73.98973",0,2
35035202,"40.85539,-73.88769",0,0
35035291,"40.76487,-73.98912",1,2
35035847,"40.76113,-73.98557",1,4
35036056,"40.82172,-73.95618",0,1
35036124,"40.68957,-73.92659",0,1
35037136,"40.70865,-73.96673",0,1
35037457,"40.69634,-73.93445",1,1
35037586,"40.73891,-73.98657",0,2
35037973,"40.84176,-73.93738",1,1
35037976,"40.75455,-73.9695",2,5
35038031,"40.75823,-73.93114",0,0
35038048,"40.74525,-73.97225",0,2
35038124,"40.75911,-73.97011",2,3
35038269,"40.75624,-73.97171",3,3
35038426,"40.74781,-73.98769",2,1
35038658,"40.74696,-73.87912",0,0
35039302,"40.75974,-73.97067",2,5
35039831,"40.78714,-73.84378",0,0
35039936,"40.69971,-73.93068",2,0
35040055,"40.75484,-73.9939",3,0
35040098,"40.78766,-73.9423",0,1
35040805,"40.76044,-73.97012",2,4
35040813,"40.76263,-73.93547",0,1
35041121,"40.69824,-73.92888",1,0
35042058,"40.799,-73.96315",0,3
35042440,"40.6357,-74.15478",0,0
35042474,"40.76377,-73.82692",0,0
35043094,"40.66316,-73.74804",0,2
35044394,"40.68538,-73.94637",0,0
35044981,"40.74392,-73.97741",0,1
35050872,"40.71055,-74.00623",5,5
35054863,"40.68425,-73.92503",0,0
35055076,"40.70254,-73.8322",0,0
35055437,"40.82132,-73.95441",0,1
35056385,"40.64669,-73.95921",2,0
35056734,"40.76394,-73.99466",0,1
35057815,"40.71209,-73.80151",0,1
35058541,"40.81869,-73.82233",0,0
35059067,"40.76444,-73.87238",0,0
35059177,"40.79599,-73.96659",1,1
35059538,"40.76411,-73.87373",0,0
35059681,"40.76481,-73.87242",0,0
35059840,"40.64127,-73.89119",0,0
35060103,"40.69214,-73.92379",0,0
35060288,"40.72604,-73.98843",0,1
35060675,"40.67623,-73.93642",0,0
35060992,"40.66701,-73.93861",0,0
35061907,"40.67463,-73.9606",1,0
35062211,"40.89323,-73.85215",0,0
35062294,"40.80098,-73.94261",1,0
35062731,"40.70659,-74.00501",4,4
35062818,"40.76329,-73.96235",0,1
35063045,"40.71837,-73.99768",0,4
35063377,"40.71544,-73.96003",0,1
35064014,"40.69026,-73.97074",0,0
35064019,"40.81149,-73.94024",0,1
35064196,"40.76284,-73.99003",1,2
35064738,"40.85638,-73.92921",2,1
35064797,"40.73435,-74.00392",2,1
35065083,"40.69664,-73.99467",0,6
35065348,"40.6944,-73.83192",0,0
35065615,"40.69791,-73.98381",1,0
35066003,"40.68463,-73.92617",0,0
35066396,"40.76238,-73.91721",0,0
35066800,"40.59279,-73.79993",0,0
35067259,"40.68406,-73.93967",0,0
35067483,"40.76506,-73.98507",1,4
35069416,"40.60625,-74.089",0,0
35069663,"40.85743,-73.90233",0,0
35069936,"40.76256,-73.9904",1,1
35070555,"40.76512,-73.98726",1,2
35071302,"40.73108,-74.00114",2,2
35075812,"40.7472,-73.97278",0,3
35076834,"40.68295,-73.91553",0,0
35079012,"40.72096,-73.95528",0,1
35079670,"40.80619,-73.94174",1,0
35080347,"40.71345,-73.98678",1,2
35080969,"40.74125,-73.98125",0,0
35081477,"40.72905,-74.00294",1,2
35081665,"40.6929,-73.86378",0,0
35082055,"40.71752,-73.99387",1,3
35082227,"40.6613,-73.88756",0,0
35082332,"40.71018,-73.95377",1,0
35082713,"40.72765,-74.00213",0,2
35084043,"40.76831,-73.98515",1,2
35084260,"40.76795,-73.98381",1,2
35085042,"40.67753,-73.99084",0,1
35085643,"40.71909,-73.95408",0,0
35085802,"40.70629,-73.91281",1,0
35085826,"40.69362,-73.76953",0,0
35085934,"40.72035,-73.94117",0,0
35086171,"40.75837,-73.82529",0,0
35086252,"40.69561,-73.9878",0,1
35088621,"40.82622,-73.93489",1,1
35088935,"40.77166,-73.94665",0,3
35089556,"40.67653,-73.93556",0,0
35090082,"40.72027,-73.9588",0,2
35090364,"40.61735,-74.03",0,2
35090587,"40.74351,-73.92281",0,1
35091010,"40.76625,-73.87347",0,0
35091116,"40.76566,-73.87215",0,0
35092409,"40.83894,-73.91158",0,0
35092433,"40.7482,-73.83113",0,2
35092820,"40.76194,-73.99074",1,1
35093378,"40.76568,-73.98636",1,3
35093823,"40.67165,-73.95644",1,0
35096173,"40.78891,-73.94399",0,1
35096397,"40.6261,-73.94578",0,0
35096744,"40.68526,-73.92693",0,0
35096805,"40.69388,-73.92564",1,0
35097415,"40.70506,-73.87073",0,1
35097684,"40.73232,-73.97784",0,4
35098251,"40.74653,-73.97891",0,1
35100775,"40.76077,-73.99427",1,1
35108156,"40.75971,-73.99256",1,1
35109246,"40.68929,-73.99656",0,3
35112957,"40.70624,-74.01006",8,6
35114189,"40.77198,-73.98931",0,3
35114837,"40.74506,-73.99935",0,0
35115408,"40.70034,-73.92869",1,0
35115612,"40.8019,-73.95924",0,3
35115893,"40.76063,-73.95938",1,3
35117050,"40.73505,-73.86144",0,2
35117522,"40.70552,-73.94223",0,0
35117804,"40.75526,-73.99876",1,4
35118554,"40.78373,-73.97182",0,3
35119736,"40.86353,-73.92349",1,1
35119931,"40.72343,-73.77435",0,0
35120093,"40.69636,-73.94638",0,0
35120222,"40.7609,-73.93203",0,0
35120985,"40.84709,-73.93525",0,1
35121319,"40.8305,-73.94824",0,1
35121524,"40.71516,-73.94754",1,0
35121742,"40.6573,-73.96134",2,2
35122826,"40.76142,-73.99431",1,1
35122841,"40.66234,-73.95777",1,5
35123753,"40.76024,-74.00046",0,3
35124153,"40.75048,-74.00281",1,1
35124747,"40.72059,-73.985",1,2
35125511,"40.76277,-73.99594",0,2
35125528,"40.76449,-73.98445",1,7
35125636,"40.64899,-74.0125",0,0
35125696,"40.66154,-73.98685",0,0
35127234,"40.76102,-73.96431",0,1
35127246,"40.68855,-73.97282",3,0
35127308,"40.70642,-73.78298",0,0
35127865,"40.77367,-73.98879",0,4
35128367,"40.68647,-73.96959",0,0
35129021,"40.72859,-73.95905",0,1
35129203,"40.68763,-73.92694",0,1
35129411,"40.68446,-74.00142",0,2
35129774,"40.73479,-73.95224",0,1
35130273,"40.74237,-73.91112",0,0
35131138,"40.75871,-73.96948",2,3
35131221,"40.89701,-73.89778",0,0
35131393,"40.7534,-73.97283",2,4
35132016,"40.78578,-73.97678",0,1
35132345,"40.76127,-73.99234",1,1
35132775,"40.73847,-73.99835",1,1
35136523,"40.66799,-73.85135",0,0
35136809,"40.66635,-73.85258",0,1
35141620,"40.77377,-73.89837",0,0
35144024,"40.5875,-73.79427",0,1
35144255,"40.7154,-73.98301",1,1
35145200,"40.69521,-73.92011",1,0
35145314,"40.74132,-73.86683",0,0
35145342,"40.74255,-73.86659",0,0
35146846,"40.82693,-73.95142",0,1
35147355,"40.70751,-74.01025",6,6
35147457,"40.70344,-73.9839",1,2
35150643,"40.74119,-73.86748",0,0
35151658,"40.71124,-73.96069",0,0
35152601,"40.72363,-73.99832",0,0
35152749,"40.77585,-73.95881",0,2
35153060,"40.70685,-73.92149",0,0
35153229,"40.68959,-73.73733",0,0
35153334,"40.76591,-73.99155",0,2
35153702,"40.78834,-73.94781",0,1
35153758,"40.75419,-73.83082",0,1
35154253,"40.72612,-73.98946",0,1
35154411,"40.76593,-73.98087",1,6
