id,geom,subway_500,natural_500
34207902,"40.75095,-73.99628",1,1
34207925,"40.63781,-73.96531",2,0
34208053,"40.75575,-73.93037",0,0
34208055,"40.74628,-73.9243",0,0
34208237,"40.77052,-73.96683",0,8
34208508,"40.76241,-73.99606",0,2
34208509,"40.74461,-73.97349",0,2
34208674,"40.71547,-73.94074",0,0
34209348,"40.62065,-74.02929",0,0
34209440,"40.73763,-73.89533",0,0
34209596,"40.81672,-73.94746",0,0
34209682,"40.72138,-73.98543",1,2
34209710,"40.70058,-73.91123",2,0
34209885,"40.76218,-73.99646",0,2
34210645,"40.69861,-73.91999",1,0
34211618,"40.76182,-73.996",0,2
34212511,"40.74787,-73.97457",2,3
34213403,"40.74627,-73.92027",0,1
34213482,"40.74883,-73.9752",2,2
34213836,"40.74421,-73.97221",0,1
34214603,"40.76198,-73.99644",0,2
34217313,"40.76229,-73.99628",0,2
34218886,"40.68178,-73.90313",5,0
34221161,"40.75593,-73.91276",0,0
34222262,"40.76089,-73.9862",1,3
34222263,"40.74695,-73.97615",0,2
34222682,"40.68569,-73.94465",0,0
34222823,"40.67978,-73.96231",0,0
34223346,"40.70611,-73.91521",0,0
34224023,"40.68463,-73.92996",0,0
34227232,"40.76089,-73.8142",0,0
34227846,"40.74605,-73.98634",2,3
34228220,"40.75548,-73.99513",2,3
34228341,"40.62638,-74.01837",0,0
34228857,"40.62703,-74.01952",0,0
34229313,"40.76683,-73.91435",0,0
34229869,"40.86209,-73.84667",0,0
34230311,"40.74693,-73.97582",0,2
34230337,"40.68757,-73.90961",1,0
34230593,"40.77712,-73.95164",0,0
34231172,"40.6455,-74.01262",0,0
34231565,"40.73857,-73.92563",0,0
34231746,"40.81835,-73.91465",0,0
34232536,"40.65093,-73.93269",0,0
34232892,"40.64298,-73.93945",0,0
34233364,"40.78161,-73.94852",0,1
34233430,"40.77932,-73.94547",0,2
34233572,"40.75073,-73.82052",0,0
34234242,"40.74673,-73.98191",1,2
34234982,"40.81548,-73.94556",0,0
34235178,"40.81693,-73.94562",0,0
34235450,"40.71333,-73.99419",1,2
34243440,"40.77419,-73.91113",0,0
34244391,"40.67959,-73.88302",0,0
34245023,"40.79527,-73.96666",1,1
34245778,"40.61985,-74.00205",0,0
34247014,"40.71734,-74.00858",1,3
34247102,"40.67428,-73.97559",0,1
34249203,"40.70197,-73.94131",0,0
34250079,"40.7153,-73.95333",1,0
34250344,"40.68908,-73.83326",0,0
34251007,"40.74973,-73.94015",1,0
34251212,"40.72325,-73.98776",1,4
34251397,"40.74966,-73.75328",0,0
34251643,"40.64032,-73.99493",0,0
34251664,"40.80378,-73.96619",0,3
34251680,"40.85015,-73.93863",1,1
34251990,"40.7676,-73.98609",1,2
34252769,"40.74021,-74.00414",0,3
34253217,"40.7432,-73.97703",0,1
34253279,"40.60412,-73.75163",2,0
34253845,"40.70992,-73.94698",1,0
34254505,"40.73339,-73.95271",0,1
34255183,"40.67882,-73.96267",1,1
34255308,"40.67266,-73.92423",0,0
34255351,"40.76273,-73.99192",1,2
34255385,"40.71289,-73.96603",0,2
34255438,"40.58111,-74.15933",0,0
34255449,"40.83515,-73.94178",0,0
34255571,"40.64359,-73.94821",0,0
34255740,"40.74475,-74.00108",0,0
34256176,"40.76515,-73.98586",1,3
34256485,"40.66242,-73.90128",0,0
34256514,"40.8125,-73.95305",0,0
34256683,"40.74895,-73.99652",1,0
34256717,"40.68977,-73.95482",0,0
34256727,"40.57568,-74.09522",0,6
34257861,"40.74553,-73.97699",0,1
34257868,"40.71456,-73.94326",1,0
34257884,"40.73521,-74.00528",2,3
34258598,"40.80249,-73.96729",0,2
34258883,"40.57801,-74.10869",0,0
34259050,"40.82654,-73.90516",0,0
34259388,"40.83149,-73.92766",0,1
34260123,"40.69526,-73.90263",0,0
34260966,"40.72249,-73.99758",0,1
34261963,"40.75514,-73.96773",2,5
