id,geom,subway_500,natural_500
33636535,"40.75923,-73.9865",1,3
33636725,"40.72667,-73.99878",0,2
33637874,"40.7977,-73.96115",0,1
33638326,"40.597,-74.08778",0,0
33639266,"40.78134,-73.95212",0,0
33639750,"40.68831,-73.9393",0,0
33639841,"40.75967,-73.96786",2,4
33639979,"40.70532,-73.80965",0,0
33640884,"40.70799,-74.01113",6,9
33640885,"40.70579,-74.01245",7,19
33641049,"40.66663,-73.7836",0,0
33641091,"40.71095,-73.96717",0,2
33641209,"40.74779,-73.981",2,1
33642152,"40.79738,-73.93196",0,2
33642266,"40.72673,-73.98646",0,2
33643309,"40.76769,-73.92564",0,0
33643819,"40.71313,-73.99615",0,3
33644836,"40.77961,-73.97821",2,2
33645301,"40.64403,-74.00087",0,0
33645723,"40.84427,-73.93742",1,1
33650779,"40.7432,-73.97605",0,1
33650996,"40.71214,-73.99568",0,1
33652038,"40.67916,-73.90628",6,0
33652633,"40.67919,-73.90684",6,0
33652661,"40.65565,-73.92705",0,0
33652892,"40.68092,-73.90777",5,0
33653706,"40.77139,-73.95651",0,0
33653735,"40.83938,-73.85708",0,0
33654019,"40.70014,-73.93664",1,0
33654032,"40.66008,-73.92122",0,0
33654285,"40.7867,-73.96951",0,1
33654480,"40.64448,-74.08485",0,0
33655013,"40.75913,-73.99185",1,1
33655084,"40.6898,-73.86077",0,0
33655292,"40.80038,-73.95994",0,3
33655636,"40.76019,-73.90934",0,0
33656088,"40.75942,-73.98602",1,3
33656120,"40.76118,-73.98625",1,3
33656146,"40.7609,-73.98594",1,3
33656304,"40.75938,-73.98749",1,1
33656821,"40.68966,-73.97311",1,0
33658071,"40.68466,-73.91716",0,0
33658646,"40.70741,-73.80838",0,0
33659082,"40.87414,-73.88342",0,0
33660190,"40.6386,-73.94584",0,0
33660196,"40.72681,-74.00455",0,1
33660716,"40.67382,-73.96642",0,1
33660911,"40.76222,-73.91861",0,0
33660966,"40.71993,-73.96395",0,2
33661139,"40.6083,-73.75787",2,0
33661269,"40.71304,-73.99484",0,2
33661274,"40.66172,-73.99387",0,0
33661568,"40.88171,-73.85384",0,0
33661788,"40.64644,-74.01057",0,0
33663100,"40.80704,-73.95134",0,0
33663595,"40.77005,-73.91098",0,0
33663599,"40.85176,-73.93009",0,1
33664163,"40.70579,-73.81001",0,0
33664228,"40.68638,-73.93497",0,0
33664484,"40.72947,-73.82076",0,1
33666119,"40.62329,-74.02136",0,0
33666175,"40.61472,-73.99143",0,0
33666359,"40.84467,-73.93549",1,1
33666607,"40.63555,-74.02962",0,0
33666721,"40.69439,-73.83243",0,0
33666887,"40.74623,-73.88974",4,0
33667403,"40.66067,-73.8931",0,0
33668282,"40.66089,-73.89376",0,0
33673071,"40.76308,-73.82215",0,0
33673436,"40.71565,-73.99211",1,1
33674936,"40.70672,-73.92295",0,0
33676336,"40.68694,-73.97435",3,0
33678486,"40.74266,-73.86526",0,0
33679677,"40.75869,-73.91439",0,0
33680582,"40.78091,-73.95384",0,1
33680825,"40.68383,-73.90857",2,0
33681005,"40.86725,-73.92726",0,2
33682168,"40.81708,-73.95059",0,0
33682555,"40.75088,-73.96958",1,3
33682823,"40.81652,-73.94914",0,0
33682910,"40.75544,-73.96452",0,3
33683110,"40.70762,-73.95",1,0
33683557,"40.7077,-73.9435",0,0
33683615,"40.74472,-73.98526",1,3
33683932,"40.70783,-73.95431",1,0
33683971,"40.74898,-73.98029",2,11
33684693,"40.72178,-73.95653",0,1
33685563,"40.73792,-74.00063",1,2
33686419,"40.71948,-73.96376",0,2
33687439,"40.72633,-73.95859",0,2
33687456,"40.75166,-73.97154",2,2
33688029,"40.66784,-73.95798",0,8
33688884,"40.71878,-73.9604",0,2
33689069,"40.69539,-73.94399",0,0
33689108,"40.69833,-73.93463",1,0
33689191,"40.7786,-73.91031",0,0
33689283,"40.83591,-73.94586",1,1
33689398,"40.5788,-74.09155",0,12
33689606,"40.66815,-73.97767",0,0
33689647,"40.64578,-73.94756",0,0
33689653,"40.64423,-73.94683",0,0
33689832,"40.82437,-73.95027",0,1
33689844,"40.80009,-73.96218",0,2
33690902,"40.75923,-73.99233",1,1
33691283,"40.82639,-73.90517",0,0
33691396,"40.68619,-73.98719",0,1
33692033,"40.75737,-73.91669",0,0
33694626,"40.76473,-73.99003",0,2
33694628,"40.76449,-73.99107",0,2
33694634,"40.76623,-73.99075",0,2
33695141,"40.76436,-73.99153",0,2
33699563,"40.68667,-73.9738",3,0
33701016,"40.67807,-73.95532",2,0
33701468,"40.76167,-73.96944",2,5
33704586,"40.75813,-73.99818",0,4
33705120,"40.80879,-73.94174",1,0
33708600,"40.76008,-73.98721",1,1
33708769,"40.76072,-73.98582",1,3
33708931,"40.75256,-73.99653",2,3
33709053,"40.70599,-74.01236",8,19
33709253,"40.70729,-74.01095",7,6
33709466,"40.70751,-74.01059",6,6
33709502,"40.70761,-74.01226",6,18
33709503,"40.70602,-74.0123",8,19
33709508,"40.70715,-74.0103",7,5
33709566,"40.69058,-73.91303",0,0
33709754,"40.70653,-74.01088",7,7
33710554,"40.73593,-74.00438",2,2
33710571,"40.71072,-73.94207",0,0
33710612,"40.59356,-73.79436",0,0
33711092,"40.70632,-74.01188",8,10
33711101,"40.76257,-73.92162",0,0
33711189,"40.70645,-74.0118",7,10
