id,geom,subway_500,natural_500
15288813,"40.67518,-73.78046",0,1
15289231,"40.66634,-73.98185",0,0
15289766,"40.80594,-73.9454",0,0
15294943,"40.80751,-73.96619",0,3
15296557,"40.69804,-73.92816",1,0
15296957,"40.72203,-73.98986",1,2
15297194,"40.64055,-74.0784",1,0
15297704,"40.72205,-73.9913",1,2
15297862,"40.75936,-73.96293",0,1
15298236,"40.72342,-73.99108",1,2
15299630,"40.70912,-73.94513",0,0
15299748,"40.7531,-73.97321",2,4
15301499,"40.71745,-73.99409",1,3
15301517,"40.75786,-73.92808",0,0
15301748,"40.85585,-73.86486",1,0
15301964,"40.65228,-73.96402",3,1
15301966,"40.71238,-73.96279",0,2
15302149,"40.69108,-73.91531",0,0
15303092,"40.85679,-73.932",2,1
15307603,"40.85236,-73.86632",1,0
15307735,"40.7155,-73.95632",1,0
15308451,"40.67293,-73.98609",4,1
15308517,"40.68725,-73.97458",3,0
15309572,"40.7164,-73.99188",1,2
15310116,"40.66631,-73.94764",0,0
15310417,"40.66596,-73.94936",0,0
15310580,"40.73736,-73.98025",0,4
15311253,"40.75241,-73.97081",2,3
15311733,"40.70651,-74.00656",4,4
15311833,"40.58929,-73.79441",0,1
15312128,"40.68906,-73.97897",2,0
15314054,"40.78065,-73.98253",2,1
15314886,"40.74738,-74.00134",1,0
15321266,"40.82218,-73.94593",0,0
15321861,"40.75849,-73.87068",0,0
15323284,"40.74681,-74.00006",1,0
15324045,"40.69003,-73.90891",1,0
15325255,"40.75175,-73.97218",2,3
15326614,"40.70683,-73.94582",0,0
15327553,"40.71592,-73.99332",1,1
15327611,"40.76952,-73.94892",0,3
15328018,"40.70588,-73.92302",0,0
15328237,"40.74569,-73.94684",1,0
15328242,"40.70348,-73.76621",0,0
15328271,"40.72693,-73.90319",0,0
15329520,"40.73216,-73.81841",0,2
15333336,"40.64747,-73.96171",3,0
15334973,"40.70191,-73.92298",2,0
15336596,"40.8722,-73.87607",0,1
15337711,"40.70879,-73.94937",1,0
15338155,"40.74845,-73.89665",4,0
15339227,"40.73922,-73.9265",0,0
