id,geom,subway_500,natural_500
33515695,"40.76799,-73.90995",0,0
33515760,"40.66277,-73.9574",1,6
33516105,"40.72344,-73.98479",1,3
33516720,"40.7299,-73.98979",0,1
33519749,"40.64098,-74.0935",0,1
33519952,"40.76485,-73.99229",0,2
33520202,"40.7042,-73.92719",0,1
33520254,"40.69318,-73.95054",0,0
33520773,"40.67144,-73.92496",0,0
33521183,"40.72735,-73.98917",0,0
33521985,"40.69967,-73.75026",0,0
33523404,"40.72029,-74.00033",0,2
33523503,"40.67723,-73.91256",0,0
33523616,"40.70723,-73.92066",0,0
33523818,"40.75985,-73.88294",0,0
33524882,"40.72347,-74.00463",0,0
33524910,"40.8026,-73.95829",0,2
33524941,"40.81325,-73.9398",0,1
33526039,"40.74535,-73.9764",0,1
33526710,"40.66155,-73.88916",0,0
33526801,"40.75383,-73.97207",3,5
33527195,"40.67138,-73.77238",0,0
33527468,"40.70604,-74.01021",8,5
33527634,"40.67323,-73.96863",0,3
33527778,"40.70763,-74.0105",6,7
33527998,"40.70747,-74.01226",6,18
33528078,"40.70622,-73.90641",2,0
33528090,"40.7425,-73.99443",0,0
33528101,"40.70652,-73.94541",0,0
33528376,"40.70855,-73.94992",1,0
33528511,"40.79433,-73.94414",0,1
33528562,"40.88491,-73.85484",0,0
33529491,"40.72705,-73.9846",0,2
33529536,"40.81089,-73.94309",0,0
33529691,"40.7198,-73.94125",0,0
33529806,"40.59516,-73.96208",0,0
33530151,"40.73103,-74.00778",1,2
33530282,"40.76022,-73.99253",1,1
33531011,"40.70039,-73.92352",2,0
33532173,"40.76078,-73.88222",0,0
33532216,"40.69655,-73.93458",1,0
33532516,"40.67401,-73.92371",0,0
33533498,"40.73018,-73.87172",0,1
33533601,"40.71629,-73.98862",1,2
33533803,"40.86313,-73.90183",0,0
33534624,"40.71515,-73.99099",1,1
33536886,"40.7637,-73.99037",0,1
33543641,"40.76671,-73.81935",0,0
33544433,"40.7651,-73.81749",0,0
33544651,"40.70811,-73.91054",0,0
33544900,"40.67837,-73.91871",0,0
33546025,"40.78234,-73.9476",0,2
33546136,"40.71917,-73.98343",1,0
33546854,"40.69421,-73.93834",1,0
33547205,"40.76625,-73.91946",0,0
33548209,"40.73279,-73.954",0,1
33548323,"40.6307,-73.95815",1,0
33549215,"40.71285,-73.96535",0,2
33549469,"40.72037,-73.95857",0,2
33549508,"40.73293,-73.95889",0,2
33550800,"40.74567,-73.99254",2,3
33551770,"40.67692,-73.92241",0,0
33551810,"40.78513,-73.95588",0,1
33552714,"40.7023,-73.91911",1,0
33552984,"40.76273,-73.99061",1,1
33553737,"40.68592,-73.92695",0,0
33554251,"40.61225,-73.9815",2,0
33555650,"40.70585,-73.80867",0,0
33555952,"40.70598,-74.00804",6,5
33556026,"40.73101,-73.87139",0,2
33556100,"40.84316,-73.94062",1,1
33557100,"40.71492,-73.94397",1,0
33558048,"40.69446,-73.9543",0,0
33558102,"40.70044,-73.92503",1,0
33558241,"40.82457,-73.94008",1,1
33558283,"40.70796,-73.94826",1,0
33558307,"40.75909,-73.92005",0,0
33558445,"40.79491,-73.94162",0,1
33558466,"40.6491,-73.96322",2,1
33558773,"40.76523,-73.9118",0,0
33558808,"40.85129,-73.92954",0,1
33558846,"40.63376,-73.95148",0,1
33559960,"40.73361,-73.98995",0,1
33560308,"40.68395,-73.92998",0,0
33560323,"40.65596,-73.97951",0,0
33560439,"40.74385,-73.97669",0,1
33560460,"40.72745,-74.0025",0,2
33560646,"40.63209,-74.018",1,0
33560655,"40.66115,-73.89352",0,0
33560707,"40.63866,-73.96735",2,0
33560762,"40.86255,-73.90059",0,0
33561854,"40.82011,-73.9404",1,0
33562239,"40.8312,-73.9399",0,1
33564331,"40.71379,-73.94104",0,0
33571420,"40.72997,-73.87183",0,1
33571687,"40.74038,-74.00139",0,2
33571691,"40.87268,-73.85424",0,0
33572668,"40.70824,-74.01403",6,23
33574976,"40.6105,-74.09132",0,0
33575571,"40.76255,-73.88019",0,0
33577934,"40.74394,-73.99094",1,3
33578217,"40.73823,-73.98343",0,4
33578743,"40.73532,-73.99874",1,3
33578821,"40.68775,-73.9277",0,1
33579533,"40.68899,-73.9289",0,1
33579606,"40.76275,-73.88198",0,0
33579691,"40.76461,-73.98745",1,2
33579775,"40.75325,-73.97176",2,3
33579779,"40.67875,-73.90704",6,0
33579970,"40.75912,-73.92903",0,0
33580008,"40.7075,-74.01179",6,10
33580893,"40.73571,-73.99694",1,1
33580907,"40.73679,-73.99592",1,0
33581628,"40.66002,-73.94363",0,0
33582424,"40.70092,-73.93732",1,0
33582776,"40.7234,-73.98267",1,2
33583238,"40.79321,-73.96823",1,0
33584724,"40.60615,-74.00315",0,0
33585504,"40.7786,-73.95208",0,0
33585541,"40.72028,-73.98794",1,3
33585686,"40.72175,-73.99544",0,1
33585726,"40.77721,-73.95222",0,0
33586112,"40.65477,-73.92207",0,0
33586722,"40.66806,-73.95295",0,0
33588367,"40.70845,-73.94266",0,0
33588662,"40.74006,-73.82894",0,0
33588933,"40.89613,-73.85503",0,0
33589352,"40.57882,-74.09197",0,12
33589468,"40.74376,-73.7942",0,1
33589554,"40.66465,-73.74907",0,1
33590374,"40.76386,-73.98901",1,2
33591701,"40.76928,-73.94855",0,2
33592068,"40.6062,-73.98995",0,0
33592086,"40.60898,-73.95341",2,0
33592474,"40.60765,-73.95392",2,0
33592650,"40.60755,-73.95303",2,0
33592861,"40.66821,-73.75263",0,0
33592928,"40.6093,-73.95211",2,0
33593018,"40.60852,-73.95368",2,0
33594788,"40.69477,-73.93011",2,1
33595791,"40.74679,-74.00263",1,0
33597052,"40.85549,-73.92789",0,1
33603476,"40.80626,-73.85122",0,0
33605327,"40.6875,-73.8664",0,0
33605568,"40.73446,-73.9867",0,2
33607276,"40.74875,-73.98675",2,11
33607319,"40.78722,-73.94482",0,1
33607370,"40.73125,-73.87251",0,1
33607399,"40.70429,-74.00714",2,4
33607411,"40.7204,-74.00027",0,2
33608420,"40.71255,-73.93922",0,1
33608666,"40.7461,-74.00329",0,1
33608870,"40.71381,-73.95187",1,0
33611062,"40.72392,-73.98915",1,2
33611142,"40.76091,-73.99126",1,1
33611809,"40.73948,-73.97973",0,2
33611988,"40.77832,-73.90604",0,0
33612527,"40.76142,-73.98629",1,3
33612970,"40.71859,-74.00459",1,3
33613727,"40.73747,-73.86404",0,0
33613736,"40.86615,-73.88828",0,1
33614017,"40.70069,-73.93676",1,0
33614390,"40.67758,-73.92751",0,0
33614825,"40.65401,-73.92013",0,0
33614872,"40.79013,-73.94958",0,3
33616667,"40.72002,-73.99704",0,3
33617342,"40.66431,-73.95083",0,0
33618213,"40.68898,-73.94139",0,0
33618303,"40.58649,-73.97339",1,0
33618352,"40.66544,-73.9577",1,7
33618572,"40.75278,-73.89114",0,0
33618578,"40.77029,-73.98761",1,3
33618626,"40.68176,-73.89402",0,1
33618672,"40.64673,-73.94686",0,0
33618854,"40.66247,-73.93784",0,0
33619855,"40.66387,-73.9384",0,0
33619915,"40.72589,-74.00015",0,1
33621265,"40.65292,-73.95229",0,0
33621795,"40.7211,-73.9893",1,2
33621826,"40.72335,-73.99138",1,2
33621851,"40.72018,-73.98813",1,2
33622308,"40.71943,-73.98753",1,2
33627195,"40.72585,-73.98831",0,1
33627366,"40.68375,-73.91503",0,0
33628454,"40.76303,-73.88039",0,0
33631732,"40.63196,-73.94572",0,1
33631782,"40.71829,-73.95819",0,2
33632312,"40.6633,-73.89733",0,0
33632933,"40.61489,-73.94541",0,0
33633697,"40.6313,-73.94534",0,1
33633853,"40.76248,-73.98937",1,1
33634956,"40.70748,-74.0108",6,7
33635065,"40.7071,-74.01194",7,11
33635292,"40.70642,-74.01255",7,20
33635511,"40.82479,-73.94218",1,0
33636056,"40.76112,-73.98663",1,3
33636178,"40.76122,-73.98583",1,3
33636366,"40.75948,-73.98615",1,3
33636410,"40.70303,-73.74906",0,0
33636449,"40.76149,-73.98633",1,3
