id,geom,subway_500,natural_500
13411560,"40.77856,-73.98278",2,2
13411711,"40.80521,-73.95213",0,0
13411759,"40.66018,-73.98074",0,0
13412231,"40.68134,-73.9072",5,0
13412918,"40.8754,-73.91263",0,1
13413386,"40.69002,-73.9518",0,0
13413420,"40.68825,-73.93433",0,1
13414523,"40.8021,-73.96629",0,2
13415100,"40.74439,-73.98125",0,0
13415535,"40.74653,-73.99632",1,1
13415850,"40.68831,-73.97549",3,0
13415925,"40.83041,-73.91838",0,3
13415952,"40.70821,-73.95001",1,0
13416582,"40.77643,-73.98262",2,4
13416840,"40.69805,-73.9846",1,0
13417071,"40.68444,-73.9287",0,0
13417080,"40.73578,-73.98706",0,2
13417267,"40.66781,-73.99024",4,0
13417410,"40.66167,-73.92854",0,0
13417723,"40.8357,-73.91023",0,2
13418942,"40.83048,-73.95009",0,1
13419864,"40.78521,-73.95006",0,0
13422992,"40.72079,-73.98965",1,2
13424027,"40.67735,-73.96581",0,3
13424903,"40.71754,-73.9868",1,3
13424996,"40.69507,-73.92081",2,0
13425518,"40.76066,-73.99922",0,2
13426171,"40.76207,-73.99937",0,2
13426681,"40.76216,-73.99775",0,2
13427044,"40.70298,-73.92203",1,0
13427412,"40.63163,-74.09297",0,1
13427591,"40.76112,-73.99893",0,2
13427658,"40.77679,-73.91366",0,0
13427702,"40.77437,-73.91854",0,0
13427968,"40.82291,-73.94958",0,0
13428478,"40.70624,-73.92861",1,1
13429535,"40.71256,-73.94785",1,0
13429562,"40.76258,-73.99771",0,2
13429591,"40.75695,-73.97988",2,25
13429684,"40.69941,-73.92833",1,0
13430012,"40.76077,-73.99822",0,2
13430210,"40.74148,-73.98493",0,2
13430458,"40.80842,-73.93136",0,1
13430483,"40.76196,-73.99803",0,2
13430794,"40.76112,-73.99887",0,2
13431257,"40.76103,-73.99745",0,2
13431552,"40.75833,-73.99019",1,1
13431664,"40.81937,-73.90978",0,0
13431793,"40.76213,-73.99972",0,2
13431961,"40.7847,-73.97155",0,1
13432015,"40.76201,-73.99755",0,2
13432348,"40.76108,-73.99812",0,2
13432434,"40.79751,-73.93271",0,2
13432549,"40.71377,-73.99464",0,2
13432828,"40.7801,-73.97917",2,2
13433027,"40.67866,-73.8068",0,0
13433684,"40.70353,-73.9344",1,0
13433870,"40.7025,-73.92935",2,0
13434493,"40.69375,-73.92123",1,0
13434959,"40.66058,-73.96132",1,7
13435285,"40.75892,-73.99146",1,1
13435688,"40.76369,-73.98476",1,5
13436088,"40.76569,-73.98281",1,7
13436132,"40.72741,-73.97529",0,1
13436258,"40.81949,-73.92913",0,1
13436489,"40.63974,-74.01944",0,0
13437219,"40.8259,-73.94962",0,1
13440481,"40.76642,-73.97107",0,6
13441680,"40.86541,-73.92935",1,2
13442932,"40.7323,-73.95261",0,1
13443640,"40.75143,-73.96973",1,3
13443722,"40.76425,-73.98654",1,5
13443794,"40.68846,-73.90847",1,0
13444490,"40.72471,-73.98891",0,2
13444818,"40.73888,-73.87299",0,0
13444884,"40.74448,-73.97776",0,1
13444902,"40.81591,-73.93995",0,1
13445020,"40.71303,-73.96574",0,2
13445027,"40.70475,-73.93663",1,1
13445935,"40.72673,-73.95406",0,1
13446050,"40.80289,-73.96741",0,2
13446124,"40.81353,-73.95878",0,1
13446580,"40.66378,-73.98621",0,0
13446921,"40.65211,-73.97872",0,0
13449748,"40.69161,-73.90563",1,0
13449844,"40.78305,-73.97757",2,1
13451379,"40.74275,-73.95513",0,2
13451599,"40.72118,-73.98066",1,1
13451720,"40.79936,-73.96105",0,3
13451786,"40.69091,-73.95435",0,0
13451943,"40.70667,-73.92668",0,1
13452384,"40.72828,-73.97972",0,4
13452474,"40.76733,-73.98607",1,2
13452799,"40.70885,-73.95349",1,0
13453023,"40.79875,-73.97128",1,1
13453271,"40.79669,-73.97126",1,1
13459473,"40.75896,-73.96439",0,1
13459691,"40.71696,-73.95727",1,0
13459841,"40.71216,-73.95853",0,0
13460498,"40.68813,-73.95479",0,0
13460534,"40.74375,-73.97774",0,1
13461123,"40.69261,-73.95069",0,0
13461289,"40.74754,-73.98741",2,1
13461412,"40.76245,-73.98767",2,1
13461718,"40.71855,-73.96359",0,3
13463768,"40.64286,-73.94839",0,0
13464667,"40.74562,-73.98538",2,3
13465546,"40.72627,-73.99145",0,1
13466084,"40.82289,-73.9511",0,1
13466168,"40.70711,-74.01437",7,23
13466302,"40.77981,-73.98499",2,2
13466561,"40.71159,-73.99884",0,2
13466663,"40.71259,-73.99897",0,4
13466842,"40.75903,-73.92943",0,0
13467270,"40.73691,-73.92826",0,0
13467433,"40.70706,-74.00442",4,4
13467511,"40.72229,-73.98175",1,2
13468421,"40.70789,-73.83333",0,0
13468830,"40.69887,-73.93564",1,0
13473267,"40.70273,-73.92724",0,0
13474455,"40.68401,-73.9457",0,0
13475688,"40.68988,-73.93136",0,1
13476185,"40.76571,-73.99101",0,2
13476685,"40.7403,-74.0029",0,3
13477118,"40.70742,-73.94316",0,0
13477234,"40.7531,-73.97158",2,3
13477342,"40.83079,-73.9432",0,0
13477359,"40.80728,-73.96634",0,3
13478244,"40.71983,-73.95675",0,2
13479302,"40.73277,-73.98448",0,2
13479511,"40.76184,-73.9569",1,3
13479649,"40.81134,-73.94044",0,0
13480090,"40.60054,-73.99416",0,0
13480134,"40.82716,-73.89911",0,0
13480162,"40.71147,-73.95896",0,0
13481935,"40.6737,-73.95669",1,0
13485043,"40.70971,-73.89741",0,0
13485786,"40.71273,-73.96478",0,2
13486680,"40.82882,-73.94148",0,0
13486730,"40.72689,-74.0089",0,1
13487852,"40.79659,-73.93501",0,1
13488308,"40.73955,-73.98243",0,3
13488659,"40.69807,-73.90614",1,0
13489132,"40.71026,-73.96841",0,2
13489234,"40.75823,-73.96453",0,1
13489789,"40.69285,-73.92849",0,1
13490097,"40.85413,-73.93172",1,1
13490175,"40.74472,-73.91788",0,1
13490372,"40.6612,-73.98568",0,0
13490397,"40.66186,-73.98109",0,0
13490410,"40.7728,-73.98737",1,4
13491040,"40.691,-73.93032",0,1
13491064,"40.77363,-73.95154",0,1
13491503,"40.65253,-73.96404",3,1
13491951,"40.74494,-74.00116",0,0
13492036,"40.77231,-73.90793",0,0
13492353,"40.79201,-73.97423",1,1
13492449,"40.7332,-74.0039",2,1
13493430,"40.64328,-73.97506",0,0
13493546,"40.65005,-73.94776",0,0
13494051,"40.81733,-73.95384",0,1
13494095,"40.70713,-74.00793",5,6
13494147,"40.81863,-73.95295",0,1
13494532,"40.77081,-73.95216",0,1
13494825,"40.68881,-73.94991",0,0
13494895,"40.7977,-73.93736",0,1
13494898,"40.74032,-74.00265",0,2
13495012,"40.70566,-74.00865",6,5
13495082,"40.70844,-73.96176",0,1
13495361,"40.73006,-73.99981",1,2
13495558,"40.72795,-74.00454",0,1
13495691,"40.69289,-73.98077",0,0
