id,geom,subway_500,natural_500
11716947,"40.7258,-73.9515",0,0
11718329,"40.79469,-73.96575",0,1
11718547,"40.8284,-73.94461",0,0
11720001,"40.81327,-73.94628",0,0
11720130,"40.75705,-73.99265",2,0
11721727,"40.85029,-73.93645",1,1
11724873,"40.75926,-73.99304",1,1
11728836,"40.76711,-73.92046",0,0
11730376,"40.74297,-73.87508",0,0
11730504,"40.81613,-73.94622",0,0
11732848,"40.69014,-73.97347",0,0
11732961,"40.8249,-73.94288",1,0
11735378,"40.69862,-73.93066",2,0
11737524,"40.72522,-73.94124",0,1
11737916,"40.67073,-73.95021",0,0
11738831,"40.77559,-73.95263",0,0
11738951,"40.70666,-74.00597",4,4
11739071,"40.75639,-73.96593",1,2
11739168,"40.77034,-73.96257",0,1
11739698,"40.75892,-73.98949",1,1
11740163,"40.72138,-73.95757",0,2
11740386,"40.71813,-73.96464",0,3
11741555,"40.73405,-74.00789",1,2
11742647,"40.73586,-73.98028",0,5
11743513,"40.69388,-73.96201",0,0
11745621,"40.76235,-73.98872",2,1
11750272,"40.62375,-74.07373",0,1
11750766,"40.75754,-73.96129",0,2
11751327,"40.75387,-73.96744",2,6
11751718,"40.74128,-73.98039",0,0
11751916,"40.8199,-73.9281",0,1
11752905,"40.75573,-73.96835",2,4
11753010,"40.57891,-73.95388",0,1
11753116,"40.672,-73.94247",0,0
11753760,"40.66736,-73.98773",4,0
11753792,"40.6954,-73.96705",0,1
11754084,"40.72941,-73.98336",0,4
11754456,"40.72815,-74.00111",0,2
11755816,"40.69172,-73.9087",1,0
11755946,"40.6913,-73.90998",1,0
11756047,"40.69164,-73.90968",1,0
11758988,"40.82066,-73.95259",0,1
11760308,"40.79945,-73.9346",0,1
11767644,"40.73949,-73.9282",0,0
11769558,"40.70663,-73.9175",0,0
11769741,"40.74517,-73.87496",0,0
11771598,"40.82884,-73.94868",0,1
11774815,"40.77815,-73.96158",0,6
11775127,"40.72547,-73.98717",0,3
11775347,"40.76226,-73.99285",1,2
11775483,"40.66898,-73.94209",0,0
11775601,"40.67091,-73.93247",0,0
11776880,"40.66156,-73.94882",0,0
11778761,"40.81778,-73.90858",0,0
11782120,"40.76452,-73.99439",0,1
11782585,"40.77826,-73.97703",2,5
11784410,"40.83155,-73.94489",0,1
11786053,"40.84443,-73.94118",1,1
11786452,"40.73573,-73.99496",1,0
