id,geom,subway_500,natural_500
19357186,"40.80112,-73.95232",0,1
19359218,"40.72686,-73.97864",0,3
19359301,"40.63142,-73.97154",0,0
19359445,"40.90391,-73.85312",0,0
19360560,"40.78081,-73.82005",0,0
19360685,"40.71992,-73.99251",1,2
19361884,"40.70962,-73.80616",0,0
19361969,"40.69891,-73.98473",1,0
19362079,"40.67811,-74.00102",0,1
19362485,"40.70988,-73.80691",0,0
19362649,"40.70848,-73.80607",0,0
19363356,"40.81783,-73.95346",0,1
19363396,"40.72635,-74.00298",0,2
19363671,"40.66197,-73.9543",0,0
19363728,"40.72036,-73.97889",0,2
19363931,"40.6692,-73.9359",0,0
19363944,"40.7328,-74.00845",1,1
19364229,"40.7417,-74.00229",0,2
19364266,"40.75474,-73.82166",0,0
19364351,"40.78119,-73.9462",0,2
19364590,"40.74509,-73.89649",4,0
19365218,"40.69201,-73.95795",0,0
19367928,"40.67392,-73.88892",0,0
19368455,"40.74625,-73.99911",1,0
19375739,"40.69224,-73.95819",0,0
19376114,"40.64156,-73.93177",0,0
19376182,"40.68618,-73.96179",0,0
19376753,"40.63609,-73.96687",1,0
19376872,"40.7291,-73.99246",0,1
19378517,"40.82186,-73.94624",0,0
19380186,"40.72489,-73.98956",0,2
19380620,"40.84118,-73.93697",1,1
19381437,"40.79205,-73.97262",1,1
19382104,"40.68936,-73.94189",0,0
19382201,"40.71195,-74.00757",5,8
19382819,"40.76833,-73.95581",0,1
19383510,"40.71487,-73.94524",1,0
19383561,"40.74012,-74.00364",0,3
19384034,"40.76065,-73.90905",0,0
19384126,"40.67602,-73.96593",0,1
19385072,"40.68767,-73.95495",0,0
19385683,"40.7476,-73.99348",2,1
19385783,"40.74538,-73.94747",1,1
19385872,"40.66658,-73.95167",0,0
19385941,"40.75712,-73.8122",0,0
19386162,"40.76074,-73.94943",1,3
19386444,"40.68326,-73.92448",0,0
19386545,"40.71152,-73.93902",0,1
19386564,"40.75636,-73.927",0,0
19387402,"40.80369,-73.94857",0,0
19387438,"40.73832,-73.90669",0,0
19387536,"40.70642,-73.92739",0,1
19387555,"40.83803,-73.94421",1,1
19387694,"40.68254,-73.99207",0,1
19387782,"40.72034,-73.98617",1,3
19388198,"40.79179,-73.94506",0,1
19388293,"40.73519,-73.90271",0,0
19388464,"40.65653,-73.95786",2,0
19389677,"40.85471,-73.93016",1,1
19389911,"40.79503,-73.96715",1,1
19390119,"40.67398,-73.92787",0,0
19390314,"40.73852,-74.00269",1,2
19401219,"40.69257,-73.94657",0,0
19403353,"40.67835,-73.9908",0,1
19403704,"40.75548,-73.9951",2,3
19404654,"40.8101,-73.94021",1,1
19404818,"40.72403,-74.00858",0,1
19405371,"40.80138,-73.94413",1,0
19407214,"40.66929,-73.89079",0,0
19407360,"40.72412,-73.95261",0,1
19407599,"40.80221,-73.96514",0,3
19407781,"40.6834,-73.92035",0,0
19407992,"40.71527,-73.95946",0,1
19408027,"40.6719,-73.93475",0,0
19408620,"40.76064,-73.97066",2,5
19408844,"40.7483,-74.00031",1,0
19408914,"40.74818,-73.97537",2,2
19409299,"40.74843,-73.97715",2,7
19409421,"40.7098,-73.94834",1,0
19409691,"40.77366,-73.95755",0,0
19409883,"40.79749,-73.93336",0,1
19410180,"40.71228,-73.9599",0,0
19410331,"40.67507,-73.99805",0,1
19412140,"40.69232,-73.93446",0,1
19412207,"40.71109,-73.99616",0,1
19413230,"40.73247,-74.00335",2,2
19413670,"40.70928,-73.9659",0,1
19413675,"40.68663,-73.90721",2,0
19413691,"40.80964,-73.94321",1,0
19414154,"40.71078,-73.95071",1,0
19414281,"40.74371,-74.00244",0,0
19414323,"40.70234,-73.90815",3,0
19414732,"40.71112,-73.95382",1,0
19414813,"40.73392,-74.00354",2,1
19415114,"40.7794,-73.95427",0,1
19415314,"40.75812,-73.98935",1,7
19415887,"40.69321,-73.98143",0,0
19415979,"40.74444,-74.00068",0,0
19416433,"40.76037,-73.98747",1,1
19416458,"40.73557,-73.98589",0,2
19424191,"40.74857,-73.97722",2,6
19424753,"40.70119,-73.91154",2,0
19425570,"40.73307,-73.81868",0,2
19427899,"40.64667,-74.00187",0,0
19428065,"40.68683,-73.90733",2,0
19428575,"40.77009,-73.9427",0,3
19429043,"40.68194,-73.91832",0,0
19429202,"40.74374,-73.90387",0,0
19429274,"40.67484,-73.94084",0,0
19430063,"40.76174,-73.99228",1,2
19430074,"40.8674,-73.92411",0,0
19430239,"40.88249,-73.86274",0,0
19430305,"40.67316,-73.95812",1,1
19431326,"40.76488,-73.91813",0,0
19431893,"40.76523,-73.86966",0,0
19433400,"40.75132,-73.94236",1,0
19433585,"40.69678,-73.94409",0,0
19433834,"40.67002,-73.99158",4,1
19436446,"40.80194,-73.95551",0,2
19436634,"40.69625,-73.94857",0,0
19438593,"40.68919,-73.91719",0,0
19438695,"40.72439,-74.00481",0,0
19438978,"40.7238,-74.00665",0,1
19439068,"40.739,-73.87609",0,0
19439624,"40.67496,-73.95345",1,0
19439682,"40.6839,-73.82444",0,0
19439790,"40.74379,-73.99433",1,1
19439956,"40.75765,-73.89725",0,0
19440004,"40.77594,-73.94461",0,4
19440924,"40.80006,-73.9648",0,2
19441240,"40.81611,-73.94419",0,0
19446302,"40.63691,-73.95327",0,0
19448302,"40.69294,-73.94275",0,0
19448363,"40.76298,-73.99438",1,1
19449463,"40.7135,-73.94147",0,0
19450121,"40.85063,-73.94315",1,1
19450906,"40.69215,-73.96692",0,0
19451978,"40.73299,-73.99812",1,2
19452119,"40.78565,-73.9436",0,1
19452755,"40.70753,-73.9534",1,0
19454344,"40.76811,-73.95194",0,2
19455149,"40.74944,-73.99774",1,0
19455284,"40.6696,-73.93655",0,0
19455395,"40.66043,-73.98609",0,0
19455656,"40.73958,-74.00171",0,2
19455757,"40.66854,-73.98419",4,0
19456350,"40.7789,-73.98527",2,2
19456810,"40.70454,-73.81549",2,0
19457062,"40.68849,-73.9956",0,3
19458290,"40.67,-73.79232",0,0
19458462,"40.68689,-73.95982",0,0
19459082,"40.72728,-73.98954",0,0
19459142,"40.74072,-73.98133",0,0
19459965,"40.73437,-73.8502",0,0
19460197,"40.73321,-73.85058",0,0
19460218,"40.83855,-73.83167",0,0
19460590,"40.76564,-73.9173",0,0
19466060,"40.69343,-73.9371",1,1
19466277,"40.68537,-73.9436",0,0
19466900,"40.70853,-73.95249",1,0
19468444,"40.71863,-73.94405",1,0
19470210,"40.77727,-73.98127",2,3
19470886,"40.68776,-73.95379",0,0
19471352,"40.69844,-73.93921",1,0
19471948,"40.73376,-73.85155",0,0
19472085,"40.72901,-73.98621",0,2
19472799,"40.68746,-73.96115",0,0
19472906,"40.69269,-73.97093",0,0
19472944,"40.77854,-73.94984",0,0
19473132,"40.72292,-73.98732",1,4
19474100,"40.76248,-73.91686",0,0
19474652,"40.82716,-73.93953",1,1
19475005,"40.8688,-73.92256",0,1
19475058,"40.71585,-73.99171",1,1
19475130,"40.83587,-73.93734",1,1
19475198,"40.76386,-73.91475",0,0
19476630,"40.66168,-73.86665",0,2
19476873,"40.62298,-74.02601",0,0
19477677,"40.82119,-73.95583",0,1
19478537,"40.67538,-73.96257",1,0
19482416,"40.6688,-73.98527",4,0
19485371,"40.82582,-73.94876",0,1
19485634,"40.69181,-73.92462",0,0
19486860,"40.7496,-73.91523",0,0
19487781,"40.72216,-73.98043",0,2
19488137,"40.86438,-73.92086",1,1
19488192,"40.71619,-73.96126",0,1
19489138,"40.79884,-73.95962",0,2
19489293,"40.81703,-73.94512",0,0
19490059,"40.69487,-73.93665",1,1
19490255,"40.7302,-74.0008",1,2
19490499,"40.72351,-73.94241",0,0
19495120,"40.78116,-73.98672",2,1
19495570,"40.80232,-73.96977",0,1
19495598,"40.72805,-73.99146",0,1
19499668,"40.84133,-73.93739",1,1
19501242,"40.78196,-73.97764",2,1
19501640,"40.8188,-73.94505",0,0
19502013,"40.76708,-73.98912",1,3
19502079,"40.76615,-73.98829",1,2
