,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24676,40916843,"Large Bedroom On A Tree Lined Steet, East Village",318765282,Brian,Manhattan,East Village,40.72628,-73.98664,Private room,100,10,12,01/04/21,0.51,3,151
24677,40916964,Spacious furnished bedroom in Bushwick,19534131,Jt,Brooklyn,Bushwick,40.6926,-73.90614,Private room,27,30,2,31/12/19,0.08,1,0
24678,40918215,/BROOKLYN STYLE/ Bright Room with Queen-sized Bed,19955578,景詒,Brooklyn,Bedford-Stuyvesant,40.69379,-73.9453,Private room,29,30,2,20/01/20,0.09,1,0
24679,40918843,entire one bedroom apartment in east village,317192469,Carina,Manhattan,East Village,40.73021,-73.98956,Entire home/apt,2850,30,0,,,1,180
24680,40919941,"NYCAirbnb 4.
Full private apartment.",1997143,Louis,Brooklyn,Bedford-Stuyvesant,40.69382,-73.94364,Private room,338,1,33,03/11/21,33.0,9,103
24681,40919992,The best flat in new york,318794234,Diana,Queens,Maspeth,40.73437,-73.89789,Entire home/apt,400,30,2,20/12/19,0.08,1,180
24682,40920279,Long Island City Luxury Studio for Rent,110001541,Shihui,Queens,Long Island City,40.74854,-73.93929,Entire home/apt,120,30,0,,,1,0
24683,40920440,In the heart of Chelsea with a private terrace!,24413323,Yana,Manhattan,Chelsea,40.74305,-74.00711,Entire home/apt,250,30,0,,,1,0
24684,40921592,Luxury 2bedroom 2bath near subway & all 2E,255827154,Anna,Queens,Flushing,40.766796,-73.828362,Entire home/apt,182,2,30,06/11/21,1.27,3,65
24685,40922585,NYC Airbnb 2.,1997143,Louis,Brooklyn,Bedford-Stuyvesant,40.69347,-73.94399,Private room,145,1,51,19/07/21,2.33,9,103
24686,40922899,NYC Airbnb 3.,1997143,Louis,Brooklyn,Bedford-Stuyvesant,40.69473,-73.94553,Private room,145,1,24,05/09/21,1.4,9,103
24687,40923448,Sunny Loft Apartment Next to the Park,149380359,Jaime,Brooklyn,Prospect-Lefferts Gardens,40.6619,-73.96049,Entire home/apt,100,30,0,,,2,0
24688,40924272,Greenpoint 2 bedroom Available!,26681738,Jake,Brooklyn,Greenpoint,40.72357,-73.9435,Entire home/apt,85,60,0,,,1,0
24689,40925554,Apt Ridgewood/Bushwick Border! Mins to Manhattan!,318854591,John,Queens,Ridgewood,40.70734,-73.91565,Entire home/apt,188,30,1,21/12/19,0.04,1,365
24690,40925588,THE LINCOLN SUITES BROOKLYN - 590,130777278,Cenia,Brooklyn,Crown Heights,40.67036,-73.95812,Entire home/apt,153,2,41,29/11/21,6.72,2,155
24691,40926567,Huge Private Room ( Fits 3ppl ) Upper East Side,311750205,Sophia,Manhattan,East Harlem,40.784,-73.94573,Private room,121,2,3,03/03/20,0.14,2,51
24692,40927350,Complete Apartament! Cozy and super clean spacious,154763419,Stephania,Brooklyn,Kensington,40.64091,-73.97085,Entire home/apt,168,1,1,14/11/21,1.0,1,344
24693,40928399,"BEAUTIFUL, CLEAN AND ACCOMMODATING APT FOR YOU!",314364722,Archi,Bronx,Fordham,40.8603,-73.89317,Entire home/apt,285,2,7,31/10/21,0.61,2,172
24694,40928652,Hidden Gem / Private bath in a spacious 2B2B Home,37273608,Yuan,Manhattan,Hell's Kitchen,40.7541,-73.99329,Private room,148,2,54,29/10/21,3.65,3,0
24695,40928995,Two rooms one bathroom cozy low level apartment,150364624,Marco,Queens,Little Neck,40.77693,-73.74499,Entire home/apt,125,3,8,03/07/21,0.34,2,153
24696,40929480,Spacious 2B2B Home near Time Square & Hudson Yard,37273608,Yuan,Manhattan,Hell's Kitchen,40.75537,-73.99368,Entire home/apt,389,2,64,19/11/21,17.61,3,6
24697,40930849,"Astoria, very easy access to Manhattan",145563103,Badreddin (Ben),Queens,Astoria,40.75692,-73.92436,Entire home/apt,149,2,91,30/11/21,3.93,1,249
24698,40937837,Chill Spot,166849424,Dan,Brooklyn,Bedford-Stuyvesant,40.69011,-73.94357,Private room,28,30,0,,,1,0
24699,40939047,Cozy Light-Filled BR in Bohemian Clinton Hill Apt,4888319,Andromeda,Brooklyn,Clinton Hill,40.6928,-73.96652,Private room,39,30,7,09/02/20,0.3,1,0
24700,40941301,Dreamy SoHo apartment in prime location,61339221,Rylie,Manhattan,West Village,40.72867,-74.00379,Private room,70,30,1,01/01/20,0.04,1,0
24701,40941841,New One Bedroom in High Rise W/ Great NYC Views,411039,Lou,Manhattan,Upper West Side,40.7703,-73.98672,Entire home/apt,250,30,0,,,1,89
24702,40943610,Spacious 2 bedrooms in the heart of Brooklyn,319003483,C,Brooklyn,Flatbush,40.64502,-73.95868,Private room,60,30,0,,,1,0
24703,40943649,Light filled studio in Heart of Lower east side,319004394,Larance,Manhattan,Lower East Side,40.71715,-73.98932,Entire home/apt,91,30,2,29/12/19,0.09,1,0
24704,40943894,Newly renovated apt. in the heart of Ridgewood Nyc,319005512,Omar,Queens,Ridgewood,40.70524,-73.90328,Entire home/apt,119,2,35,26/11/21,1.65,1,66
24705,40944094,Second floor unit with free street parking,45937956,Fahim,Queens,Jackson Heights,40.75156,-73.89344,Entire home/apt,142,3,13,17/11/21,9.51,3,62
24706,40944374,PRIME Tourist Location! Private room 2 in Midtown,306295899,Kapsun,Manhattan,Midtown,40.74724,-73.98938,Private room,92,2,72,04/12/21,3.16,5,3
24707,40945277,Private Bedroom Next to SoHo!,113058525,Alfredo,Manhattan,Chinatown,40.71555,-73.99947,Private room,145,30,0,,,1,0
24708,40946280,Nice and clean room for rent .,126906679,Sanadra,Queens,Queens Village,40.70368,-73.74064,Private room,30,30,0,,,1,0
24709,40946694,Newly furnished 1BRW/D~Elev~Central park few block,162280872,Eran,Manhattan,Upper East Side,40.76966,-73.95821,Entire home/apt,155,30,3,02/11/20,0.13,56,220
24710,40946832,Large doorman studio 8 minutes from Central Park!,4218449,Robert,Manhattan,Hell's Kitchen,40.76955,-73.98817,Entire home/apt,80,30,0,,,1,0
24711,40947100,2 Bedrooms in Williamsburg Brooklyn,83376854,Jehangir,Brooklyn,Williamsburg,40.7071,-73.95482,Private room,225,30,1,31/12/19,0.04,1,0
24712,40947476,Large Brooklyn loft close to Manhattan,319039899,David,Brooklyn,Bedford-Stuyvesant,40.69048,-73.95914,Entire home/apt,175,30,0,,,1,0
24713,40949156,Comfortable room Upper West Side,175943567,Marcos,Manhattan,Upper West Side,40.80086,-73.96195,Private room,75,30,2,01/01/20,0.08,1,180
24714,40950740,Large 1 bed apartment next Prospect Park.,20971383,Jonelle,Brooklyn,Prospect-Lefferts Gardens,40.65854,-73.95407,Entire home/apt,132,30,1,29/12/19,0.04,1,179
24715,40950941,Bushwick room with private bathroom and a balcony,214320776,Dorde,Brooklyn,Bushwick,40.6869,-73.91044,Private room,140,3,1,17/02/20,0.05,1,88
24716,40951904,Prime Williamsburg Location & Near Subway!,230490856,Rob,Brooklyn,Williamsburg,40.71483,-73.95942,Entire home/apt,136,4,8,26/02/21,0.7,1,0
24717,40952752,Spacious 2 bedroom & private roof in Williamsburg,3779326,Khaled,Brooklyn,Williamsburg,40.70852,-73.96133,Entire home/apt,300,30,0,,,1,178
24718,40953806,Full private bedroom on Strivers Row,319112324,Daniela,Manhattan,Harlem,40.81779,-73.94549,Private room,95,3,1,02/01/20,0.04,1,153
24719,40962319,2 Bedroom in NoLita,1434956,Daniel,Manhattan,Nolita,40.72169,-73.99588,Entire home/apt,200,30,0,,,1,0
24720,40962564,2 Bedrooms Apt Right in Times Square,1015345,Tom,Manhattan,Theater District,40.7598,-73.98267,Private room,400,30,0,,,2,338
24721,40965070,Untouched by time in the East Village NYC,319053984,Chip,Manhattan,East Village,40.72694,-73.98259,Entire home/apt,300,2,0,,,1,70
24722,40965443,Quiet bedroom 1 garden view shared bath and living,250772683,Sandra,Brooklyn,Cypress Hills,40.68119,-73.88311,Private room,80,30,0,,,2,179
24723,40966210,Cozy 1 Bedroom Apt,77409890,Melissa,Manhattan,Harlem,40.81735,-73.94091,Entire home/apt,99,2,1,29/12/19,0.04,1,0
24724,40966218,East Village fantastic one Bedroom,2897329,Josefina,Manhattan,East Village,40.72866,-73.98437,Entire home/apt,198,30,2,01/03/20,0.09,1,169
24725,40966272,Perfect Midtown West Location,12959277,Kenneth,Manhattan,Hell's Kitchen,40.76458,-73.99006,Private room,190,30,3,08/02/20,0.13,1,0
24726,40966628,Renovated Upper East Side Studio,17757212,Michelle,Manhattan,Upper East Side,40.76767,-73.95536,Entire home/apt,139,30,3,13/06/21,0.22,1,279
24727,40968313,"Cozy   studio , near  Museums and Central Park",37084465,Katya,Manhattan,East Harlem,40.7878,-73.94746,Entire home/apt,103,2,5,15/08/21,0.21,1,0
24728,40968328,CLOSE BY CENTRAL PARK AND TIME SQUARE!,173083297,La Quinta Central Park,Manhattan,Upper West Side,40.77564,-73.97663,Private room,575,1,62,30/08/21,13.78,5,351
24729,40969708,Williamsburg cozy room close to Domino Park,5166944,Mark,Brooklyn,Williamsburg,40.71147,-73.96283,Private room,104,1,53,22/11/21,2.41,2,5
24730,40969893,#SA1# Wyndham Midtown 45 - 1BR Deluxe,78679311,Sekar,Manhattan,Midtown,40.75257,-73.97249,Entire home/apt,407,2,0,,,2,0
24731,40971027,Cozy studio in FORT GREENE/NAVYYARD,62633968,Fabio,Brooklyn,Fort Greene,40.69589,-73.97285,Entire home/apt,65,3,5,28/01/21,0.46,1,0
24732,40971624,"Stylish 1BR in Upper West Side, Pet-Friendly",48005494,Zeus,Manhattan,Upper West Side,40.77371,-73.98043,Entire home/apt,224,30,10,10/11/21,1.21,34,265
24733,40971650,"Modern 1BR in Upper West Side, Pet-Friendly",48005494,Zeus,Manhattan,Upper West Side,40.77238,-73.98237,Entire home/apt,200,30,1,03/09/20,0.07,34,0
24734,40971667,Fantastic 2BR in Upper West Side Near Central Park,48005494,Zeus,Manhattan,Upper West Side,40.77266,-73.98039,Entire home/apt,316,30,3,03/04/21,0.31,34,176
24735,40971681,Private Room in Brooklyn Brownstone,2157189,Paolo,Brooklyn,Bedford-Stuyvesant,40.69528,-73.93631,Private room,50,15,4,01/08/21,1.45,2,174
24736,40973933,Gorgeous Park Slope Classic,20271527,Saskia,Brooklyn,Park Slope,40.67893,-73.97539,Entire home/apt,350,14,1,30/10/21,0.81,1,31
24737,40977344,Harlem knights,147961078,Nachel,Manhattan,Harlem,40.8207,-73.93856,Private room,180,30,0,,,2,179
24738,40980998,MONTHLY RENTAL * PRIVATE ROOM IN CENTRAL BUSHWICK!,89580862,Niki,Brooklyn,Bushwick,40.70232,-73.92858,Private room,40,30,1,29/02/20,0.05,3,0
24739,40985162,Beautiful Bedroom with Great Backyard!,28722667,Qudsia,Brooklyn,Flatlands,40.62489,-73.92889,Private room,75,1,47,27/11/21,22.03,6,365
24740,40985406,"Midtown NYC, Wyndham Jan.17-20/575",102820135,Kelly,Manhattan,Midtown,40.75372,-73.97342,Private room,145,30,0,,,2,0
24741,40985898,#SA2# Wyndham Midtown 45 - 1BR Deluxe,78679311,Sekar,Manhattan,Midtown,40.75257,-73.97249,Entire home/apt,407,2,0,,,2,0
24742,40986210,Gorgeous Upper West Side Central Park,162921021,Esther,Manhattan,Upper West Side,40.79437,-73.96429,Private room,76,1,73,19/11/21,6.56,2,61
24743,40986283,room in Harlem,206217143,Isidro,Manhattan,Harlem,40.81792,-73.93789,Private room,50,30,0,,,1,0
24744,40986705,Lovely Central Park Upper West Side,162921021,Esther,Manhattan,Upper West Side,40.79433,-73.96364,Private room,80,1,95,20/11/21,5.83,2,67
24745,40986707,Townhouse 25 to 30 minutes from JFK,308020665,Michael,Brooklyn,East New York,40.66889,-73.88488,Private room,205,2,77,21/11/21,3.49,1,351
24746,40988010,😍L@@K!😍 Sunlit 3 bedroom in 20ft wide brownstone,147791016,Corey,Brooklyn,Bedford-Stuyvesant,40.69494,-73.9481,Entire home/apt,270,3,36,13/11/21,8.71,2,337
24747,40992236,Beautiful Getaway Destination  In Brooklyn,319743936,Clive,Brooklyn,Canarsie,40.64601,-73.90852,Entire home/apt,134,3,73,16/11/21,6.5,1,125
24748,40998503,Cozy home away from home,266360944,Olga,Queens,Springfield Gardens,40.66181,-73.76396,Private room,75,1,2,20/06/21,0.57,2,363
24749,41000928,Cozy apartment nearby the metro train F,23307388,Mario,Brooklyn,Kensington,40.62989,-73.97656,Private room,40,30,2,01/08/21,0.09,1,0
24750,41000946,"1 or 2 beds private room, near flushing, chinatown",298747627,Sheldon,Queens,Flushing,40.75258,-73.83045,Private room,78,1,8,26/09/21,8.0,3,172
24751,41001194,"Spacious, Light and Quiet East Village Apartment",4405241,Guy,Manhattan,Stuyvesant Town,40.7297,-73.97399,Entire home/apt,150,30,1,15/02/20,0.05,1,0
24752,41004118,The Brooklyn Blue House 3,183127881,Giana,Brooklyn,Canarsie,40.6446,-73.90154,Private room,59,30,15,30/10/21,0.64,5,365
24753,41004775,Me CaSa,319891468,Massow,Queens,Jamaica Hills,40.71169,-73.80159,Private room,140,2,1,14/08/21,0.26,1,88
24754,41005066,"WiFi, private room with two bed, and breakfast",262248507,Sorangel,Bronx,Morrisania,40.83354,-73.89767,Private room,40,30,1,02/01/20,0.04,1,173
24755,41006120,"Warm, Cozy and Sunny place to enjoy NYC.",46399563,Angela,Manhattan,Inwood,40.86881,-73.92304,Private room,70,1,6,10/10/21,0.26,1,339
24756,41006251,Cozy twin size bedroom & large closet in Manhattan,311607537,Marisa,Manhattan,East Harlem,40.79647,-73.93547,Private room,35,30,1,24/12/19,0.04,1,0
24757,41006656,Nothing too pretentious just clean quiet and cozy.,275548200,Jay,Manhattan,Washington Heights,40.84933,-73.93424,Private room,30,1,40,14/11/21,2.6,1,0
24758,41007370,Beautiful room in West New Brighton. Near ferry.,174786681,Sara I,Staten Island,Randall Manor,40.63587,-74.1213,Private room,48,7,6,01/09/21,0.67,1,62
24759,41008165,Manhattan cozy bedroom,24918475,Virginie,Manhattan,Kips Bay,40.73926,-73.97582,Private room,60,30,0,,,1,0
24760,41008859,"Williamsburg Studio, 10 min. to Manhattan L train",319990351,Brandon,Brooklyn,Williamsburg,40.71359,-73.95289,Entire home/apt,140,30,29,08/11/21,1.23,2,137
24761,41008894,Room in Ridgewood,116171108,Mario,Queens,Ridgewood,40.7044,-73.90594,Private room,35,30,0,,,1,0
24762,41009165,Luxury Master Bedroom/Bathroom in Luxury Apt,281814,Charles,Manhattan,Murray Hill,40.74969,-73.97767,Private room,221,30,0,,,1,0
24763,41009396,"Lovely, Large 1BR w/Private Terrace near LIRR",27610676,Richard,Queens,Bayside,40.7616,-73.77284,Entire home/apt,120,30,2,23/01/21,0.14,2,131
24764,41010459,1 bedroom Gem in Harlem,319453843,Onyeka,Manhattan,Harlem,40.81566,-73.93921,Entire home/apt,100,30,0,,,1,0
24765,41011491,3 Bed 2 Full Bath Dream Loft By 4 Train Sleeps 7,159239228,Touie,Manhattan,East Harlem,40.79694,-73.93668,Entire home/apt,275,30,8,06/08/20,0.37,1,186
24766,41012815,Classic & Comfortable Stay in Brooklyn:,78643953,Daniel,Brooklyn,Bushwick,40.69025,-73.91424,Entire home/apt,176,4,27,28/11/21,2.52,3,314
24767,41017990,Bushwick Sunrise Terrace,23280557,Patricia,Brooklyn,Bushwick,40.68209,-73.90803,Private room,45,30,0,,,1,0
24768,41021017,Modern In Law Apartment with Parking,137364928,Wendy,Brooklyn,East Flatbush,40.64634,-73.93296,Entire home/apt,75,30,20,16/10/20,0.88,1,0
24769,41021292,1 Bedroom Apartment next to Bayside LIRR Station,24771677,Noelle,Queens,Bayside,40.76332,-73.77117,Entire home/apt,115,30,2,30/10/21,0.57,4,122
24770,41021580,"Bright, Spacious Apartment at Inwood, Manhattan",261682551,Leonardo,Manhattan,Inwood,40.86737,-73.92662,Entire home/apt,90,30,1,11/01/20,0.04,2,0
24771,41023393,Your 2BR *haven* in Mott Haven mins from Manhattan,3187466,Elena,Bronx,Mott Haven,40.80991,-73.91211,Entire home/apt,170,6,12,14/11/21,0.57,1,161
24772,41023464,Village 1-Bed,68395509,Alice,Manhattan,Greenwich Village,40.73351,-73.99454,Entire home/apt,275,30,1,01/01/20,0.04,1,0
24773,41023525,"Sunny shared apt. 2 BR, great for groups of 2-3.",36012265,Ada,Brooklyn,Bushwick,40.70335,-73.93105,Private room,109,30,4,20/08/20,0.46,5,364
24774,41026711,Sunny & Spacious room in Brooklyn 2 min to train,186960276,Hasan Can,Brooklyn,Borough Park,40.64793,-73.99587,Private room,50,30,5,04/07/20,0.21,1,0
24775,41027184,Peace & Solace in Prospect Park South,186985759,Lucky,Brooklyn,Flatbush,40.65126,-73.96095,Private room,55,30,2,01/10/20,0.09,2,102
24776,41029977,East Village Apartment,150748157,Olivia,Manhattan,East Village,40.72219,-73.97993,Entire home/apt,74,30,0,,,1,0
24777,41033426,Dan's House - Studio near Empire State Building,320413124,Daniel,Manhattan,Midtown,40.7462,-73.9835,Entire home/apt,181,5,12,26/11/21,8.57,1,29
24778,41033943,Entire one bedroom apt with Roof access & NYC View,1863756,Madhu,Queens,Sunnyside,40.74325,-73.91666,Entire home/apt,125,30,0,,,1,80
24779,41036318,Cozy Private Studio Bathroom with Own entrance .,4307196,William,Queens,Glendale,40.69604,-73.89385,Private room,59,30,0,,,1,0
24780,41036360,"Newly renovated, comfy and trendy space. #1",212147885,Alisa,Brooklyn,Bedford-Stuyvesant,40.67737,-73.90923,Entire home/apt,169,4,9,22/11/20,0.43,4,248
24781,41036391,Best deal in Sunset park,201543093,Djordje,Brooklyn,Sunset Park,40.63961,-74.01678,Private room,700,30,0,,,1,180
24782,41042175,The Walton,210045569,Doodnauth,Bronx,Concourse,40.83266,-73.92047,Entire home/apt,95,2,17,15/11/21,0.76,4,150
24783,41042473,Newly furnished free wifi 64 inch smart TV 2bedrm.,320632879,Elliot,Manhattan,East Harlem,40.79566,-73.93437,Private room,80,30,0,,,1,180
24784,41043399,Beautiful room in Historic Clinton Hill apartment,12001318,Fabrizio,Brooklyn,Clinton Hill,40.68864,-73.96745,Private room,65,3,0,,,1,0
24785,41043703,Entire apartment in New York City Hell's kitchen,194696447,Michael,Manhattan,Hell's Kitchen,40.76405,-73.99373,Entire home/apt,200,30,1,25/12/19,0.04,1,0
24786,41047005,Cozy two bedroom apartment in the East Village,306974375,Monica,Manhattan,East Village,40.72606,-73.9795,Entire home/apt,170,30,3,20/01/20,0.13,1,0
24787,41047753,THE ULTIMTE*2BDRM*FAM FRNDLY,90154348,Dream,Manhattan,Hell's Kitchen,40.76112,-73.99746,Entire home/apt,1057,30,0,,,2,365
24788,41048090,Entire Apt Ridgewood/Bushwick Border 25 min to NYC,320748529,Fernando,Queens,Ridgewood,40.7083,-73.90988,Entire home/apt,175,30,2,30/11/21,0.09,1,90
24789,41048204,Big One Bedroom-full apartment- Upper East Side,6997654,Stav,Manhattan,Upper East Side,40.77783,-73.95476,Entire home/apt,85,30,2,05/01/20,0.09,1,0
24790,41048662,Private Sunny Williamsburg Home with Courtyard,4372524,Iain,Brooklyn,Williamsburg,40.71585,-73.95142,Shared room,123,30,3,17/03/20,0.14,1,0
24791,41048681,Roomy and aesthetically pleasing  place #2,212147885,Alisa,Brooklyn,Crown Heights,40.67555,-73.91053,Private room,169,5,10,16/11/20,0.43,4,322
24792,41048914,Experience Two @ Eighty -One,150981064,Michael,Brooklyn,Bedford-Stuyvesant,40.69167,-73.94736,Private room,116,4,23,26/11/21,0.98,1,6
24793,41048929,Chic Bushwick area! Private room!!,65354277,Eleanor,Brooklyn,Bushwick,40.69495,-73.91028,Private room,60,30,0,,,1,0
24794,41049086,Green Moon,319093849,Brianna,Brooklyn,Prospect-Lefferts Gardens,40.65587,-73.94376,Private room,40,30,1,01/01/20,0.04,2,179
24795,41050833,the room in the room that you can room,320796742,Yasin,Queens,Sunnyside,40.74506,-73.92224,Private room,70,30,0,,,1,0
24796,41051147,Beautiful 1 Bedroom Apt. in GreenPoint Brooklyn.,103818938,Luis,Brooklyn,Greenpoint,40.72177,-73.93995,Entire home/apt,63,1,2,14/03/20,0.08,1,0
24797,41052152,"Airy, modern, large room W’burg two blocks subway",20391551,Kiran,Brooklyn,Williamsburg,40.71495,-73.94109,Private room,79,5,3,21/01/20,0.13,1,0
24798,41058789,1 private bedroom in an apartment,311531272,Olaoye,Brooklyn,Brownsville,40.65866,-73.91312,Private room,50,1,2,17/03/20,0.09,2,65
24799,41061100,Huge Eco Oasis in the Heart of Brooklyn,82003805,Mariusz,Brooklyn,Prospect-Lefferts Gardens,40.65817,-73.96161,Entire home/apt,70,30,1,08/03/20,0.05,1,0
24800,41062559,Luxury 1 bedroom near subway & all 2A,320020592,Anna,Queens,Flushing,40.76619,-73.82839,Entire home/apt,122,2,29,21/11/21,1.29,2,62
24801,41062634,Stunning two bed apt in Hells Kitchen,108197310,Diego,Manhattan,Hell's Kitchen,40.76471,-73.98641,Entire home/apt,305,30,0,,,1,180
24802,41063102,Wyndham Midtown New York City Deluxe Studio Condo,273812306,Kelly,Manhattan,Midtown,40.75357,-73.97365,Private room,222,30,0,,,1,0
24803,41065957,Spacious Couple RM near Queens Center Mall & NYPD,137358866,Kaz,Queens,Elmhurst,40.74361,-73.87081,Private room,46,30,1,23/06/20,0.06,162,351
24804,41067323,BEST OPTION  IN THE HEART OF ELMHURST,261857310,Carlos,Queens,Elmhurst,40.74405,-73.87092,Private room,61,1,0,,,2,89
24805,41068409,Studio Apartment in East Williamsburg,313368776,Max,Brooklyn,Williamsburg,40.70231,-73.94604,Entire home/apt,85,30,1,15/03/20,0.05,1,0
24806,41069298,Home away from home with free street parking,96013929,Mahbuba,Queens,Jackson Heights,40.7507,-73.89314,Entire home/apt,142,3,9,07/11/21,0.38,1,62
24807,41075946,Cozy Ambience,127227897,Carleen,Bronx,Allerton,40.86823,-73.85762,Entire home/apt,155,30,3,10/10/21,0.19,1,365
24808,41078843,3 Bedroom Quietly Close To Everything,138203985,Alejandro,Queens,Ridgewood,40.70868,-73.91133,Entire home/apt,190,1,41,27/11/21,1.75,1,157
24809,41079381,Bronx Lovely large room,321218182,NOMA Winde B,Bronx,Concourse Village,40.83408,-73.91123,Private room,79,1,41,31/07/21,3.15,2,148
24810,41081759,Central Park and West 86th st Studio,61396454,Ash,Manhattan,Midtown,40.7554,-73.96293,Entire home/apt,150,30,1,21/02/20,0.05,24,308
24811,41081817,Private Room at Wall Street,321249087,Adam,Manhattan,Financial District,40.70502,-74.00624,Private room,92,30,1,15/02/20,0.05,1,0
24812,41082583,"Modern big studio: laundry,elevator,new appliances",26662589,Alexander,Queens,Sunnyside,40.73951,-73.93002,Entire home/apt,75,30,2,04/01/20,0.09,1,0
24813,41082801,Studio593 In the heart of Midtown Manhattan,321252889,Oscar & Rossanna,Manhattan,Midtown,40.74808,-73.98828,Entire home/apt,212,1,32,08/11/21,2.36,5,158
24814,41084842,Master beautiful room with full private bathroom,161140139,Daniel,Brooklyn,Bushwick,40.69325,-73.91611,Private room,66,4,7,27/10/21,1.35,3,6
24815,41085750,Private Bedroom in Washington Heights Apartment,224972356,Matthew,Manhattan,Washington Heights,40.8387,-73.93965,Private room,1000,30,0,,,1,180
24816,41086006,PRIME Tourist Location! Private room 3 in Midtown,306295899,Kapsun,Manhattan,Chelsea,40.74744,-73.99118,Private room,90,2,81,28/11/21,3.58,5,6
24817,41089850,Castle By The Airport,321364483,Clive,Queens,Springfield Gardens,40.66311,-73.76066,Entire home/apt,165,7,5,17/01/21,0.22,1,235
24818,41091413,Quiet bedroom 2 garden view shared bath and living,250772683,Sandra,Brooklyn,Cypress Hills,40.68116,-73.88142,Private room,80,30,0,,,2,179
24819,41091898,"Urban Luxury, Lots of Natural Light, Williamsburg",25108946,Jeffrey,Brooklyn,Williamsburg,40.71404,-73.94299,Private room,45,30,4,09/02/20,0.18,1,0
24820,41105251,LRG RM PVT BATHROOM MIN WALK 2 TRAIN NEAR HOSPITAL,241676154,Maria,Staten Island,Grant City,40.5775,-74.11038,Private room,39,30,3,09/07/21,0.75,10,117
24821,41106442,"Club Wyndham Midtown 45, New York City, 1 Bedroom",194953121,,Manhattan,Midtown,40.75188,-73.97304,Entire home/apt,643,2,0,,,15,331
24822,41106448,"Exquisite Club Wyndham Midtown 45, 1 Bedroom Suite",194953121,,Manhattan,Midtown,40.75165,-73.97124,Entire home/apt,643,2,1,01/01/20,0.04,15,331
24823,41106450,"Nocturnal Club Wyndham Midtown 45, 1 Bedroom Suite",194953121,,Manhattan,Midtown,40.75322,-73.97358,Entire home/apt,643,2,1,01/01/20,0.04,15,331
24824,41107092,Studio638 In the heart of Midtown Manhattan,321252889,Oscar & Rossanna,Manhattan,Midtown,40.74795,-73.98692,Entire home/apt,290,1,22,10/10/21,3.47,5,155
24825,41107719,Hotel Style Extra Large Room/Studio,321571873,Daniel,Manhattan,Harlem,40.80902,-73.95492,Private room,150,30,0,,,1,365
24826,41108231,Sunny clean safe private apartment in the Bronx,57049951,Eliahu,Bronx,Bronxdale,40.85545,-73.86395,Entire home/apt,85,2,1,12/09/21,0.35,10,363
24827,41108306,1 Bedroom in Heart Of Bushwick w/ Big Home Office,10921790,Deryck,Brooklyn,Bushwick,40.70732,-73.92137,Entire home/apt,99,14,3,30/07/21,0.21,1,6
24828,41108462,"studio in the bronx
25 minute to times square nyc",180380802,Avner,Bronx,Bronxdale,40.85559,-73.86235,Entire home/apt,75,2,6,06/11/21,0.27,8,350
24829,41109085,"Fresh clean cozy room, Brooklyn NYC",37027805,Blade,Brooklyn,Bedford-Stuyvesant,40.689,-73.94076,Private room,22,30,6,07/01/20,0.26,3,0
24830,41109712,Studio678 In the heart of Midtown Manhattan,321252889,Oscar & Rossanna,Manhattan,Midtown,40.74829,-73.98757,Entire home/apt,233,1,26,08/11/21,1.17,5,155
24831,41112420,Best Dumbo location. Huge roof top overlooking NY,39541683,Anna,Brooklyn,Vinegar Hill,40.70417,-73.98436,Private room,130,30,1,01/01/20,0.04,1,0
24832,41123504,"Big, Bright Oasis in the Heart of Greenpoint",1220317,Allison,Brooklyn,Greenpoint,40.72484,-73.95035,Entire home/apt,100,25,3,04/04/21,0.13,1,0
24833,41124781,Sun-filled gorgeous corner L shaped studio,45502946,Lawrence,Brooklyn,Kensington,40.63544,-73.97445,Entire home/apt,119,60,2,08/04/20,0.09,1,122
24834,41125049,Spectacular Historic Townhouse in Brooklyn,1360423,Kaveh,Brooklyn,Crown Heights,40.67703,-73.94214,Entire home/apt,165,30,0,,,1,0
24835,41125441,Cozy 2 Bedroom Suite the right place to stay.,222426321,Delanno,Brooklyn,East New York,40.66177,-73.89034,Entire home/apt,186,3,24,03/11/21,11.8,3,171
24836,41126713,2 BDRM 2 BTH*HIGH TECH*LUX CNDO,90154348,Dream,Manhattan,Hell's Kitchen,40.76011,-73.99761,Entire home/apt,1000,30,0,,,2,365
24837,41127989,Studio726 In the heart of Midtown Manhattan,321252889,Oscar & Rossanna,Manhattan,Midtown,40.7476,-73.98691,Entire home/apt,255,1,50,21/11/21,5.03,5,157
24838,41129980,Green Moon,319093849,Brianna,Brooklyn,East Flatbush,40.65367,-73.94434,Private room,79,30,1,08/01/20,0.04,2,365
24839,41131891,Well-appointed studio apt in Shopping district,7652744,Adam,Manhattan,Midtown,40.76196,-73.97021,Entire home/apt,172,3,72,28/11/21,10.19,4,41
24840,41132137,Aconchegante quarto em Astoria,321952505,Noadja,Queens,Astoria,40.75969,-73.91764,Private room,120,30,1,10/01/20,0.04,1,179
24841,41132277,"AMAZING ROOM, IN FOREST HILLS.",165828232,Claudia,Queens,Rego Park,40.72078,-73.86008,Private room,80,30,1,25/01/20,0.04,2,0
