id,geom,amenities_500,subway_500,natural_500
50999361,"40.72129,-73.99345",223.0,1,2
50999685,"40.59056,-73.79284",1.0,0,1
50999787,"40.82203,-73.9573",5.0,0,1
50999924,"40.8059,-73.95416",50.0,0,1
51000097,"40.7306,-73.97972",66.0,0,5
51000579,"40.644371,-74.00576",11.0,0,0
51001407,"40.66072,-73.75616",0.0,0,3
51001754,"40.76529,-73.8733",10.0,0,0
51001957,"40.74017,-73.92447",26.0,0,0
51002225,"40.74319,-73.97736",119.0,0,1
51003096,"40.74697,-73.97504",113.0,0,2
51003104,"40.76522,-73.87155",9.0,0,0
51003110,"40.7413,-74.00054",113.0,0,2
51003303,"40.75233,-73.99502",128.0,3,3
51005554,"40.64008,-73.95052",2.0,0,0
51008522,"40.79062,-73.97512",63.0,1,1
51008529,"40.789688,-73.974403",79.0,1,1
51008582,"40.7525,-73.97246",130.0,2,3
51013625,"40.74471,-73.98103",194.0,0,0
51014536,"40.79673,-73.962547",36.0,0,1
51014888,"40.78931,-73.97024",65.0,0,1
51015077,"40.74782,-73.98698",202.0,2,1
51015080,"40.577,-73.98552",18.0,1,1
51016251,"40.704033,-73.919151",52.0,0,0
51018155,"40.72075,-73.9533",84.0,0,1
51018343,"40.72249,-73.99344",196.0,1,2
51018606,"40.78326,-73.94815",72.0,0,1
51018783,"40.68262,-73.95168",16.0,1,0
51019131,"40.74882,-73.99749",83.0,1,0
51019803,"40.77673,-73.98141",48.0,2,3
51020151,"40.82524,-73.95507",10.0,0,1
51020374,"40.73614,-73.87232",8.0,0,0
51020736,"40.63265,-73.9585",2.0,1,0
51020915,"40.71429,-73.75031",3.0,0,0
51022299,"40.71334,-73.95915",88.0,0,0
51023350,"40.72237,-73.97643",14.0,0,3
51023587,"40.6777,-73.92215",1.0,0,0
51023732,"40.7636,-73.98922",166.0,1,2
51023991,"40.80754,-73.9511",46.0,0,0
51024266,"40.81065,-73.85338",0.0,0,2
51024399,"40.72709,-74.00254",159.0,0,2
51024524,"40.75538,-73.83057",39.0,0,2
51025107,"40.67212,-73.94028",2.0,0,0
51025611,"40.64349,-74.09291",4.0,0,0
51027017,"40.67965,-73.87193",2.0,0,0
51027271,"40.67862,-73.87376",6.0,0,0
51027422,"40.78677,-73.97501",89.0,0,0
51035025,"40.67168,-73.94077",2.0,0,0
51035219,"40.74641,-73.85541",6.0,0,2
51036665,"40.78461,-73.94857",63.0,0,1
51037782,"40.68342,-73.95422",17.0,1,0
51038213,"40.63408,-73.97279",5.0,0,0
51039531,"40.72363,-73.98613",162.0,1,4
51040232,"40.67017,-73.89049",0.0,0,0
51040477,"40.74398,-73.97586",92.0,0,1
51040846,"40.70893,-73.9499",29.0,1,0
51042009,"40.77036,-73.92401",33.0,0,0
51042544,"40.59774,-73.99826",3.0,0,0
51042600,"40.74534,-73.97794",147.0,0,1
51044639,"40.74383,-73.97594",88.0,0,1
51044853,"40.74698,-73.98885",195.0,2,2
51045369,"40.75953,-73.99116",198.0,1,1
51046523,"40.68566,-73.87629",4.0,0,0
51046606,"40.69573,-73.92547",18.0,1,0
51047557,"40.74494,-73.94986",43.0,1,1
51048002,"40.68803,-73.9282",6.0,0,1
51048934,"40.62866,-73.94717",0.0,0,1
51049840,"40.76779,-73.92267",53.0,0,0
51050536,"40.70444,-74.00875",111.0,5,5
51052559,"40.72987,-73.98782",173.0,0,3
51052642,"40.7465,-73.98846",201.0,2,2
51053610,"40.75527,-73.96835",100.0,2,5
51056906,"40.79275,-73.94712",35.0,0,4
51058594,"40.78333,-73.94849",72.0,0,1
51058734,"40.76395,-73.98369",180.0,1,8
51059043,"40.71878,-74.00285",184.0,1,3
51059180,"40.74679,-73.9867",207.0,2,2
51059463,"40.77923,-73.94554",60.0,0,2
51059733,"40.66974,-73.88832",0.0,0,0
51059798,"40.77318,-73.95417",125.0,0,1
51060433,"40.75557,-73.99554",134.0,2,3
51060485,"40.59989,-74.10771",0.0,0,4
51060831,"40.78294,-73.9486",73.0,0,1
51061206,"40.78493,-73.94853",55.0,0,1
51061698,"40.68494,-73.92947",13.0,0,0
51062106,"40.84443,-73.93884",9.0,1,0
51062275,"40.68291,-73.90676",3.0,5,0
51062650,"40.78382,-73.94809",70.0,0,1
51063866,"40.71927,-73.94609",43.0,0,0
51064031,"40.78332,-73.95021",79.0,0,0
51064101,"40.64826,-73.92805",0.0,0,0
51064537,"40.78486,-73.95033",62.0,0,0
51065330,"40.69767,-73.89805",27.0,0,0
51065454,"40.73884,-73.86409",7.0,0,0
51065814,"40.72113,-73.9563",88.0,0,1
51065948,"40.78355,-73.94852",71.0,0,1
51067075,"40.83641,-73.94312",3.0,1,1
51068167,"40.76139,-73.99441",103.0,1,1
51068377,"40.71869,-73.9453",37.0,1,0
51068516,"40.65509,-73.96029",6.0,2,1
51068791,"40.75697,-73.9964",133.0,2,3
51069339,"40.76041,-73.92017",78.0,0,0
51069525,"40.59579,-73.93487",2.0,0,0
51071045,"40.77738,-73.97879",50.0,2,5
51071052,"40.77525,-73.97878",48.0,2,5
51071173,"40.75972,-73.93356",13.0,0,0
51075490,"40.76565,-73.98567",148.0,1,3
51079553,"40.77685,-73.97682",44.0,2,6
51081515,"40.66962,-73.98264",60.0,1,0
51081964,"40.72723,-73.99955",171.0,0,2
51082505,"40.74467,-73.97146",31.0,0,2
51082781,"40.75596,-73.99561",138.0,2,3
51083304,"40.75685,-73.99537",153.0,2,3
51083869,"40.88832,-73.86067",2.0,0,0
51084175,"40.66542,-73.92607",0.0,0,0
51086052,"40.75779,-73.93349",23.0,0,0
51086182,"40.75776,-73.93206",24.0,0,0
51086354,"40.75966,-73.93269",17.0,0,0
51087258,"40.79578,-73.93988",37.0,0,1
51087326,"40.79567,-73.942",29.0,0,0
51089818,"40.7426,-73.99759",113.0,0,1
51090896,"40.65081,-73.95322",3.0,0,0
51098634,"40.63432,-73.92298",0.0,0,1
51099799,"40.7591,-73.8286",57.0,0,0
51100383,"40.7564,-73.99832",77.0,1,4
51100458,"40.69015,-73.97967",40.0,0,0
51100480,"40.74576,-73.95432",43.0,0,3
51101034,"40.69017,-73.97979",38.0,0,0
51101602,"40.82959,-73.943",20.0,0,0
51101888,"40.67634,-73.90716",4.0,5,0
51101890,"40.72921,-73.95731",28.0,0,1
51103264,"40.88752,-73.81806",0.0,0,0
51103816,"40.78558,-73.97457",81.0,0,0
51109027,"40.759148,-73.984161",202.0,1,6
51109419,"40.677,-73.95922",51.0,2,0
51109929,"40.6341,-73.92686",0.0,0,0
51111227,"40.89588,-73.90879",0.0,0,4
51111295,"40.7931,-73.94094",33.0,0,1
51121141,"40.73582,-73.97796",21.0,0,4
51121143,"40.588181,-73.794182",1.0,0,1
51122713,"40.71816,-73.84946",20.0,1,0
51123910,"40.71738,-73.99376",288.0,1,3
51124294,"40.6764,-73.95446",42.0,2,0
51124983,"40.7378,-73.88003",35.0,0,0
51126088,"40.82977,-73.9443",25.0,0,0
51126136,"40.69589,-73.91235",49.0,1,0
51128060,"40.78061,-73.94571",62.0,0,2
51128437,"40.67824,-73.93915",10.0,0,0
51128975,"40.69001,-73.97847",43.0,0,0
51129000,"40.6681,-73.98825",50.0,4,0
51129727,"40.71545,-74.00732",86.0,3,8
51129804,"40.67028,-73.95734",28.0,1,4
51130939,"40.81575,-73.9538",13.0,0,0
51131758,"40.69192,-73.92573",4.0,0,0
51132433,"40.69481,-73.91912",14.0,1,0
51136061,"40.87489,-73.84565",0.0,0,0
51137096,"40.83828,-73.87611",0.0,1,1
51139008,"40.75163,-73.97249",115.0,2,3
51139882,"40.63581,-73.97427",6.0,0,0
51139891,"40.69516,-73.92541",15.0,1,0
51139987,"40.74746,-73.98901",200.0,2,1
51141168,"40.74611,-73.98875",204.0,2,3
51141963,"40.75156,-73.97326",120.0,2,3
51142283,"40.82925,-73.9465",25.0,0,1
51142697,"40.6894,-73.91446",10.0,0,0
51143114,"40.8286,-73.94589",25.0,0,1
51143643,"40.71575,-73.99065",160.0,1,1
51144279,"40.68114,-73.96406",53.0,0,1
51145083,"40.67857,-73.83351",0.0,0,0
51145379,"40.71705,-73.94131",24.0,0,0
51146494,"40.75727,-73.99384",170.0,2,0
51146605,"40.75536,-73.99551",131.0,2,3
51147366,"40.75611,-73.99542",145.0,2,3
51147772,"40.75754,-73.99379",171.0,2,0
51148534,"40.75536,-73.99541",133.0,2,3
51149385,"40.80205,-73.9458",25.0,0,0
51149917,"40.81762,-73.9537",10.0,0,1
51150395,"40.75422,-73.9978",87.0,1,3
51150521,"40.83575,-73.91527",0.0,0,3
51151498,"40.65174,-73.95512",4.0,0,0
51154314,"40.81082,-73.94275",13.0,0,0
51154696,"40.72009,-73.96046",67.0,0,2
51155545,"40.79566,-73.94167",32.0,0,1
51157342,"40.68546,-73.96251",27.0,0,0
51157595,"40.68794,-73.9119",12.0,0,0
51159132,"40.76174,-73.87154",9.0,0,0
51160997,"40.80681,-73.95057",52.0,0,0
51161332,"40.80703,-73.95003",51.0,0,0
51162963,"40.77908,-73.97714",62.0,2,5
51163986,"40.75702,-73.99002",240.0,1,4
51164192,"40.74214,-73.98223",169.0,0,1
51165082,"40.7116,-73.96737",38.0,0,2
51166991,"40.77305,-73.95367",124.0,0,1
51167118,"40.69603,-73.96052",11.0,0,0
51167621,"40.67829,-73.94422",15.0,0,0
51169564,"40.71175,-73.96315",64.0,0,2
51169565,"40.76039,-73.9702",101.0,2,4
51170954,"40.71205,-73.9399",23.0,0,0
51171726,"40.71175,-73.94237",27.0,0,0
51172052,"40.75574,-73.99533",140.0,2,3
