id,geom,amenities_500,subway_500,natural_500
8191158,"40.6948,-73.96288",19.0,0,0
8283594,"40.64977,-74.00385",24.0,0,1
8299030,"40.6498,-74.00204",21.0,0,1
8301182,"40.8024,-73.95135",42.0,0,0
8313370,"40.78094,-73.95285",100.0,0,1
8330254,"40.68092,-73.97738",63.0,3,0
8381315,"40.74114,-73.99881",109.0,0,2
8385447,"40.68001,-73.94248",13.0,0,0
8392670,"40.64123,-73.88868",0.0,0,0
8426247,"40.64508,-73.97373",18.0,0,0
8426915,"40.66985,-73.7766",6.0,0,0
8459919,"40.72608,-73.9553",46.0,0,1
8518683,"40.71994,-73.9916",207.0,1,2
8534732,"40.68624,-73.95868",27.0,0,0
8554547,"40.87303,-73.88001",1.0,0,1
8568841,"40.73549,-73.99284",99.0,1,0
8643360,"40.67796,-73.97056",55.0,0,3
8645186,"40.74919,-73.97108",71.0,2,3
8716700,"40.7296,-73.98885",176.0,0,2
8720702,"40.70894,-74.01536",65.0,4,18
8722500,"40.71171,-74.0062",107.0,5,6
8730247,"40.69115,-73.9721",38.0,0,0
8735236,"40.68649,-73.98507",43.0,1,0
8741124,"40.61333,-73.96804",2.0,0,0
8757726,"40.67743,-73.9203",1.0,0,0
8762641,"40.78502,-73.97911",78.0,0,1
8776208,"40.699,-73.9118",71.0,2,0
8776329,"40.63134,-73.96439",5.0,1,0
8777890,"40.68727,-73.92227",10.0,0,0
8799533,"40.61013,-73.96311",3.0,2,0
8816718,"40.71909,-73.96287",58.0,0,2
8823913,"40.71369,-74.00693",80.0,5,7
8831792,"40.70922,-73.90278",32.0,0,0
8860277,"40.67707,-73.97065",53.0,0,3
8884004,"40.68308,-73.93906",19.0,0,0
8886338,"40.69553,-73.92996",12.0,2,1
8904876,"40.70231,-73.92191",62.0,2,0
8924504,"40.69719,-73.90813",56.0,1,0
8967396,"40.80857,-73.85073",0.0,0,0
8987606,"40.72933,-73.98755",174.0,0,3
9046490,"40.65026,-73.96052",4.0,2,1
9061145,"40.71192,-73.96238",67.0,0,2
9078066,"40.77249,-73.91689",22.0,0,0
9106711,"40.73324,-73.98396",99.0,0,2
9111254,"40.66804,-73.92626",2.0,0,0
9181806,"40.68772,-73.95904",22.0,0,0
9184124,"40.66514,-73.91697",0.0,0,0
9195330,"40.6694,-73.96182",22.0,0,12
9216014,"40.71403,-73.94551",56.0,1,0
9218893,"40.6707,-73.92981",3.0,0,0
9219049,"40.72643,-73.82879",4.0,0,2
9261959,"40.72517,-73.94473",20.0,0,0
9274309,"40.6853,-73.95618",18.0,1,0
9299164,"40.70915,-73.78744",8.0,0,0
9314873,"40.77051,-73.9204",32.0,0,0
9411467,"40.74695,-74.00123",71.0,1,0
9446357,"40.76138,-73.91855",80.0,0,0
9527971,"40.76597,-73.96162",60.0,0,0
9541094,"40.71279,-73.96631",52.0,0,2
9560398,"40.78866,-73.94783",40.0,0,2
9589133,"40.67793,-73.99659",25.0,0,1
9595836,"40.77096,-73.90857",31.0,0,0
9596868,"40.79809,-73.96305",46.0,0,1
9604498,"40.68755,-73.93713",8.0,0,1
9607485,"40.67098,-73.93901",3.0,0,0
9614224,"40.83537,-73.93892",3.0,0,1
9630344,"40.68457,-73.91181",8.0,0,0
9694487,"40.74549,-73.98238",217.0,1,2
9713589,"40.68323,-73.98592",34.0,0,1
9716424,"40.67712,-73.95116",30.0,1,0
9729517,"40.67911,-73.9609",47.0,2,0
9741431,"40.86705,-73.91982",10.0,0,1
9772177,"40.78709,-73.95206",50.0,0,1
9806606,"40.72202,-73.98256",96.0,1,1
9810403,"40.73171,-73.98814",137.0,0,2
9821183,"40.69326,-73.92608",6.0,0,0
9856938,"40.83154,-73.94254",11.0,0,0
9860497,"40.75834,-73.91555",30.0,0,0
9863045,"40.798645,-73.934341",17.0,0,1
9874794,"40.72589,-73.97681",21.0,0,3
9876040,"40.82284,-73.93877",5.0,1,1
9882198,"40.7314,-73.95516",28.0,0,2
9895911,"40.75738,-73.91843",45.0,0,0
9903230,"40.64558,-74.00828",14.0,0,0
9926274,"40.73543,-73.9545",16.0,0,1
9940443,"40.76542,-73.95786",48.0,0,1
9960512,"40.69676,-73.90974",60.0,1,0
9967579,"40.85577,-73.93226",10.0,2,1
9973167,"40.64741,-74.00705",19.0,0,0
9979608,"40.76222,-73.91011",17.0,0,0
10035324,"40.84763,-73.93393",18.0,0,1
10045548,"40.80007,-73.9461",18.0,0,1
10057593,"40.74282,-73.98355",193.0,0,2
10058971,"40.68981,-73.958",23.0,0,0
10068653,"40.72217,-73.98494",146.0,1,3
10071156,"40.7251,-73.95174",45.0,0,0
10097957,"40.81093,-73.94764",25.0,0,0
10098019,"40.8103,-73.94704",25.0,0,0
10120206,"40.72317,-73.99422",177.0,1,2
10123622,"40.81711,-73.94699",9.0,0,0
10166953,"40.75376,-73.82859",13.0,0,1
10190411,"40.81084,-73.96384",21.0,0,2
10225915,"40.75122,-73.98511",163.0,3,17
10243039,"40.71881,-73.99741",234.0,0,4
10253769,"40.82575,-73.93665",1.0,1,1
10267034,"40.60509,-73.9691",1.0,0,0
10268073,"40.74873,-73.99556",104.0,1,1
10268145,"40.71005,-73.94998",45.0,1,0
10282292,"40.74218,-73.91136",9.0,0,0
10319730,"40.64743,-73.94647",1.0,0,0
10321100,"40.83227,-73.91983",0.0,0,1
10345066,"40.73989,-73.92313",27.0,0,1
10362017,"40.74418,-73.99852",103.0,0,0
10363521,"40.69498,-73.96247",19.0,0,0
10387852,"40.83381,-73.94271",5.0,0,0
10504508,"40.76251,-74.00019",16.0,0,2
10538764,"40.80429,-73.95361",43.0,0,1
10540876,"40.80445,-73.95223",48.0,0,0
10552168,"40.75295,-73.97361",137.0,2,3
10569037,"40.7811,-73.95319",94.0,0,1
10625668,"40.64912,-73.96697",8.0,2,1
10649625,"40.73188,-73.99048",118.0,0,0
10673134,"40.77304,-73.95326",121.0,0,1
10696502,"40.67931,-73.97974",74.0,1,0
10721891,"40.76411,-73.99371",79.0,0,2
10726217,"40.72245,-73.99647",148.0,0,1
10727010,"40.65344,-73.96047",6.0,3,1
10791008,"40.62257,-73.94013",0.0,0,0
10850091,"40.7548,-73.9974",101.0,1,3
10857181,"40.71372,-74.00655",77.0,5,5
10909032,"40.71102,-73.95085",46.0,1,0
10921244,"40.67783,-73.99105",20.0,0,1
10945985,"40.65258,-73.91168",0.0,0,0
10983794,"40.73707,-73.98511",99.0,0,2
11065884,"40.81062,-73.93882",7.0,0,1
11161984,"40.73368,-73.9867",110.0,0,2
11226397,"40.75269,-73.97244",133.0,2,4
11243953,"40.76411,-73.99371",79.0,0,2
11244568,"40.71899,-73.99773",223.0,0,4
11270828,"40.69741,-73.91482",45.0,2,0
11302521,"40.63686,-73.96722",18.0,2,0
11340694,"40.71899,-73.99773",223.0,0,4
11341728,"40.71899,-73.99773",223.0,0,4
11343331,"40.8018,-73.97056",48.0,0,1
11355757,"40.69857,-73.92822",27.0,1,0
11360523,"40.69975,-73.99432",25.0,0,5
11372267,"40.76411,-73.99371",79.0,0,2
11373754,"40.74557,-73.99749",105.0,1,0
11380956,"40.76411,-73.99371",79.0,0,2
11381526,"40.71899,-73.99773",223.0,0,4
11391811,"40.82187,-73.93672",3.0,1,1
11421969,"40.77013,-73.95517",88.0,0,1
11440260,"40.76411,-73.99371",79.0,0,2
11451816,"40.69000615,-73.91911013",7.0,0,0
11452204,"40.76411,-73.99371",79.0,0,2
11474011,"40.76411,-73.99371",79.0,0,2
11543818,"40.72173,-73.98389",120.0,1,2
11546336,"40.85523,-73.93685",17.0,2,1
11552749,"40.76411,-73.99371",79.0,0,2
11568577,"40.71899,-73.99773",223.0,0,4
11593727,"40.67197,-73.94006",2.0,0,0
11611289,"40.80131,-73.94887",22.0,0,1
11622052,"40.67219,-73.87819",1.0,0,0
11652179,"40.67741,-73.94471",17.0,0,0
11673018,"40.83156,-73.94124",8.0,0,0
11675279,"40.6358,-73.94024",0.0,0,0
11690477,"40.75882,-73.99496",143.0,1,3
11697629,"40.71899,-73.99773",223.0,0,4
11716127,"40.74334,-73.98401",205.0,1,2
11724255,"40.74839,-73.97931",179.0,2,5
11758313,"40.71899,-73.99773",223.0,0,4
11772032,"40.74472,-73.91655",18.0,0,1
11775179,"40.6437,-73.95189",2.0,0,0
11863225,"40.71899,-73.99773",223.0,0,4
11863602,"40.71611,-74.00887",80.0,2,5
11867485,"40.76018,-73.98431",226.0,1,6
11903201,"40.71212,-73.96641",49.0,0,2
11905212,"40.73557,-73.88302",15.0,0,0
11910742,"40.74014,-74.0023",117.0,0,2
11942373,"40.67701,-73.96071",49.0,2,0
11967410,"40.71899,-73.99773",223.0,0,4
11983644,"40.86027,-73.92732",4.0,1,1
12022739,"40.71899,-73.99773",223.0,0,4
12024220,"40.76411,-73.99371",79.0,0,2
12027791,"40.74285,-73.91511",14.0,0,1
12037401,"40.78119,-73.95302",98.0,0,1
12042253,"40.68196,-73.97088",57.0,1,2
12043691,"40.8292,-73.94642",25.0,0,1
12068200,"40.71735,-74.00478",132.0,1,3
12074139,"40.80044,-73.95374",26.0,0,2
12112190,"40.76411,-73.99371",79.0,0,2
12136998,"40.6892,-73.99225",64.0,0,1
12169389,"40.71387,-73.94372",38.0,1,0
12224852,"40.69153,-73.99264",49.0,0,1
12245694,"40.86747,-73.91875",10.0,0,1
12246395,"40.79805,-73.96678",70.0,1,1
12267522,"40.72689,-73.98809",184.0,0,1
12286373,"40.75607,-73.92199",31.0,0,0
12291318,"40.80194,-73.94367",21.0,1,0
12390863,"40.67137,-73.95138",21.0,0,0
