id,geom,amenities_500,subway_500,natural_500
42125107,"40.76224,-73.98886",210.0,2,1
42128082,"40.83442,-73.91494",0.0,0,3
42132039,"40.72436,-73.98241",113.0,0,2
42133129,"40.64299,-73.98101",7.0,0,1
42134520,"40.72606,-73.98622",180.0,0,3
42137211,"40.73938,-73.98387",139.0,0,2
42137790,"40.72708,-73.829",4.0,0,2
42137992,"40.72518,-73.98807",192.0,0,2
42138758,"40.74766,-73.9365",25.0,0,1
42141301,"40.80046,-73.95987",43.0,0,3
42141925,"40.69398,-73.93283",14.0,1,1
42149370,"40.64371,-73.9866",4.0,0,1
42151482,"40.73448,-73.95943",20.0,0,2
42151717,"40.68759,-73.96062",20.0,0,0
42152029,"40.71008,-73.9505",44.0,1,0
42153254,"40.68842,-73.91431",11.0,0,0
42153536,"40.71855,-73.98755",164.0,1,3
42154630,"40.68386,-73.95246",17.0,1,0
42155009,"40.69629,-73.90328",38.0,0,0
42156206,"40.72823,-74.0013",176.0,0,2
42156533,"40.87979,-73.9056",2.0,0,1
42156706,"40.74484,-73.97311",57.0,0,2
42156779,"40.70497,-73.9199",47.0,0,0
42156917,"40.68299,-73.91392",8.0,0,0
42157672,"40.66296,-73.83533",2.0,2,2
42158189,"40.76442,-73.99026",126.0,0,1
42158612,"40.64118,-73.95231",2.0,0,0
42159545,"40.68435,-73.85178",1.0,0,0
42160136,"40.73812,-73.88313",31.0,0,0
42160230,"40.638,-74.08768",1.0,0,0
42169326,"40.64809,-73.93217",0.0,0,0
42174032,"40.74829,-73.87492",5.0,0,0
42176500,"40.64897,-73.91725",1.0,0,0
42177400,"40.68983,-73.92726",5.0,0,1
42177607,"40.67643,-73.94031",10.0,0,0
42180416,"40.70712,-73.92777",37.0,1,1
42180684,"40.7691,-73.94854",22.0,0,2
42180694,"40.69779,-73.92216",32.0,2,0
42182114,"40.64548,-74.00493",16.0,0,0
42182167,"40.64542,-74.00641",11.0,0,0
42182307,"40.64481,-74.00485",17.0,0,0
42182416,"40.64329,-74.00626",16.0,0,0
42182460,"40.64494,-74.00678",9.0,0,0
