id,geom,amenities_500,subway_500,natural_500
52856548,"40.81048,-73.94669",24.0,0,0
52857348,"40.81463,-73.94599",13.0,0,0
52857463,"40.79934,-73.96039",34.0,0,3
52857495,"40.81634,-73.93766",5.0,0,1
52857799,"40.75465,-73.87731",15.0,0,0
52857961,"40.75441,-73.97235",120.0,3,8
52858523,"40.75383,-73.87729",23.0,0,0
52858606,"40.74375,-73.9115",9.0,0,0
52858926,"40.75554,-73.96244",30.0,0,3
52859010,"40.75453,-73.97317",124.0,3,8
52859084,"40.811405,-73.953499",28.0,0,0
52860062,"40.79643,-73.93793",31.0,0,1
52860127,"40.70464,-73.90728",48.0,2,0
52861365,"40.65869,-73.9828",14.0,0,0
52861792,"40.75509,-73.99193",174.0,3,0
52862024,"40.74778,-73.97862",157.0,2,1
52862058,"40.70641,-74.0092",150.0,7,6
52862605,"40.67882,-73.93918",13.0,0,0
52862784,"40.75879,-73.91846",52.0,0,0
52862855,"40.767296,-73.983437",131.0,1,3
52863943,"40.65287,-73.9557",6.0,1,0
52864022,"40.74315,-73.97971",165.0,0,0
52864785,"40.6667,-73.76345",0.0,0,2
52864876,"40.67602,-73.93083",3.0,0,0
52865119,"40.6893,-73.90998",10.0,1,0
52865396,"40.71935,-73.96059",68.0,0,2
52865758,"40.6915,-73.9129",18.0,0,0
52868147,"40.70744,-74.00619",144.0,5,3
52868384,"40.82507,-73.9406",7.0,1,1
52868525,"40.82313,-73.9421",8.0,1,0
52868962,"40.70873,-73.96518",28.0,0,1
52869658,"40.77895,-73.94848",100.0,0,2
52871220,"40.72322,-73.98017",71.0,0,2
52871655,"40.78369,-73.95117",78.0,0,0
52871847,"40.65017,-74.01049",16.0,0,0
52872164,"40.7905,-73.94262",34.0,0,1
52872574,"40.68204,-73.94126",15.0,0,0
52874619,"40.76923,-73.98527",83.0,1,3
52875389,"40.7258,-73.95422",51.0,0,1
52875591,"40.67548,-73.95131",28.0,0,0
52875664,"40.72353,-73.982",96.0,1,2
52875812,"40.64189,-73.96811",19.0,2,0
52877015,"40.71002,-73.95142",48.0,1,0
52877132,"40.7301,-73.87323",4.0,0,0
52877486,"40.71478,-73.95484",99.0,1,0
52877557,"40.73045,-74.00315",187.0,2,2
52877588,"40.64933,-73.96075",4.0,2,0
52877760,"40.73034,-73.95635",25.0,0,1
52878287,"40.71164,-73.96134",71.0,0,0
52879143,"40.80833,-73.92794",2.0,0,1
52880867,"40.72605,-73.90439",7.0,0,0
52881253,"40.77377,-73.93004",10.0,0,3
52881352,"40.77207,-73.91835",20.0,0,0
52881722,"40.73371,-73.89318",2.0,0,0
52882027,"40.68975,-73.90816",10.0,1,0
52882059,"40.68246,-73.97762",61.0,3,0
52883668,"40.86277,-73.92271",11.0,1,1
52883967,"40.87038,-73.88804",1.0,0,0
52885025,"40.73072,-73.98361",139.0,0,4
52885449,"40.69621,-73.92047",27.0,1,0
52885746,"40.64895,-73.9549",3.0,0,0
52885971,"40.68891,-73.78769",1.0,0,0
52886539,"40.77356,-73.91337",33.0,0,0
52890680,"40.76779,-73.77038",6.0,1,1
52893622,"40.69022,-73.90904",13.0,1,0
52894257,"40.70946,-73.94177",16.0,0,0
52894720,"40.68826,-73.91027",11.0,1,0
