id,geom,amenities_500,subway_500,natural_500
45530938,"40.75322,-73.9954",125.0,2,3
45530974,"40.75122,-73.99403",124.0,3,1
45531011,"40.73953,-73.9828",131.0,0,3
45531054,"40.7396,-73.98304",133.0,0,3
45531058,"40.73883,-73.98255",112.0,0,3
45531339,"40.79801,-73.96828",65.0,1,1
45531530,"40.67109,-73.95701",31.0,1,4
45532107,"40.69369,-73.94189",6.0,0,0
45532657,"40.8424,-73.92199",0.0,0,1
45532727,"40.59226,-73.94671",1.0,0,0
45532748,"40.69461,-73.94762",6.0,0,0
45538046,"40.79796,-73.96338",47.0,0,1
45538489,"40.70058,-73.99145",31.0,1,5
45543201,"40.67347,-73.99088",26.0,4,1
45543348,"40.70651,-74.01469",101.0,7,22
45543400,"40.58981,-73.81195",4.0,0,1
45543458,"40.74052,-73.99953",102.0,0,2
45543723,"40.73864,-73.87713",36.0,0,0
45546689,"40.72802,-73.9531",41.0,0,1
45547297,"40.76526,-73.98867",136.0,1,2
45547548,"40.76545,-73.98847",132.0,1,2
45548264,"40.72542,-73.97981",79.0,0,2
45552171,"40.7458,-73.99142",154.0,2,3
45556429,"40.76301,-73.92738",45.0,0,0
45557476,"40.76238,-73.92096",87.0,0,0
45557629,"40.78063,-73.95273",104.0,0,0
45558124,"40.80519,-73.95594",43.0,0,2
45558214,"40.61673,-73.92747",7.0,0,0
45559622,"40.7138,-73.96399",73.0,0,2
45561535,"40.68698,-73.94375",4.0,0,0
45562289,"40.69575,-73.94872",5.0,0,0
45565875,"40.72751,-73.95694",31.0,0,1
45565991,"40.65214,-73.91714",0.0,0,0
45569427,"40.72197,-73.99612",164.0,0,1
45573339,"40.85504,-73.91738",0.0,0,1
45578483,"40.75174,-73.97278",126.0,2,3
45578810,"40.72962,-73.99337",122.0,1,1
45578986,"40.78225,-73.95408",67.0,0,1
45579937,"40.77292,-73.94906",54.0,0,2
45579970,"40.73789,-73.98231",93.0,0,4
45579985,"40.73958,-73.98243",122.0,0,3
45580394,"40.63761,-73.94399",0.0,0,0
45580653,"40.79601,-73.96417",42.0,0,1
45581197,"40.73194,-74.01022",41.0,1,1
45581228,"40.75155,-73.99377",123.0,3,1
45581282,"40.77276,-73.94923",49.0,0,2
45581317,"40.7379,-73.98276",100.0,0,4
45581328,"40.73907,-73.98419",130.0,0,2
45581490,"40.73219,-73.95382",26.0,0,0
45582015,"40.79409,-73.9632",15.0,0,1
45582346,"40.69422,-73.99564",36.0,0,7
45591267,"40.68099,-73.91442",6.0,0,0
45591312,"40.79113,-73.94486",48.0,0,0
45591558,"40.6454,-74.08082",7.0,0,0
45591853,"40.72018,-73.99403",240.0,1,2
45595112,"40.71884,-73.99604",243.0,0,3
45595421,"40.67936,-73.97236",75.0,1,2
45595551,"40.769524,-73.956451",82.0,0,1
45595850,"40.76733,-73.98794",98.0,1,1
45597289,"40.75226,-73.87841",32.0,0,0
45598105,"40.7202,-73.99385",246.0,1,2
45598232,"40.79471,-73.94191",34.0,0,1
45599852,"40.81246,-73.94413",17.0,0,0
45602209,"40.75111,-73.87831",17.0,0,0
45605511,"40.74335,-73.97281",43.0,0,1
45605866,"40.64221,-73.96357",16.0,2,0
45609365,"40.68549,-73.76184",2.0,0,0
45615242,"40.75919,-73.98899",244.0,1,1
45617330,"40.81147,-73.94409",17.0,0,0
45617359,"40.80065,-73.9632",55.0,0,2
45617541,"40.7772,-73.90747",23.0,0,0
45618440,"40.66566,-73.98009",32.0,0,0
45618731,"40.88377,-73.90352",15.0,0,0
45620972,"40.69375,-73.96597",36.0,0,0
45621895,"40.7481,-73.89825",23.0,2,0
45622013,"40.74585,-73.89837",21.0,2,0
45622205,"40.7037,-73.82797",4.0,0,1
45623624,"40.70284,-73.93617",18.0,1,0
45626554,"40.81129,-73.94202",14.0,0,0
45630787,"40.734,-73.99609",103.0,1,1
45631504,"40.72164,-73.99053",196.0,1,2
45631529,"40.75372,-73.97175",129.0,3,3
45631931,"40.81159,-73.90496",2.0,0,0
45633489,"40.66191,-73.9618",8.0,1,11
45633763,"40.83816,-73.92401",0.0,0,1
45634265,"40.68926,-73.99463",53.0,0,2
45635739,"40.73971,-74.00342",112.0,0,3
45638455,"40.62328,-73.93486",2.0,0,0
45640236,"40.72004,-73.95757",73.0,0,2
45640535,"40.81797,-73.94282",12.0,0,0
45642113,"40.66953,-73.89574",0.0,0,0
45649052,"40.74341,-74.00134",113.0,0,2
45649223,"40.72019,-73.99391",248.0,1,2
45650616,"40.73817,-73.98229",99.0,0,3
45652061,"40.68937,-73.94824",6.0,0,0
45652552,"40.77553,-73.94758",57.0,0,3
45652742,"40.71809,-73.85056",19.0,1,0
45653546,"40.83052,-73.94566",23.0,0,1
45654492,"40.71394,-73.95442",87.0,1,0
45654509,"40.73971,-73.9277",16.0,0,0
45654763,"40.73775,-73.92609",7.0,0,0
45655471,"40.58982,-73.97227",4.0,2,0
45655795,"40.75248,-73.90077",12.0,0,0
45656086,"40.7476,-73.97714",134.0,2,2
45656267,"40.7476,-73.97714",134.0,2,2
45656925,"40.7001,-73.92957",39.0,1,0
45658557,"40.8079,-73.95012",49.0,0,0
45659035,"40.75565,-73.90706",13.0,0,0
45659431,"40.6739,-73.94746",11.0,0,0
45661953,"40.69232,-73.91344",17.0,0,0
45662865,"40.76665,-73.92424",51.0,0,0
45668457,"40.74072,-73.87585",21.0,0,0
45669937,"40.66656,-73.93349",2.0,0,0
45670010,"40.76648,-73.99317",52.0,0,2
45670897,"40.71093,-73.77618",3.0,0,0
45671726,"40.76325,-73.9595",43.0,0,1
45671894,"40.72626,-73.95905",20.0,0,2
45672204,"40.74756,-73.99064",178.0,2,1
45672270,"40.71451,-73.99642",201.0,0,2
45672993,"40.77395,-73.98416",45.0,1,3
45673206,"40.76031,-73.99845",56.0,0,2
45673305,"40.74274,-73.90262",23.0,0,0
45673446,"40.73074,-73.82219",5.0,0,1
45673594,"40.7393,-73.87557",30.0,0,0
45673661,"40.77315,-73.98652",37.0,1,4
45673797,"40.74043,-73.87716",25.0,0,0
45673803,"40.77364,-73.95511",130.0,0,0
45674595,"40.57811,-74.11",1.0,0,1
45675055,"40.66269,-73.88908",1.0,0,0
45682803,"40.73144,-73.98649",136.0,0,2
45685520,"40.71991,-73.98318",92.0,1,1
45686011,"40.76465,-73.98306",183.0,1,7
