id,geom,amenities_500,subway_500,natural_500
50697485,"40.71666,-73.95862",99.0,0,1
50697607,"40.5917,-73.94805",1.0,0,0
50698071,"40.76936,-73.96054",69.0,0,0
50698179,"40.67027,-73.99168",23.0,4,1
50698344,"40.77088,-73.95755",99.0,0,0
50698997,"40.68756,-73.92338",9.0,0,0
50699494,"40.66734,-73.77499",2.0,0,0
50700132,"40.76322,-73.97729",127.0,1,10
50700543,"40.71115,-73.95462",60.0,1,0
50700754,"40.73575,-73.99313",100.0,1,0
50702408,"40.76444,-73.9837",182.0,1,7
50702550,"40.75103,-73.99824",67.0,1,0
50704666,"40.687,-73.92286",10.0,0,0
50704771,"40.68033,-73.9391",19.0,0,0
50704924,"40.66235,-73.7689",1.0,0,0
50704944,"40.81391,-73.92796",2.0,0,1
50704945,"40.81367,-73.92899",2.0,0,1
50705480,"40.74335,-73.98325",205.0,1,2
50706265,"40.76178,-73.99151",162.0,1,1
50706366,"40.70372,-74.00974",104.0,4,4
50706519,"40.68882,-73.9492",9.0,0,0
50706815,"40.75991,-73.98789",251.0,1,1
50706878,"40.74416,-73.8668",4.0,0,0
50707731,"40.80852,-73.95488",47.0,0,2
50707891,"40.6884,-73.95008",11.0,0,0
50708181,"40.69256,-73.95153",13.0,0,0
50708982,"40.70978,-73.96101",56.0,0,0
50710947,"40.69968,-73.94461",4.0,0,0
50716084,"40.7368,-73.98029",50.0,0,4
50717090,"40.72833,-73.95388",37.0,0,1
50717902,"40.72056,-73.9957",197.0,0,1
50718765,"40.74838,-73.9884",201.0,2,1
50719695,"40.74641,-73.98727",212.0,2,2
50720125,"40.67625,-73.73878",7.0,0,1
50720505,"40.74797,-73.98699",208.0,2,1
50721578,"40.68524,-73.86503",0.0,0,0
50723925,"40.69174,-73.94107",4.0,0,0
50723988,"40.67523,-73.74813",3.0,0,0
50724280,"40.79759,-73.97057",59.0,1,1
50726458,"40.72439,-73.99853",151.0,0,0
50726603,"40.69056,-73.92207",4.0,0,0
50727455,"40.68947,-73.91903",8.0,0,0
50727937,"40.67055,-73.93231",2.0,0,0
50728003,"40.71809,-73.99293",283.0,1,3
50728514,"40.86358,-73.92961",12.0,2,1
50728845,"40.8247,-73.94674",22.0,0,0
50728878,"40.70953,-73.94735",31.0,1,0
50729211,"40.75533,-73.99556",130.0,2,3
50729335,"40.75757,-73.99525",154.0,2,3
50729533,"40.77195,-73.91772",24.0,0,0
50729773,"40.77393,-73.91627",20.0,0,0
50729781,"40.77388,-73.91619",20.0,0,0
50731428,"40.76268,-73.99005",165.0,1,2
50731544,"40.73385,-73.98593",101.0,0,2
50731628,"40.74469,-73.9723",49.0,0,2
50731822,"40.68481,-73.90932",4.0,2,0
50733368,"40.72981,-73.98689",165.0,0,3
50733677,"40.68958,-73.953",13.0,0,0
50733678,"40.76118,-73.86888",11.0,0,0
50734234,"40.7528,-73.96656",58.0,0,5
50734241,"40.75899,-73.99259",185.0,1,1
50735000,"40.68574,-73.73454",0.0,0,0
50740601,"40.76836,-73.95273",63.0,0,1
50741728,"40.58424,-73.93516",5.0,0,6
50743177,"40.70696,-73.94717",21.0,0,0
50744270,"40.68715,-73.95031",12.0,0,0
50744441,"40.770451,-73.955894",93.0,0,1
50745200,"40.56748,-73.87111",0.0,0,1
50745260,"40.70823,-73.90525",23.0,1,0
50746606,"40.75539,-73.99676",116.0,2,3
50747708,"40.73915,-73.8757",30.0,0,0
50748266,"40.63431,-74.02398",22.0,0,0
50748560,"40.71629,-73.96606",49.0,0,2
50748765,"40.77489,-73.96169",72.0,0,5
50748839,"40.70692,-73.83618",6.0,0,0
50748961,"40.72307,-73.99226",184.0,1,2
50749143,"40.72811,-74.00428",171.0,0,1
50749345,"40.71366,-73.98729",77.0,1,2
50749649,"40.81926,-73.94216",11.0,0,0
50750381,"40.69136,-73.7341",0.0,0,0
50750985,"40.71911,-73.94056",24.0,0,0
50751337,"40.69742,-73.93499",10.0,1,0
50751519,"40.73802,-74.0055",101.0,1,3
50751573,"40.80718,-73.94536",29.0,0,0
