id,geom,amenities_500,leisure_500
25589726,"40.68473,-73.92725",8,4
25590224,"40.82441,-73.95327",18,7
25590707,"40.75552,-73.83012",39,11
25590851,"40.76633,-73.98325",139,6
25602541,"40.74029,-73.98337",154,8
25606022,"40.7982,-73.97063",56,8
25606562,"40.77226,-73.98876",30,11
25607226,"40.72873,-73.98759",173,7
25610763,"40.7551,-73.99674",112,7
25610990,"40.72983,-73.95808",23,4
25614818,"40.80227,-73.95985",53,11
25616250,"40.64314,-73.95705",2,0
25616450,"40.82936,-73.90867",0,12
25618799,"40.87077,-73.8817",1,4
25618970,"40.7213,-73.96042",58,5
25619146,"40.68339,-73.9645",37,2
25619849,"40.7252,-73.97598",17,10
25622377,"40.63808,-73.9001",0,2
25622574,"40.63396,-74.00729",26,4
25624101,"40.80983,-73.9384",8,16
25625417,"40.69943,-73.90712",61,2
25626152,"40.64987,-73.93855",0,0
25626932,"40.63369,-74.09489",0,6
25629624,"40.74652,-73.97637",120,8
25635162,"40.75859,-73.91334",24,4
25635216,"40.7764,-73.98236",46,12
25637401,"40.76361,-73.98992",146,6
25638322,"40.73641,-73.87863",19,3
25639256,"40.76276,-73.98932",176,5
25639737,"40.76362,-73.98546",190,7
25665981,"40.6831,-73.84438",3,2
25666271,"40.75374,-73.99517",125,7
25668516,"40.75407,-73.99528",123,7
25669472,"40.72105,-73.73444",4,3
25672309,"40.73467,-73.98501",99,6
25673527,"40.73579,-73.98636",107,5
25673769,"40.76,-73.90684",8,4
25673898,"40.68758,-73.9484",9,5
25674277,"40.79468,-73.9647",37,4
25674366,"40.71577,-73.9553",96,14
25674371,"40.71288,-73.74334",2,2
25677480,"40.7677,-73.95476",61,3
25677571,"40.74646,-73.95324",44,7
25677687,"40.71021,-73.95563",60,22
25678517,"40.79453,-73.96472",37,3
25678522,"40.73416,-74.00424",135,21
25679063,"40.71052,-73.80906",2,1
25679101,"40.79613,-73.96468",44,5
25679492,"40.71016,-73.81118",2,1
25679709,"40.79598,-73.96255",25,5
25680422,"40.7157,-73.95353",85,15
25680531,"40.75391,-73.99709",106,8
25681692,"40.7558,-73.99677",122,5
25683401,"40.76996,-73.9576",78,2
25683408,"40.82414,-73.95139",19,7
25683815,"40.68543,-73.97622",56,9
25684094,"40.58499,-73.81599",5,1
25686640,"40.727,-73.98406",148,12
25688649,"40.68425,-73.9567",22,2
25689024,"40.64172,-73.93073",0,0
25694039,"40.70819,-74.00662",143,19
25698744,"40.79461,-73.94111",30,4
25710052,"40.68785,-73.91361",10,3
25716221,"40.7406,-74.00433",102,15
25719044,"40.66242,-73.94417",0,1
25719557,"40.71301,-73.90716",18,2
25719757,"40.73748,-73.98354",98,8
25721731,"40.74758,-73.97329",98,13
25722216,"40.71017,-73.80965",2,1
25723733,"40.67051,-73.77693",6,1
25724871,"40.81371,-73.95242",17,8
25725858,"40.69449,-73.93726",9,8
25727611,"40.69329,-73.93906",9,5
25728315,"40.67221,-73.93937",2,2
25728623,"40.71233,-73.96208",71,22
25731392,"40.67031,-73.9354",3,1
25734018,"40.67796,-73.97616",74,6
25734212,"40.66097,-73.95615",11,3
25734716,"40.72536,-73.95581",46,10
25736749,"40.79874,-73.96649",73,11
25737165,"40.70659,-74.01002",154,24
25739275,"40.65239,-73.94824",0,3
25739336,"40.63244,-73.99338",0,0
25740704,"40.64707,-73.95074",2,1
25742944,"40.78133,-73.95198",102,4
25745372,"40.72421,-73.97963",68,13
25745458,"40.73503,-73.9547",18,6
25752683,"40.74016,-73.99902",103,6
25755215,"40.71681,-73.95729",100,13
25763994,"40.82913,-73.94718",24,4
25764939,"40.65496,-73.94405",0,1
25764974,"40.74815,-73.98832",201,5
25765042,"40.69848,-73.91179",67,4
25766100,"40.7293,-73.98325",137,10
25767363,"40.69905,-73.92466",36,4
25767382,"40.7128,-73.96244",81,20
25769495,"40.72842,-73.99289",116,6
25769883,"40.68174,-73.94437",16,6
25770425,"40.64497,-74.08267",6,8
25770975,"40.70626,-74.00565",131,20
25771285,"40.82823,-73.93925",5,10
25772415,"40.64324,-73.96332",18,0
25772890,"40.6943,-73.96917",23,7
25773391,"40.68464,-73.97094",37,7
25774497,"40.6755,-73.99806",17,7
25774787,"40.7752,-73.95572",118,0
25775969,"40.80018,-73.95379",10,9
25776030,"40.74907,-73.97818",154,4
25776093,"40.70724,-74.0051",133,21
25776872,"40.64919,-73.9731",16,8
25776914,"40.64795,-73.89337",0,3
25779152,"40.68202,-73.92151",10,6
25779464,"40.81118,-73.94231",14,9
25779937,"40.81207,-73.94359",16,10
25780292,"40.74493,-73.97743",130,5
25780953,"40.73492,-74.00418",117,19
25781295,"40.73575,-73.9206",4,1
25781535,"40.73692,-73.91967",8,1
25782709,"40.68096,-73.93707",19,4
25783309,"40.68332,-73.93627",17,6
25783739,"40.72727,-73.98272",119,11
25784814,"40.76148,-73.99279",138,4
25785298,"40.71264,-73.94889",53,8
25786000,"40.75565,-73.96722",90,9
25786994,"40.8129,-73.94084",15,9
25788995,"40.80246,-73.96631",67,10
25794631,"40.69433,-73.9559",13,4
25796599,"40.6861,-73.92859",7,2
25798461,"40.72555,-73.99283",161,12
25798517,"40.70117,-73.92545",51,2
25798995,"40.69133,-73.90538",13,2
25799803,"40.7137,-73.96674",48,5
