id,geom,amenities_500,leisure_500
16636214,"40.64798,-73.94492",0,0
16637954,"40.70162,-73.82349",0,1
16640455,"40.68693,-73.94579",5,7
16644223,"40.67937,-73.98126",67,4
16644599,"40.72755,-73.86199",17,2
16646872,"40.68403,-73.93088",13,5
16647489,"40.71151,-73.95142",53,16
16648338,"40.70981,-73.96781",27,12
16649739,"40.61535,-73.95351",0,3
16649773,"40.8012,-73.95589",23,9
16650612,"40.76486,-73.98682",168,9
16651348,"40.67575,-74.01183",14,7
16651519,"40.65944,-73.98898",22,3
16651879,"40.76636,-73.98574",129,7
16652059,"40.70987,-73.9472",37,6
16657247,"40.80545,-73.93838",5,17
16659292,"40.68891,-73.97284",44,7
16659337,"40.6862,-73.98906",71,3
16662770,"40.68844,-73.99142",67,5
16662964,"40.75699,-73.93499",29,3
16663520,"40.66034,-73.95981",8,2
16663731,"40.70431,-73.93273",27,5
16664045,"40.72344,-73.91052",1,2
16664669,"40.66077,-73.96004",8,2
16665181,"40.68314,-73.92981",13,4
16670882,"40.69463,-73.94938",8,7
16673329,"40.80674,-73.94146",15,8
16673377,"40.756,-73.97078",107,9
16673626,"40.65948,-73.99243",16,3
16673954,"40.73898,-74.00415",109,17
16674233,"40.70163,-73.9227",60,5
16674839,"40.72423,-73.97885",52,12
16675507,"40.72347,-73.94039",9,6
16675965,"40.77672,-73.95559",107,2
16677170,"40.74503,-73.99922",96,4
16677256,"40.80767,-73.95127",39,8
16677358,"40.64364,-74.01206",14,1
16677866,"40.79747,-73.93559",24,3
16678104,"40.75382,-73.97192",131,11
16678888,"40.67735,-73.99706",21,6
16685971,"40.8531,-73.93872",19,4
16686651,"40.71919,-73.99208",237,18
16687158,"40.68076,-73.95751",23,2
16687716,"40.76441,-73.88943",2,5
16688119,"40.73677,-73.95418",11,6
16688892,"40.71237,-73.93899",21,2
16689593,"40.71708,-73.94278",28,6
16690484,"40.69701,-73.97524",8,6
16690627,"40.68057,-73.97722",65,4
16690832,"40.66825,-73.98432",58,1
16691242,"40.72787,-73.9792",60,14
16691826,"40.76468,-73.9868",172,9
16692402,"40.68886,-73.91906",9,3
16693621,"40.74271,-73.9046",22,8
16693953,"40.77255,-73.93023",15,4
16697657,"40.76242,-73.98813",210,7
16701051,"40.71471,-73.9993",166,20
16701087,"40.82621,-73.95104",24,6
16703749,"40.76738,-73.98565",118,13
16704118,"40.73734,-73.87215",8,7
16706521,"40.72999,-74.00475",170,21
16706758,"40.75369,-73.96679",69,12
16706875,"40.64836,-73.94547",0,0
16708143,"40.65961,-73.9592",12,2
16708692,"40.67983,-73.92121",5,7
16709467,"40.69089,-73.95854",27,6
16709795,"40.77327,-73.9547",123,1
16710016,"40.67024,-73.93406",3,2
16710300,"40.73194,-74.00254",188,20
16711476,"40.83537,-73.93974",4,6
16712302,"40.76591,-73.99016",80,7
16716676,"40.68586,-73.97269",44,7
16718498,"40.70867,-73.94061",14,5
16719568,"40.72411,-73.94182",9,6
16720039,"40.80283,-73.95569",33,9
16720574,"40.74489,-73.98382",197,5
16720662,"40.67948,-73.90822",3,4
16721040,"40.6864,-73.96882",40,8
16721137,"40.71285,-73.96477",65,13
16721299,"40.71246,-73.95308",64,18
16722564,"40.78046,-73.96047",28,1
16722762,"40.82777,-73.9407",8,10
16723682,"40.71483,-73.94935",68,9
16725326,"40.78339,-73.98168",64,5
16725576,"40.79501,-73.94448",29,7
16725615,"40.7586,-73.98974",244,6
16725879,"40.72182,-74.00033",176,11
16725924,"40.79453,-73.94543",30,7
16726217,"40.67676,-73.94513",16,3
16730833,"40.63876,-73.95073",2,1
16731782,"40.65552,-73.97493",6,8
16732266,"40.67697,-73.97406",70,4
16734212,"40.68949,-73.9557",17,4
16734233,"40.74801,-73.91777",12,23
16735133,"40.71789,-73.98308",79,18
16735801,"40.80172,-73.95538",21,8
16735848,"40.68979,-73.82974",0,2
16736830,"40.67451,-73.97501",43,5
16737042,"40.76746,-73.92781",26,3
16738648,"40.75329,-73.9888",196,7
16739146,"40.85318,-73.90204",0,10
16739891,"40.80842,-73.95568",41,12
16740081,"40.71423,-73.99442",211,29
16740218,"40.71064,-73.95919",64,26
16740779,"40.70921,-73.94144",15,4
16741278,"40.74147,-73.98577",182,5
16741935,"40.70932,-74.00536",115,19
16749005,"40.68039,-73.94302",14,3
16749235,"40.71723,-73.99162",203,18
16751768,"40.68637,-73.91133",9,3
16751838,"40.74811,-73.97868",165,3
16751874,"40.66893,-73.77144",3,0
16753723,"40.73702,-73.99739",102,10
16755891,"40.71489,-73.99459",225,27
16755920,"40.69493,-73.94525",3,8
16756027,"40.69318,-73.95669",14,6
16756480,"40.68237,-73.97286",63,5
16756678,"40.69455,-73.91118",30,3
16757281,"40.81335,-73.95616",28,13
16757480,"40.6896,-73.9326",5,5
16758426,"40.79345,-73.93977",30,4
16764130,"40.8115,-73.9258",3,8
16766700,"40.82818,-73.9389",4,10
16766743,"40.65229,-73.9603",4,6
16766855,"40.84941,-73.93432",21,9
16767194,"40.67089,-73.95473",34,0
16768336,"40.70811,-73.9326",23,2
