id,geom,amenities_500,leisure_500
30352717,"40.71038,-73.94779",44,5
30352862,"40.7219,-73.97819",33,9
30353296,"40.72977,-73.87171",3,3
30353302,"40.76185,-73.87392",9,9
30354041,"40.74439,-73.87988",30,11
30354291,"40.78353,-73.94592",56,8
30354304,"40.69998,-73.94369",4,11
30355109,"40.71147,-73.98714",38,20
30355292,"40.71046,-73.98839",35,18
30355426,"40.71025,-73.98703",22,16
30355532,"40.79422,-73.94383",29,8
30355793,"40.70981,-73.98702",15,13
30355933,"40.65267,-73.94257",0,1
30357870,"40.74887,-73.87949",25,9
30358423,"40.74907,-73.91185",9,18
30359944,"40.74958,-73.90011",23,7
30361847,"40.6828,-73.97738",63,7
30364369,"40.68696,-73.94382",4,7
30367011,"40.71326,-73.93766",7,1
30367724,"40.70996,-73.96495",44,17
30367948,"40.69458,-73.99771",32,5
30369014,"40.73212,-73.98247",96,10
30369286,"40.7076,-73.94718",23,7
30369420,"40.73878,-73.99604",99,7
30369494,"40.70955,-73.96311",44,22
30369652,"40.78687,-73.97189",74,6
30369751,"40.78384,-73.97696",85,6
30369889,"40.76135,-73.98668",243,6
30370124,"40.69839,-73.98758",32,19
30370448,"40.73291,-73.95282",22,3
30370564,"40.77396,-73.98925",14,13
30370565,"40.75275,-73.88186",43,21
30370601,"40.72205,-73.956",71,9
30370613,"40.73011,-73.98405",141,10
30370630,"40.7318,-73.95307",25,5
30370642,"40.7112,-73.96566",48,16
30370778,"40.72994,-73.86987",5,4
30372287,"40.6779,-73.96393",53,4
30372486,"40.76593,-73.99186",72,7
30373102,"40.8471,-73.93996",17,4
30373480,"40.71813,-73.98633",138,24
30373928,"40.68371,-73.95096",12,2
30374290,"40.71115,-73.95825",64,26
30374563,"40.7092,-73.9631",41,22
30375114,"40.6377,-73.97062",16,0
30375328,"40.66456,-73.95216",7,1
30376063,"40.68551,-73.9324",13,3
30376150,"40.59349,-73.76377",0,4
30376368,"40.72269,-73.98306",116,11
30376416,"40.74625,-73.83433",0,1
30376690,"40.82932,-73.94696",25,4
30376805,"40.71446,-73.99112",135,25
30376977,"40.68632,-73.93251",12,2
30377021,"40.5981,-73.9584",7,1
30377430,"40.68553,-73.93215",13,3
30377654,"40.72471,-73.939",7,5
30377718,"40.68595,-73.93109",13,2
30378040,"40.68555,-73.93107",13,3
30378211,"40.73094,-73.999",180,20
30378751,"40.76605,-73.92425",56,2
30378764,"40.81916,-73.95312",6,11
30378844,"40.68768,-73.93076",10,3
30378982,"40.68241,-73.99157",48,6
30379067,"40.7351,-73.92526",1,2
30379843,"40.69231,-73.92567",4,5
30380685,"40.69518,-73.94676",3,6
30387064,"40.72976,-74.00387",182,20
30387132,"40.71663,-74.00546",111,17
30387173,"40.77833,-73.98469",40,10
30387196,"40.76017,-73.98509",233,4
30387218,"40.76368,-73.95993",44,7
30387263,"40.71284,-74.00844",99,22
30387280,"40.71684,-74.00544",115,18
30387305,"40.7287,-74.00327",184,21
30387328,"40.77804,-73.98409",44,12
30387351,"40.70492,-74.00678",127,18
30387377,"40.74143,-73.99469",123,3
30387425,"40.73846,-73.99769",96,7
30387445,"40.76258,-73.98768",211,7
30387469,"40.70617,-74.00842",152,22
30387495,"40.77722,-73.98262",45,13
30387553,"40.74499,-73.97937",175,5
30387566,"40.76143,-73.98533",232,4
30387600,"40.75231,-73.98924",194,6
30387648,"40.71479,-74.00671",79,17
30387788,"40.76139,-73.98521",234,4
30387820,"40.73918,-73.99616",103,7
30387838,"40.72988,-74.00341",183,20
30387856,"40.72945,-74.00321",182,19
30387885,"40.76159,-73.98544",232,4
30387916,"40.71674,-74.0069",90,17
30387960,"40.73899,-73.99749",94,8
30387983,"40.76034,-73.98656",247,6
30388011,"40.75988,-73.98568",242,3
30388057,"40.723,-73.98415",141,13
30388079,"40.7904,-73.97555",65,6
30388100,"40.73767,-73.99739",95,9
30388159,"40.71657,-74.00551",106,17
30388225,"40.72232,-73.98543",150,16
30388284,"40.71856,-73.99061",199,19
30388313,"40.74528,-73.97948",180,4
30388333,"40.79094,-73.97235",71,10
30388352,"40.77518,-73.9491",73,2
30388383,"40.75973,-73.99574",119,5
30388429,"40.76923,-73.98627",85,16
30388449,"40.73806,-73.99744",93,9
30388479,"40.74164,-73.97859",124,6
30388528,"40.7132,-74.00942",99,26
30388552,"40.76393,-73.98721",185,10
30388587,"40.77779,-73.98459",43,12
30388617,"40.75861,-73.96359",75,8
30388668,"40.71519,-74.00654",86,18
30388718,"40.70672,-74.00661",149,21
30388750,"40.75335,-73.99029",190,7
30388841,"40.73929,-73.99777",96,6
30388944,"40.75971,-73.98551",232,3
30388972,"40.75995,-73.98728",254,5
30388999,"40.73774,-73.99723",93,9
30389026,"40.74805,-73.97351",105,13
30389066,"40.73786,-73.9977",93,8
30389115,"40.73021,-73.98765",165,7
30389147,"40.73897,-73.99637",102,7
30389192,"40.70619,-74.00895",150,23
30389224,"40.76087,-73.99563",99,5
30389262,"40.74635,-73.90774",18,8
30389263,"40.74053,-73.97874",97,6
30389280,"40.70511,-74.00722",134,18
30389309,"40.74072,-73.97794",92,6
30389336,"40.73186,-73.98761",130,8
30389441,"40.71609,-74.00501",117,16
30389474,"40.73003,-74.00215",183,19
30389504,"40.73947,-73.99777",93,6
30389559,"40.71626,-74.00694",88,16
30389586,"40.76035,-73.99679",83,5
30389608,"40.73169,-73.98932",127,5
30390975,"40.7189,-73.96416",47,6
30391061,"40.66784,-73.75357",0,0
30391955,"40.69607,-73.79842",1,1
30392517,"40.73774,-73.99725",94,9
30392543,"40.76177,-73.98504",227,4
30392569,"40.74094,-73.99464",122,3
30392623,"40.74943,-73.98055",185,2
30392649,"40.74005,-73.97884",91,6
30392677,"40.75965,-73.98582",241,3
30392704,"40.74148,-73.99955",109,6
30392780,"40.75149,-73.9908",191,6
30392806,"40.71295,-74.00906",98,24
30392834,"40.73021,-74.00379",180,19
30392874,"40.75963,-73.98595",241,3
30392909,"40.748,-73.97943",183,2
30392930,"40.71488,-74.00687",83,18
30392986,"40.7388,-73.997",94,8
30393018,"40.71479,-74.00621",80,19
30393045,"40.74108,-73.97788",106,6
30393099,"40.71607,-74.00564",98,17
30393171,"40.70887,-74.01446",90,16
30393194,"40.72873,-74.0034",184,21
30393223,"40.7764,-73.98387",43,14
30393251,"40.7387,-73.99699",93,8
30393286,"40.76046,-73.99685",81,5
30393322,"40.70601,-74.0096",150,23
30393342,"40.70444,-74.01712",36,10
30393355,"40.74737,-73.97626",129,8
30393377,"40.76178,-73.98547",229,4
30393414,"40.77506,-73.95678",116,1
30393427,"40.70967,-73.90962",18,2
30393443,"40.73944,-74.00563",97,18
30393464,"40.70455,-74.01008",116,21
30393497,"40.77639,-73.98269",45,13
30393527,"40.72303,-73.98545",150,15
30393555,"40.77771,-73.98244",50,11
30393583,"40.73939,-73.99613",101,6
30393609,"40.70864,-74.0051",131,18
30393638,"40.7601,-73.98504",236,3
30393670,"40.72277,-73.98419",143,13
30393689,"40.72256,-73.98544",148,16
30393759,"40.73035,-74.00324",187,19
30393778,"40.74478,-73.9727",54,10
30393798,"40.69739,-73.98444",13,17
30393803,"40.74261,-73.99457",129,3
30393836,"40.73934,-73.99737",94,7
30393853,"40.69054,-73.92801",4,6
30393882,"40.70485,-74.00934",128,21
30393896,"40.71508,-74.00628",86,18
30393921,"40.73854,-73.99695",94,8
30393944,"40.7767,-73.98291",44,13
30393969,"40.7619,-73.9853",226,5
30393998,"40.76058,-73.9855",235,4
30394018,"40.70513,-74.009",135,21
30394053,"40.76061,-73.98675",240,6
30394071,"40.71659,-74.00653",89,17
30394105,"40.7296,-74.00246",184,19
30394133,"40.745,-73.97942",176,5
30394155,"40.7407,-73.99478",118,3
30394179,"40.73005,-74.00208",183,19
30394203,"40.7392,-73.99578",101,5
30394223,"40.70593,-74.0091",151,23
30394274,"40.72946,-74.00318",182,19
30394324,"40.7396,-73.97938",90,7
30394340,"40.71409,-74.00977",84,26
