id,geom,amenities_500,leisure_500
31885300,"40.66781,-73.99345",15,1
31885563,"40.73858,-73.92555",8,3
31885791,"40.79865,-73.93638",18,5
31885820,"40.70203,-73.82841",3,1
31885987,"40.66881,-73.98737",58,1
31885991,"40.69102,-73.78438",3,5
31886239,"40.72684,-73.74896",2,1
31886403,"40.63581,-73.96977",10,0
31886891,"40.69217,-73.90396",10,1
31888319,"40.78085,-73.98664",13,7
31890488,"40.74362,-73.89158",20,7
31893504,"40.68436,-73.93564",14,5
31894643,"40.69712,-73.99307",25,12
31894855,"40.79095,-73.97291",71,10
31895547,"40.70703,-73.95396",21,16
31895980,"40.69549,-73.93006",12,6
31896339,"40.82688,-73.81899",0,3
31897516,"40.82292,-73.94802",12,10
31898440,"40.69447,-73.98252",20,10
31898478,"40.68629,-73.91245",9,3
31898581,"40.71923,-73.97972",39,11
31898630,"40.69945,-73.93543",13,6
31898844,"40.53982,-74.1728",5,2
31900179,"40.53987,-74.17258",5,2
31900259,"40.66779,-73.91676",0,6
31900266,"40.68758,-73.94458",3,7
31901657,"40.69117,-73.95233",17,8
31901835,"40.89682,-73.84318",0,1
31903229,"40.71798,-73.95983",92,10
31904037,"40.71747,-73.96142",87,10
31904156,"40.70493,-74.0102",126,21
31904811,"40.73104,-73.95097",16,1
31905531,"40.79423,-73.94741",22,7
31906094,"40.73202,-73.95595",26,7
31906580,"40.70754,-73.94228",14,4
31907710,"40.72845,-73.98158",108,13
31909528,"40.73182,-73.79505",1,2
31909623,"40.75342,-73.97135",108,12
31913609,"40.68489,-73.92087",12,5
31916725,"40.74829,-73.98326",209,3
31916931,"40.83794,-73.94256",4,8
31918252,"40.66938,-73.99164",26,3
31919501,"40.71378,-73.80292",1,3
31919636,"40.70333,-73.94913",6,10
31919779,"40.80636,-73.9578",33,15
31920075,"40.80385,-73.95294",36,8
31920843,"40.72742,-73.98235",111,11
31924097,"40.74595,-73.98439",202,6
31925075,"40.66835,-73.93112",2,1
31925535,"40.72242,-73.95076",51,9
31926655,"40.82656,-73.94648",26,7
31927597,"40.70455,-73.92565",47,2
31928439,"40.62583,-73.96237",2,1
31928508,"40.76474,-73.98924",134,6
31929176,"40.66997,-73.93221",2,2
31929350,"40.77388,-73.98798",20,14
31929437,"40.86763,-73.92259",13,4
31929578,"40.77537,-73.98938",10,14
31929775,"40.77438,-73.98717",27,17
31929849,"40.59988,-74.00415",0,3
31930706,"40.58737,-73.96882",3,1
31931117,"40.67364,-73.97954",70,3
31931371,"40.71947,-73.99723",211,13
31932152,"40.89702,-73.85723",0,2
31932642,"40.82441,-73.95323",18,7
31932872,"40.67932,-73.94741",16,4
31933373,"40.69029,-73.91533",14,3
31934408,"40.75712,-73.8874",16,12
31935427,"40.72998,-73.98071",90,12
31935664,"40.67895,-73.91077",3,7
31936078,"40.76243,-73.98621",224,5
31946382,"40.71007,-73.95136",45,15
31946864,"40.76295,-73.98866",200,9
31947104,"40.7549,-73.99679",107,7
31947645,"40.75628,-73.99643",128,5
31947991,"40.71197,-73.94223",26,2
31948183,"40.70144,-73.92662",50,3
31950082,"40.67697,-74.00993",12,5
31950380,"40.58508,-73.93801",6,3
31950761,"40.65246,-73.96046",4,6
31950840,"40.7436,-73.98165",196,5
31950886,"40.71839,-73.99729",234,13
31952771,"40.85646,-73.86813",6,2
31953043,"40.76516,-73.99205",90,5
31953973,"40.76467,-73.98277",184,6
31954104,"40.73935,-73.98025",97,7
31954232,"40.71301,-73.95845",81,20
31955252,"40.80725,-73.95471",47,12
31956393,"40.83026,-73.94455",26,7
31956547,"40.673,-73.95043",12,2
31956965,"40.76882,-73.96862",23,3
31957975,"40.61588,-74.06711",0,2
31959359,"40.69462,-73.97006",23,6
31961126,"40.59555,-73.76942",1,2
31961731,"40.73972,-73.98412",144,7
31963324,"40.71416,-73.99161",138,25
31963704,"40.66566,-73.93698",1,1
31964005,"40.81252,-73.95096",16,7
31964642,"40.67898,-73.93982",15,7
31964801,"40.83488,-73.94452",4,7
31965215,"40.67695,-73.87402",5,1
31965415,"40.67933,-73.94103",15,6
31968550,"40.63886,-73.95228",2,1
31972030,"40.70597,-73.94245",8,4
31974197,"40.69043,-73.95587",21,5
31974592,"40.68875,-73.9516",13,8
31978375,"40.80135,-73.96193",53,11
31978518,"40.68904,-73.9759",42,8
31978781,"40.67821,-73.9787",87,5
31979292,"40.58344,-73.81456",4,1
31979408,"40.80393,-73.9574",33,14
31980005,"40.72157,-73.99432",201,11
31980644,"40.59876,-73.95296",6,2
31980794,"40.79144,-73.97909",29,3
31981491,"40.67941,-73.99118",31,3
31982293,"40.6895,-73.95886",24,6
31982527,"40.77161,-73.92063",26,10
31983211,"40.80902,-73.94186",15,9
31984471,"40.71275,-73.96049",85,22
