id,geom,amenities_500,leisure_500
3216335,"40.68193,-73.97636",60,5
3216400,"40.76158,-73.96031",51,7
3217221,"40.8365,-73.93688",1,4
3218320,"40.72243,-73.99655",146,8
3218526,"40.63649,-73.96508",16,0
3219401,"40.72928,-74.00135",178,19
3219654,"40.66565,-73.98782",49,3
3219835,"40.65779,-73.97595",6,3
3220115,"40.68331,-73.96568",40,3
3220178,"40.65684,-73.95719",10,4
3220725,"40.71813,-73.99063",199,18
3223080,"40.72652,-74.00266",154,24
3224913,"40.69436,-73.9253",10,4
3225975,"40.68338,-73.98927",48,5
3227002,"40.68717,-73.9669",35,7
3230053,"40.7215,-73.94136",16,6
3231460,"40.68727,-73.972",43,8
3235070,"40.80118,-73.95451",17,9
3236301,"40.82075,-73.9379",4,10
3236385,"40.64811,-74.01366",9,3
3236977,"40.68252,-73.99224",48,6
3237160,"40.7278,-73.97997",83,13
3237602,"40.72123,-73.95891",61,7
3238109,"40.64964,-73.96017",3,5
3238355,"40.70552,-73.93842",21,6
3238517,"40.67994,-73.94318",13,3
3240518,"40.68554,-73.98471",38,5
3240838,"40.74059,-73.97953",106,7
3241287,"40.83686,-73.94393",3,8
3241502,"40.80801,-73.93854",6,15
3241858,"40.7659,-73.96611",48,2
3245000,"40.7238,-73.94859",36,10
3247291,"40.81198,-73.9437",16,10
3248010,"40.67794,-73.97398",73,5
3248526,"40.82524,-73.94186",9,11
3248671,"40.71207,-73.95077",48,13
3249076,"40.68833,-73.97606",38,8
3249078,"40.6906,-73.99339",53,5
3249253,"40.74156,-73.99476",122,2
3249726,"40.66592,-73.99434",16,3
3250685,"40.79848,-73.93908",21,6
3251014,"40.76016,-73.96597",101,4
3251638,"40.66758,-73.95033",5,1
3251901,"40.80131,-73.9675",68,9
3257345,"40.71338,-73.99226",137,26
3258196,"40.71601,-73.9587",101,11
3258197,"40.76866,-73.95553",72,3
3261569,"40.67658,-73.93122",1,4
3262238,"40.74436,-73.97977",173,4
3262855,"40.65148,-73.95847",4,5
3262930,"40.76572,-73.95541",49,3
3264261,"40.75182,-73.97052",93,14
3264684,"40.6812,-74.00116",27,6
3265275,"40.7898,-73.9708",72,6
3265407,"40.67303,-73.96424",28,5
3265409,"40.74956,-73.99671",94,5
3265410,"40.74644,-73.88656",56,18
3265982,"40.67766,-73.98191",78,4
3268008,"40.73547,-74.0051",107,20
3269281,"40.67751,-73.98143",83,4
3270009,"40.68174,-73.93444",19,5
3270428,"40.72823,-73.9817",107,12
3270702,"40.6774,-73.94566",15,4
3270809,"40.71613,-73.99266",231,24
3271052,"40.68785,-73.99181",68,4
3271893,"40.67592,-73.98107",71,4
3272201,"40.73504,-74.00658",87,19
3272552,"40.71314,-73.96719",45,6
3272628,"40.80407,-73.94603",24,3
3272721,"40.68033,-73.96528",52,2
3276963,"40.73691,-74.00013",106,15
3278436,"40.78206,-73.97797",86,5
3278530,"40.70943,-73.94948",31,7
3278631,"40.8008,-73.94347",16,4
3278691,"40.59601,-73.96862",0,3
3279671,"40.7518,-73.9969",109,6
3281606,"40.80002,-73.95559",12,8
3281660,"40.77449,-73.96228",64,1
3282550,"40.6846,-73.98454",33,6
3283028,"40.71165,-73.94708",50,5
3283409,"40.68562,-73.92375",12,3
3283729,"40.77787,-73.95104",110,2
3284019,"40.7631,-73.92262",84,2
3286369,"40.67517,-73.89814",1,5
3288496,"40.71769,-73.98953",186,20
3288625,"40.71189,-73.96282",66,25
3289009,"40.72096,-73.94424",24,8
3290309,"40.72235,-73.99543",157,10
3291286,"40.7593,-73.92884",41,3
3291524,"40.69236,-73.97254",31,8
3293500,"40.68073,-73.90915",5,4
3293842,"40.66294,-73.99675",16,0
3297016,"40.67045,-73.95716",28,3
3301484,"40.80118,-73.97063",47,4
3302463,"40.73548,-73.98896",111,4
3302905,"40.7381,-74.00489",104,20
3302921,"40.72749,-73.99071",142,9
3302932,"40.69165,-73.84841",12,1
3303165,"40.67731,-73.90733",4,2
3303301,"40.68207,-73.94994",13,3
3303382,"40.82888,-73.94997",22,2
3304307,"40.79269,-73.94218",32,6
3307936,"40.73993,-74.00619",78,15
3309572,"40.67822,-73.9389",9,7
3309982,"40.66939,-73.94839",6,1
3311821,"40.70648,-73.95444",14,17
3311830,"40.70476,-73.90874",43,0
3311834,"40.68975,-73.9346",5,6
3312276,"40.81444,-73.92516",4,7
3312417,"40.68172,-73.94095",17,8
