id,geom,amenities_500,leisure_500
35635841,"40.74318,-73.97916",160,4
35638345,"40.76617,-73.99169",67,6
35638944,"40.74006,-73.7169",5,1
35639073,"40.76536,-73.98866",133,8
35639950,"40.69172,-73.9113",20,3
35640448,"40.74174,-73.90817",16,8
35640594,"40.70087,-73.94075",11,8
35641231,"40.75882,-73.9903",227,5
35642392,"40.72478,-73.98297",139,16
35642402,"40.67867,-73.9969",30,4
35642484,"40.69463,-73.92707",10,5
35642823,"40.8433,-73.93616",10,7
35642891,"40.6964,-73.91898",25,6
35643772,"40.64151,-73.96104",9,0
35643807,"40.80033,-73.95382",16,9
35644433,"40.71918,-73.95591",84,12
35644555,"40.81858,-73.94524",13,7
35644795,"40.69334,-73.98179",25,9
35645630,"40.80491,-73.96339",48,16
35645833,"40.67437,-73.96177",47,4
35646056,"40.73035,-73.9845",146,9
35646375,"40.76073,-73.99032",202,4
35646392,"40.76391,-73.98028",160,7
35646472,"40.79213,-73.9704",65,10
35646539,"40.76553,-73.98148",154,5
35646737,"40.74946,-73.99627",100,6
35646747,"40.69691,-73.98237",12,14
35647681,"40.6853,-73.96662",37,7
35647761,"40.70567,-74.00566",129,18
35647951,"40.72716,-73.98436",148,11
35648056,"40.76164,-73.99218",160,4
35648435,"40.82754,-73.82124",0,2
35649754,"40.7637,-73.99184",131,6
35650240,"40.70924,-73.95208",31,13
35650326,"40.76954,-73.94959",27,6
35651376,"40.66008,-73.99684",18,0
35651982,"40.86114,-73.92717",6,7
35652031,"40.69524,-73.93234",13,8
35652334,"40.69423,-73.91945",6,5
35653043,"40.76465,-73.98155",173,6
35653330,"40.70056,-73.92162",53,5
35653871,"40.73775,-73.97368",9,6
35654692,"40.74673,-73.9792",179,3
35654798,"40.84346,-73.90554",1,8
35655420,"40.74825,-73.98101",206,2
35655547,"40.83747,-73.94123",5,8
35655950,"40.71708,-73.82411",1,5
35656431,"40.75938,-73.80124",1,3
35656689,"40.74509,-73.88492",47,13
35657486,"40.69252,-73.93787",4,5
35657662,"40.71821,-73.99506",264,17
35658004,"40.7195,-73.98558",122,22
35658458,"40.71694,-73.98218",43,15
35658677,"40.76413,-73.99466",63,6
35660065,"40.69258,-73.91168",23,4
35661889,"40.69208,-73.91296",17,4
35662019,"40.75625,-73.99357",165,3
35664876,"40.6997,-73.93944",12,7
35665927,"40.74383,-73.951",41,7
35666988,"40.80775,-73.93767",6,16
35667379,"40.81668,-73.9569",15,11
35667738,"40.6922,-73.90563",15,2
35668212,"40.69965,-73.93909",15,7
35669284,"40.70125,-73.93915",17,8
35669345,"40.69485,-73.94005",9,9
35669735,"40.72098,-73.9972",176,8
35669975,"40.75855,-73.96661",101,4
35670657,"40.67976,-73.9633",57,3
35670919,"40.70105,-73.93954",13,6
35671265,"40.76569,-73.95829",52,3
35671794,"40.6871,-73.94651",6,6
35671998,"40.71213,-73.78778",8,7
35672353,"40.83351,-73.93033",1,8
35672714,"40.6765,-73.81947",3,2
35672777,"40.7144,-73.98201",14,13
35672836,"40.76847,-73.90852",15,2
35673061,"40.76374,-73.98844",184,9
35674837,"40.79833,-73.93781",23,6
35675069,"40.67825,-73.92346",2,5
35675859,"40.84143,-73.94569",1,4
35676024,"40.64264,-73.97855",9,2
35676174,"40.72488,-73.98317",147,16
35676573,"40.70522,-73.94243",9,6
35676738,"40.60724,-73.95219",2,4
35677001,"40.7615,-73.99546",89,6
35677349,"40.71556,-73.94245",34,3
35678147,"40.69698,-73.90774",56,3
35678273,"40.86269,-73.89073",1,12
35678627,"40.6346,-74.03022",17,3
35679309,"40.64353,-73.9845",6,2
35679614,"40.72352,-73.97493",11,9
35679813,"40.6771,-73.96007",50,3
35679935,"40.71288,-73.81368",1,2
35680065,"40.69134,-73.93288",5,4
35680174,"40.69284,-73.91248",20,5
35680258,"40.68002,-74.0055",12,5
35680818,"40.72546,-74.0008",163,24
35681056,"40.75597,-73.99457",150,3
35681112,"40.68479,-73.94416",6,7
35681163,"40.70816,-73.95591",30,17
35681619,"40.71668,-73.94252",28,4
35681857,"40.68884,-73.9733",44,6
35682178,"40.6944,-73.92531",10,4
35682486,"40.76814,-73.96088",60,2
35682527,"40.82178,-73.93946",4,9
35682665,"40.62434,-73.98821",1,1
35682980,"40.71283,-73.94278",29,3
35683012,"40.70905,-73.95484",37,16
35683489,"40.71011,-73.95782",57,23
35683518,"40.68612,-73.99024",73,4
35683776,"40.63772,-74.08315",5,2
35684442,"40.82292,-73.95598",4,6
35684457,"40.76938,-73.95143",41,6
35684596,"40.73888,-73.89486",4,7
35685857,"40.84344,-73.93967",10,7
35686069,"40.79522,-73.93918",30,2
35686533,"40.73902,-73.92686",12,3
35686575,"40.7315,-73.87931",13,3
35686594,"40.68434,-73.9064",3,3
35686679,"40.71655,-73.85219",7,3
35686816,"40.68927,-73.96542",40,6
35687199,"40.77012,-73.90919",22,2
35687862,"40.7043,-73.94285",8,6
35688219,"40.641,-73.93467",0,1
35688424,"40.68028,-73.91829",6,9
35691113,"40.71143,-73.99557",117,27
35691215,"40.69416,-73.9809",18,10
35692073,"40.75959,-73.96473",86,6
35693860,"40.69382,-73.96644",35,8
35699079,"40.82339,-73.95106",16,7
35699567,"40.7486,-73.88469",42,22
35700408,"40.78991,-73.94816",45,11
35700700,"40.69429,-73.91385",17,7
35702066,"40.69386,-73.93256",13,8
35702658,"40.69207,-73.93833",3,4
35702864,"40.68273,-73.9193",11,7
35703509,"40.74083,-73.92821",20,3
35703583,"40.66438,-73.97931",27,1
35704185,"40.68729,-73.96766",38,7
35704764,"40.70322,-73.92718",53,3
35704999,"40.765,-73.98737",158,9
35705257,"40.73996,-73.92829",20,3
35705482,"40.70483,-73.92565",44,2
35705568,"40.69624,-73.92554",23,3
35706068,"40.74869,-73.94294",30,10
35706150,"40.74064,-73.92871",21,3
35706482,"40.7069,-73.94521",19,8
35706862,"40.71564,-73.94497",48,5
35706957,"40.81395,-73.94199",12,9
35707070,"40.70929,-73.96889",18,11
35707097,"40.74088,-73.92726",22,3
35707367,"40.7503,-73.99746",88,6
35707474,"40.7389,-73.92792",6,3
35707595,"40.71722,-73.98388",80,19
35707776,"40.739,-73.92796",8,3
35707820,"40.75237,-73.97092",98,13
35707944,"40.71659,-73.94397",35,6
35707945,"40.80921,-73.94019",12,16
35708459,"40.68364,-73.94067",19,7
35708807,"40.68575,-73.92046",12,3
35709113,"40.7655,-73.98871",125,8
35709161,"40.75174,-73.9706",93,14
35709450,"40.72226,-73.99351",199,10
35709682,"40.73883,-73.92698",6,3
35709724,"40.74339,-73.98205",196,5
35709825,"40.74335,-73.98287",206,5
35709849,"40.70084,-73.90843",64,2
35709875,"40.7113,-73.9576",62,23
35709924,"40.6935,-73.86837",4,1
35710204,"40.61354,-73.96316",3,2
35710560,"40.69343,-73.86745",5,1
35710684,"40.75284,-73.97088",103,13
35710697,"40.72513,-73.9839",160,17
35710939,"40.76433,-73.993",93,5
35710965,"40.75909,-73.92227",68,3
35711228,"40.72438,-73.98901",188,10
35711402,"40.67511,-73.90836",3,4
35711535,"40.69482,-73.86747",5,1
35711784,"40.76494,-73.98874",151,8
35711828,"40.76565,-73.99392",46,7
35712132,"40.68656,-73.91921",13,3
35712515,"40.67632,-73.79856",3,3
35712642,"40.7639,-73.99542",61,6
35712883,"40.68242,-73.95348",14,2
35713130,"40.7645,-73.99434",62,6
35713184,"40.66085,-73.95586",15,2
35713272,"40.72198,-73.97678",14,9
35713295,"40.78861,-73.94523",38,12
35713310,"40.76542,-73.98192",160,5
35713334,"40.76523,-73.98049",147,5
35713354,"40.76546,-73.9806",143,6
35713596,"40.72632,-73.9846",160,16
35714753,"40.70477,-73.80335",16,2
35715071,"40.73864,-73.92728",5,3
35715171,"40.83571,-73.94179",3,7
35715382,"40.69528,-73.95603",9,5
35715791,"40.8076,-73.94886",40,7
35716058,"40.70424,-74.00789",113,14
35716084,"40.74568,-73.90844",17,9
35716310,"40.80935,-73.93812",6,16
