id,geom,amenities_500,leisure_500
2739707,"40.68286,-73.93055",13,3
2739793,"40.69686,-73.93042",21,6
2739884,"40.75927,-73.99223",188,4
2739978,"40.73085,-73.99421",116,6
2743624,"40.76544,-73.98186",160,5
2744106,"40.69226,-73.98056",25,6
2744185,"40.81677,-73.94371",11,6
2745620,"40.77138,-73.90895",30,2
2748064,"40.7645,-73.99314",86,5
2748094,"40.73243,-73.98906",122,6
2748128,"40.6982,-73.92852",24,4
2751311,"40.71813,-73.95869",89,11
2752977,"40.68009,-74.00009",28,6
2754006,"40.71542,-73.98511",76,22
2754179,"40.77249,-73.95756",112,0
2755909,"40.84915,-73.93848",18,5
2756159,"40.74389,-73.99835",103,2
2757036,"40.75606,-73.81954",7,9
2760968,"40.71614,-73.96134",102,10
2761766,"40.66587,-73.97881",24,1
2763206,"40.75967,-73.96595",98,4
2764516,"40.72278,-73.98497",146,15
2769718,"40.67736,-73.98084",83,5
2771126,"40.68998,-73.96072",26,8
2771877,"40.78694,-73.97384",89,7
2772111,"40.86705,-73.88545",1,6
2773754,"40.66044,-73.97977",19,1
2774381,"40.64602,-73.95964",3,2
2774934,"40.77024,-73.98746",53,17
2775553,"40.77852,-73.98577",31,9
2776119,"40.69707,-73.93914",10,7
2778250,"40.83252,-73.94916",13,4
2781747,"40.68235,-74.00047",29,4
2782449,"40.68238,-73.99481",52,3
2783468,"40.77349,-73.95137",98,2
2784311,"40.72105,-73.9814",56,11
2786015,"40.81781,-73.94577",12,5
2788298,"40.69056,-73.98038",37,6
2789713,"40.68671,-73.98952",70,3
2791446,"40.74309,-73.99436",129,3
2791688,"40.72106,-73.99417",210,12
2791758,"40.71173,-73.94955",53,9
2791797,"40.73571,-74.00375",115,18
2793004,"40.69297,-73.99758",33,3
2793630,"40.71418,-73.99295",193,29
2793740,"40.72266,-73.98337",126,11
2793834,"40.79194,-73.96913",62,8
2794725,"40.62578,-74.07356",5,3
2794734,"40.68811,-73.99421",56,6
2794762,"40.68211,-73.93876",18,7
2799360,"40.78414,-73.9783",84,4
2801214,"40.67301,-73.95312",35,1
2801300,"40.75611,-73.81957",7,9
2803013,"40.7642,-73.99133",126,6
2803944,"40.74235,-73.90375",22,8
2803981,"40.71389,-73.9657",56,8
2804065,"40.70012,-73.93062",34,5
2804557,"40.80504,-73.96454",46,14
2804989,"40.74405,-73.91502",12,22
2805293,"40.7339,-74.00177",143,21
2806791,"40.83333,-73.94182",5,6
2807615,"40.78882,-73.97945",46,3
2807939,"40.6435,-73.96065",7,0
2814076,"40.7576,-73.92698",40,3
2814931,"40.80554,-73.92606",2,6
2816152,"40.7202,-73.95191",60,11
2817967,"40.77125,-73.95735",104,0
2818471,"40.68576,-73.92211",11,3
