id,geom,amenities_500,leisure_500
32347622,"40.7493,-73.97376",125,13
32347796,"40.74112,-73.99483",120,3
32349835,"40.62955,-74.02429",14,1
32350835,"40.74658,-73.92007",21,21
32354513,"40.68396,-73.95267",16,1
32355251,"40.7293,-73.95075",20,0
32355657,"40.73938,-74.00176",113,13
32355744,"40.77202,-73.95821",115,1
32356294,"40.73446,-73.9523",20,2
32356476,"40.7085,-73.94966",26,8
32356850,"40.71415,-73.93857",15,2
32358081,"40.76099,-73.99554",98,5
32358099,"40.69169,-73.90429",9,1
32358780,"40.68991,-73.90495",8,2
32359401,"40.74503,-73.87099",7,4
32361370,"40.70896,-73.8956",26,1
32361532,"40.70892,-73.89502",28,1
32361604,"40.70813,-73.89664",30,1
32361650,"40.70727,-73.89627",28,1
32361746,"40.70906,-73.89511",28,1
32362267,"40.75605,-73.91341",18,6
32363924,"40.70188,-73.9258",52,2
32364378,"40.75337,-73.97334",136,12
32364475,"40.76282,-73.98236",205,7
32364762,"40.88474,-73.90321",15,8
32364848,"40.64612,-73.9608",3,2
32365337,"40.82671,-73.90643",1,14
32365434,"40.67066,-73.94801",9,1
32365636,"40.6348,-74.03788",2,3
32365738,"40.70399,-74.00662",108,13
32366042,"40.80801,-73.94011",12,15
32367010,"40.66978,-73.95009",7,1
32370730,"40.74189,-73.99019",143,4
32371477,"40.7996,-73.94216",15,4
32371865,"40.74119,-73.99536",121,2
32373990,"40.65134,-73.94309",0,1
32374666,"40.80511,-73.95824",37,18
32377751,"40.80108,-73.94602",16,4
32378301,"40.69757,-73.99335",26,13
32379092,"40.68587,-73.9082",6,4
32379410,"40.77189,-73.94694",14,4
32379480,"40.76262,-73.96443",77,4
32379695,"40.6872,-73.90895",8,3
32380039,"40.68772,-73.90808",8,2
32380547,"40.77422,-73.97778",43,7
32381021,"40.70218,-73.93582",18,6
32381165,"40.6279,-74.08202",4,5
32382542,"40.64929,-73.92685",1,3
32383114,"40.65015,-73.92803",0,2
32384354,"40.67652,-73.94016",9,6
32384721,"40.67692,-73.94038",9,6
32385315,"40.71257,-73.995",151,26
32385720,"40.72498,-73.97604",19,11
32387391,"40.71581,-73.95546",96,14
32392636,"40.80526,-73.93818",5,17
32397072,"40.71682,-73.95446",86,15
32398138,"40.74378,-73.97356",56,7
32398156,"40.74361,-73.97523",72,6
32398174,"40.74271,-73.97533",69,6
32399523,"40.70399,-74.00908",108,16
32399591,"40.71084,-73.95875",63,26
32400196,"40.81461,-73.94635",14,7
