id,geom,amenities_500,leisure_500
13293325,"40.70219,-73.89859",44,2
13294007,"40.77375,-73.94963",68,2
13294137,"40.87938,-73.86349",1,3
13294291,"40.71736,-73.95263",65,13
13294325,"40.69389,-73.9512",10,7
13294856,"40.71728,-73.99859",220,16
13294859,"40.70552,-73.93344",29,4
13295331,"40.8002,-73.96727",67,10
13295693,"40.59621,-73.95767",10,1
13296897,"40.76283,-73.99331",110,4
13297200,"40.69446,-73.99689",34,4
13298512,"40.69041,-73.96026",28,8
13298526,"40.73052,-73.95876",23,4
13299243,"40.76026,-73.92235",68,2
13299532,"40.69472,-73.91405",25,7
13299818,"40.73898,-73.98233",108,7
13300059,"40.66071,-73.9558",11,2
13300113,"40.67951,-73.96926",72,5
13300645,"40.71783,-73.99817",232,15
13303942,"40.68584,-73.90587",3,3
13305621,"40.68235,-73.9535",14,2
13306081,"40.6413,-73.90303",0,2
13306156,"40.6418,-73.90245",0,2
13306254,"40.6664,-73.99305",21,4
13307480,"40.83791,-73.94075",5,8
13308110,"40.70699,-73.92188",35,3
13308276,"40.801,-73.9613",47,10
13308629,"40.71385,-73.99711",177,25
13309188,"40.7672,-73.94552",2,8
13309259,"40.67512,-73.95248",35,1
13309409,"40.72271,-73.99518",149,10
13309667,"40.73704,-74.00371",117,17
13309763,"40.72535,-73.9966",153,17
13310836,"40.7662,-73.82854",20,5
13311392,"40.68155,-73.91435",7,7
13311896,"40.67389,-73.93974",2,4
13312914,"40.69809,-73.93435",10,7
13312968,"40.73356,-73.96001",23,5
13313377,"40.71552,-73.99731",215,21
13313576,"40.72075,-73.98733",148,18
13314206,"40.83945,-73.94353",3,8
13314442,"40.70044,-73.93909",15,7
13314752,"40.76053,-73.92977",28,2
13315551,"40.61567,-73.95488",0,3
13315940,"40.80904,-73.95807",35,13
13315967,"40.80884,-73.9302",2,11
13316028,"40.72446,-73.95235",45,9
13316545,"40.65112,-73.95165",1,2
13316577,"40.77614,-73.94626",48,4
13316988,"40.79951,-73.96767",68,12
13318239,"40.7885,-73.9494",37,11
13318272,"40.70485,-73.94472",9,9
13324758,"40.67437,-73.95711",36,3
13325664,"40.72792,-73.98106",95,13
13325767,"40.69248,-73.96899",37,9
13326584,"40.79964,-73.96437",66,11
13326731,"40.80872,-73.93051",2,11
13327345,"40.80952,-73.93025",2,10
13328254,"40.71336,-73.98977",89,24
13328405,"40.82299,-73.94486",14,8
13329706,"40.73078,-73.82232",5,1
13329860,"40.76417,-73.92816",44,2
13330602,"40.70716,-74.01155",149,23
13330638,"40.69903,-73.91722",47,7
13330683,"40.77293,-73.91846",20,9
13331393,"40.75956,-73.98512",220,4
13332001,"40.64107,-73.95325",2,0
13332334,"40.81816,-73.94305",12,6
13332859,"40.69775,-73.99517",24,12
13333542,"40.68252,-73.93863",19,7
13333699,"40.69056,-73.97752",32,7
13333916,"40.63849,-74.02028",13,3
13335424,"40.84559,-73.89815",1,7
13337150,"40.81193,-73.95946",23,11
13340543,"40.76284,-73.96038",52,7
13341570,"40.77722,-73.94991",94,3
13341820,"40.76045,-73.9981",60,7
13341955,"40.75274,-73.87777",29,11
13342037,"40.72198,-73.99451",191,9
13343144,"40.75619,-73.92546",27,2
13343199,"40.6602,-73.96017",9,2
13344039,"40.69209,-73.98499",43,8
13346091,"40.81771,-73.952",7,7
13346113,"40.71459,-73.93885",22,2
13346741,"40.79426,-73.96914",73,5
13347857,"40.71061,-73.94289",28,2
13348000,"40.83166,-73.81747",0,0
13355002,"40.63672,-73.91154",0,2
13355711,"40.851,-73.93141",11,8
13355757,"40.704,-73.98464",13,9
13355833,"40.7194,-73.96262",60,6
13356748,"40.71444,-73.94058",28,2
13358067,"40.72552,-73.94489",24,7
13358265,"40.778,-73.97912",54,9
13358405,"40.69485,-73.94866",6,7
13358660,"40.79918,-73.9635",56,11
13359102,"40.73057,-73.99422",123,6
13359416,"40.80286,-73.96561",63,12
13359578,"40.73831,-74.00324",116,16
13359647,"40.85927,-73.90142",1,9
13359798,"40.76836,-73.91445",48,3
13359877,"40.71896,-73.95673",76,12
13360068,"40.77928,-73.94862",101,4
13360600,"40.7234,-73.85787",9,5
13361613,"40.8053,-73.94704",27,6
13361785,"40.71329,-73.96586",55,8
13362486,"40.67148,-73.97786",44,2
13369841,"40.71775,-73.98612",126,25
13370053,"40.73431,-73.95928",23,6
13370393,"40.60556,-74.08274",0,1
13371473,"40.70478,-73.9435",8,7
13371633,"40.67383,-73.961",48,3
13371699,"40.65867,-73.97971",12,2
13372847,"40.68468,-73.99372",57,5
13372860,"40.69076,-73.92886",4,6
13373300,"40.6885,-73.99443",57,5
13373898,"40.8057,-73.94689",27,6
13374115,"40.81551,-73.94916",10,7
13374738,"40.80151,-73.95346",20,9
13375642,"40.69407,-73.91124",25,3
13375898,"40.76002,-73.92252",67,2
13375936,"40.80321,-73.9521",35,8
13376196,"40.762,-73.96045",51,6
13376767,"40.70489,-73.94112",12,7
13376886,"40.79747,-73.94106",30,4
13376891,"40.68877,-73.97795",41,5
13376968,"40.72886,-73.98834",180,7
13377443,"40.65251,-73.96325",3,4
13377893,"40.69539,-73.9285",13,5
13378096,"40.70222,-73.92947",44,4
13378177,"40.66128,-73.94797",4,2
13378207,"40.65886,-73.99054",17,3
13378410,"40.82429,-73.95225",18,7
13378438,"40.68235,-73.94686",13,5
13378609,"40.75087,-73.89365",34,12
13378820,"40.66405,-73.85676",1,1
13378919,"40.63909,-74.01815",12,2
13379269,"40.77159,-73.93089",17,4
13379511,"40.68594,-73.96293",27,6
13379688,"40.80184,-73.95591",28,8
13380662,"40.62023,-73.99103",5,1
13384425,"40.656,-73.95851",6,4
13386091,"40.61448,-74.00486",16,2
13386152,"40.68963,-73.95316",13,7
13386360,"40.71962,-73.98241",71,14
13387453,"40.81619,-73.93798",5,6
13387572,"40.76113,-73.96092",57,6
13388210,"40.76334,-73.98909",181,7
13388285,"40.68936,-73.916",10,3
13388649,"40.76406,-73.90769",16,1
13388929,"40.73426,-74.00236",140,21
13389082,"40.72966,-73.98187",112,12
13389177,"40.74637,-73.97207",67,10
13389280,"40.76375,-73.98387",184,7
13389756,"40.71769,-73.95275",72,13
13391063,"40.72523,-73.95218",47,8
13391165,"40.72768,-73.98739",162,9
13392143,"40.77643,-73.91364",32,2
13392392,"40.72591,-73.98917",183,12
13392646,"40.68132,-73.99757",48,3
13392858,"40.68724,-73.98497",47,5
13392941,"40.70514,-74.00921",135,20
13393092,"40.75186,-73.97062",95,13
13394065,"40.75174,-73.92967",18,2
13394404,"40.75855,-73.91616",35,4
13394558,"40.71938,-73.9952",234,16
13394748,"40.69628,-73.85255",17,1
13395084,"40.69558,-73.96872",23,7
13395329,"40.80273,-73.95924",43,12
13395362,"40.76409,-73.99122",127,6
13395513,"40.7207,-73.99815",181,7
13395955,"40.67649,-73.96697",56,7
13396285,"40.69443,-73.94636",3,8
13396969,"40.71579,-73.99158",173,20
13397316,"40.76413,-73.99301",95,5
13397762,"40.74272,-73.92347",30,9
13397781,"40.71035,-73.95332",54,21
13397786,"40.71685,-73.94668",49,9
13398011,"40.72563,-73.99118",171,12
13398340,"40.68697,-73.94506",4,7
13398348,"40.7157,-73.95983",103,10
13398406,"40.71605,-73.9518",63,12
13398837,"40.72057,-73.99185",210,17
13399051,"40.71518,-73.98953",136,23
13400181,"40.6979,-73.92852",26,4
13404021,"40.69405,-73.91403",16,6
13405322,"40.67587,-73.95467",39,1
13406622,"40.74339,-73.99642",113,2
13407067,"40.68684,-73.87834",0,3
13407328,"40.67318,-73.9655",26,6
13407354,"40.75352,-73.96807",82,12
13407476,"40.75608,-73.96895",104,9
13407615,"40.66703,-73.94054",1,1
13408222,"40.65466,-73.9218",0,1
13408765,"40.78749,-73.9504",47,9
13409920,"40.68547,-73.93209",13,3
13410276,"40.78378,-73.97845",85,5
13410478,"40.74921,-74.00416",36,6
13410813,"40.7537,-73.93186",34,5
13411035,"40.76327,-73.98937",170,6
