id,geom,amenities_500,leisure_500
14707648,"40.58634,-73.81867",4,1
14707675,"40.72163,-73.98715",156,15
14708459,"40.76137,-73.91109",32,2
14709693,"40.86238,-73.92806",12,6
14710763,"40.69532,-73.94407",3,8
14711796,"40.70483,-74.01545",74,15
14712466,"40.65446,-73.92613",1,1
14713599,"40.70774,-73.94819",24,7
14713835,"40.86438,-73.92787",13,5
14714093,"40.82315,-73.93726",4,12
14714894,"40.69174,-73.91141",20,3
14716077,"40.73374,-73.95617",26,5
14716155,"40.69625,-73.93696",9,7
14716403,"40.70525,-73.93281",29,5
14716586,"40.69784,-73.93694",9,7
14721931,"40.76142,-73.99248",154,4
14722273,"40.76071,-73.99032",202,4
14723039,"40.69173,-73.95885",25,6
14723166,"40.73711,-73.98573",114,6
14723697,"40.75539,-73.91709",26,4
14724015,"40.79371,-73.96708",56,6
14724181,"40.8305,-73.9437",21,6
14724479,"40.89581,-73.89778",0,4
14726498,"40.86763,-73.91792",9,2
14726699,"40.69961,-73.81264",12,3
14728630,"40.66894,-73.98516",59,1
14728788,"40.58615,-73.94784",24,4
14730708,"40.7791,-73.98182",61,9
14733932,"40.69568,-73.93384",13,9
14737992,"40.82483,-73.95394",17,6
14738709,"40.76025,-73.99811",59,8
14741343,"40.65549,-73.96183",6,4
14741623,"40.68179,-73.95252",16,2
14743469,"40.60749,-73.99225",4,2
14744425,"40.80429,-73.96499",49,12
14744735,"40.7272,-73.94374",11,2
14744794,"40.82475,-73.9507",23,7
14744912,"40.7014,-73.91798",59,4
14745847,"40.75797,-73.97004",102,5
14746873,"40.69621,-73.84532",5,1
14747893,"40.68548,-73.96625",36,6
14749932,"40.71906,-73.95726",76,11
14756273,"40.77392,-73.91678",20,10
14756913,"40.68112,-73.9302",14,4
14756990,"40.68891,-73.92084",8,3
14757774,"40.70497,-73.9233",47,3
14759511,"40.73271,-73.95536",26,6
14759843,"40.68253,-73.9501",14,3
14759851,"40.76144,-73.98849",230,5
14759888,"40.73029,-73.98725",163,7
14760211,"40.78321,-73.95646",42,3
14760402,"40.74634,-73.9179",17,24
14760567,"40.80676,-73.94658",30,6
14761949,"40.82489,-73.95337",19,7
14763045,"40.71588,-73.94297",33,5
14763255,"40.68683,-73.95004",11,6
14767195,"40.73967,-73.92367",24,4
14768563,"40.66028,-73.961",9,1
14769619,"40.67539,-73.89039",1,6
14769785,"40.67181,-73.925",1,3
14770256,"40.61679,-73.96016",1,3
14771917,"40.70542,-73.92025",43,2
14772328,"40.71417,-73.94463",45,4
14772701,"40.71943,-73.94255",24,9
14774206,"40.80093,-73.9601",41,11
14774459,"40.79834,-73.94761",13,6
14776203,"40.68793,-73.95246",15,8
14777684,"40.68358,-73.7967",1,1
14778622,"40.70052,-73.75184",0,1
14779359,"40.8222,-73.94323",8,8
14779590,"40.716,-73.955",95,13
14781268,"40.69951,-73.92848",35,3
14783267,"40.66961,-73.97991",49,2
14783394,"40.68815,-73.91344",11,3
14783847,"40.75586,-73.96185",23,10
14784377,"40.81285,-73.95439",28,10
14784557,"40.76688,-73.99402",33,7
14784793,"40.63825,-73.95654",1,0
14787061,"40.81344,-73.93454",3,5
14787179,"40.71153,-73.94215",27,2
14787406,"40.83315,-73.94108",6,6
14787727,"40.68182,-73.99208",47,6
14787776,"40.7121,-73.9623",68,23
14788009,"40.78031,-73.91003",7,2
14789008,"40.58249,-73.95347",20,7
14790550,"40.59544,-73.97087",1,3
14795784,"40.6758,-73.96251",56,3
14796894,"40.74246,-73.9954",122,1
14798850,"40.69576,-73.96137",10,8
14798941,"40.70468,-73.92568",47,2
14800184,"40.69063,-73.93947",3,5
14802377,"40.67532,-73.93986",5,5
