id,geom,amenities_500,leisure_500
36034580,"40.70328,-74.01099",93,14
36035142,"40.7836,-73.97511",79,4
36035471,"40.72803,-73.95557",36,4
36036585,"40.70534,-74.00631",128,18
36036692,"40.71688,-73.9904",181,19
36036850,"40.64235,-73.95227",2,1
36037081,"40.74169,-73.99723",111,3
36037105,"40.70089,-73.98253",11,12
36037506,"40.82093,-73.91279",4,13
36037692,"40.76496,-73.98928",129,6
36037836,"40.71096,-73.96575",47,16
36037899,"40.71259,-73.96669",49,10
36037964,"40.71129,-73.96555",48,17
36038003,"40.71467,-73.98985",124,24
36038012,"40.7122,-73.96667",48,11
36038070,"40.75255,-73.93324",33,4
36038093,"40.75888,-73.87889",23,6
36038200,"40.75669,-73.96848",102,8
36038287,"40.73221,-73.97941",43,12
36039490,"40.76987,-73.80451",1,5
36039574,"40.753,-73.93485",35,4
36040430,"40.69975,-73.91202",65,4
36040477,"40.76986,-73.80515",1,5
36040561,"40.91306,-73.89389",0,1
36040924,"40.72124,-73.80072",0,2
36041065,"40.6838,-73.92854",8,5
36041096,"40.74438,-73.997",111,1
36041232,"40.91167,-73.89566",0,1
36041377,"40.75755,-73.88199",25,8
36041578,"40.75368,-73.93298",36,4
36042251,"40.62351,-73.95509",0,2
36042368,"40.72338,-73.9851",155,15
36042727,"40.68996,-73.92669",5,6
36043079,"40.57759,-73.96218",7,3
36043243,"40.78189,-73.9455",57,6
36044645,"40.76557,-73.9909",87,7
36044819,"40.81842,-73.9391",8,6
36056808,"40.71206,-74.00999",111,28
36057923,"40.65989,-73.99336",18,3
36057961,"40.71895,-73.98813",163,22
36059155,"40.7472,-73.97337",94,12
36060344,"40.71276,-73.98488",24,19
36060576,"40.74638,-73.99094",169,6
36060652,"40.69057,-73.90671",14,2
36061406,"40.73971,-73.99611",102,6
36061459,"40.71537,-73.94601",60,6
36061719,"40.72779,-73.94081",2,2
36062007,"40.70187,-73.92389",60,3
36062014,"40.82625,-73.94791",25,8
36062088,"40.7144,-73.95757",95,17
36062221,"40.74367,-73.91247",8,18
36062290,"40.73669,-74.001",128,14
36062578,"40.68932,-73.93494",6,6
36063144,"40.68899,-73.94988",10,5
36064435,"40.78316,-73.91804",4,3
36064676,"40.69599,-73.93154",14,5
36065361,"40.70835,-73.95368",29,17
36065368,"40.70869,-73.90835",20,2
36066113,"40.74575,-73.9449",26,10
36066155,"40.66802,-73.88724",0,6
36066526,"40.69859,-73.91398",55,6
36067108,"40.71968,-73.98453",119,21
36068351,"40.85247,-73.86418",2,2
36069295,"40.76621,-73.92274",65,3
36069466,"40.71878,-73.99808",223,12
36069486,"40.80199,-73.95779",35,12
36070717,"40.72285,-73.98895",186,10
36071215,"40.71483,-73.95243",80,12
36071685,"40.65205,-73.96311",3,4
36071960,"40.86143,-73.84573",0,1
36072301,"40.71814,-73.95041",56,13
36072357,"40.68323,-73.94694",13,5
36073384,"40.82682,-73.95157",22,4
36073776,"40.67877,-73.86722",1,4
36074198,"40.7206,-74.00023",196,14
36074873,"40.71155,-73.99712",123,26
36075020,"40.8233,-73.95122",16,7
36075404,"40.7982,-73.94422",17,6
36075606,"40.70411,-74.00909",108,16
36076098,"40.80446,-73.9455",29,3
36076181,"40.69855,-73.85279",5,2
36076335,"40.75258,-73.93475",36,4
36076338,"40.64018,-73.99157",3,4
36076577,"40.76943,-73.95608",76,2
36076594,"40.72923,-73.95693",29,4
36076758,"40.84638,-73.93846",13,5
36076807,"40.76725,-73.98669",116,13
36077160,"40.77472,-73.92825",8,7
36077537,"40.76843,-73.9894",62,10
36077664,"40.77324,-73.95969",95,1
36077745,"40.71527,-73.93852",15,2
36078121,"40.71755,-73.98967",188,19
36078765,"40.69069,-73.90836",15,1
36078798,"40.73395,-73.9538",25,4
36078939,"40.69324,-73.9094",22,2
36079246,"40.69198,-73.96008",23,7
36080023,"40.84218,-73.90969",2,12
36080238,"40.67451,-73.88806",1,6
36081181,"40.74605,-73.9773",139,5
36081186,"40.74666,-73.97358",88,10
36082032,"40.69845,-73.93591",8,6
36082127,"40.79446,-73.94455",37,7
36082371,"40.73034,-73.98725",161,7
36082721,"40.68588,-73.77823",3,2
36083269,"40.67497,-73.94973",17,2
36085870,"40.84037,-73.8998",1,8
36087720,"40.76437,-73.99044",130,6
36087897,"40.80618,-73.94587",27,6
36088017,"40.80629,-73.95001",44,8
36095313,"40.74413,-73.97993",172,4
36095625,"40.73143,-73.97549",6,11
36097705,"40.61674,-74.10169",1,2
36097970,"40.7469,-73.99038",180,6
36099118,"40.77574,-73.98917",7,12
36099301,"40.72897,-74.00167",184,20
36100102,"40.80605,-73.94208",15,7
36100457,"40.69485,-73.92759",10,5
36100744,"40.69784,-73.89427",21,3
36100855,"40.6756,-73.95644",32,3
36100930,"40.686,-73.98794",63,3
36101190,"40.75406,-73.80613",0,2
36101396,"40.66992,-73.74518",0,1
36102578,"40.67814,-73.89286",2,3
36102590,"40.75181,-73.81356",8,3
36103059,"40.76393,-73.80895",10,4
36103759,"40.76059,-73.9616",57,6
36104174,"40.7572,-73.96464",69,11
36104262,"40.72785,-74.00145",170,21
36105607,"40.73835,-73.98121",84,8
36105765,"40.8019,-73.93829",15,8
36105777,"40.6949,-73.90954",32,2
36106800,"40.73486,-73.99843",115,13
36106887,"40.78627,-73.97995",69,3
36107133,"40.728,-74.00032",175,19
36107361,"40.76686,-73.9239",51,2
36107501,"40.69617,-73.92588",22,2
36107803,"40.67918,-73.97659",76,6
36108523,"40.75957,-73.99535",126,6
36108534,"40.78935,-73.97389",83,8
36108714,"40.72045,-73.96313",47,5
36108811,"40.8349,-73.85259",7,6
36108975,"40.72427,-73.99849",150,14
36109087,"40.75073,-73.99549",110,7
36109132,"40.74608,-73.92179",22,20
36109290,"40.73635,-74.00223",132,16
36109452,"40.73295,-74.00365",169,22
36109625,"40.76769,-73.91994",62,3
36109658,"40.60829,-73.97009",1,2
36109691,"40.90527,-73.89707",1,2
36109805,"40.79098,-73.97384",70,10
36112291,"40.69191,-73.90807",18,2
36112415,"40.69101,-73.97197",42,8
36112469,"40.75095,-73.99542",113,7
36112665,"40.75871,-73.99659",116,5
36112704,"40.65633,-73.95722",7,4
36112923,"40.77568,-73.98019",49,10
36113110,"40.6924,-73.95927",19,7
36113226,"40.71268,-73.95855",79,20
36113257,"40.85269,-73.93616",22,4
36113332,"40.62486,-73.95458",0,2
36113697,"40.80624,-73.9502",44,8
36114015,"40.70982,-73.95831",53,23
36114202,"40.80079,-73.95783",28,11
36114258,"40.75223,-74.00816",14,4
36114840,"40.75218,-74.00241",20,7
36115183,"40.85234,-73.82969",2,4
36115258,"40.70612,-73.95549",9,17
36115461,"40.6887,-73.93982",3,6
36116045,"40.84773,-73.94015",17,4
36116336,"40.78269,-73.95452",59,4
36116772,"40.64531,-73.99757",12,3
36117025,"40.72552,-74.00101",163,26
36117267,"40.68978,-73.81468",2,1
36117552,"40.73564,-74.00997",43,11
36117652,"40.77247,-73.95792",112,0
36118677,"40.71731,-73.94907",49,13
36118872,"40.81851,-73.9567",15,13
36120293,"40.7479,-73.87496",5,2
36120857,"40.71632,-73.94295",29,5
36127750,"40.71572,-73.78204",1,4
36128584,"40.72548,-74.0021",154,25
36129014,"40.67333,-73.91614",1,6
36129923,"40.67122,-73.94093",2,2
36130876,"40.75584,-73.99304",172,2
36130946,"40.64534,-74.01992",5,1
36131210,"40.74812,-73.93875",27,8
36131784,"40.68077,-73.97489",56,5
36133191,"40.70795,-73.92039",23,3
36133997,"40.72968,-74.00195",185,20
36134580,"40.71989,-73.98459",120,20
36134670,"40.82601,-73.93795",3,13
36135376,"40.746,-73.87506",11,5
36136048,"40.71877,-73.99055",200,20
36136548,"40.6984,-73.84921",5,2
36137064,"40.76116,-73.99031",191,4
36137531,"40.73549,-73.97707",13,8
36137613,"40.68605,-73.92436",12,3
36137740,"40.74133,-73.97706",86,6
36138394,"40.68444,-73.95547",21,2
36138789,"40.78774,-73.94627",43,13
