id,geom,amenities_500,leisure_500
25188064,"40.68273,-73.91651",11,8
25188424,"40.67997,-73.95052",20,3
25189853,"40.70803,-74.00502",132,21
25189933,"40.54896,-74.14246",1,2
25190223,"40.76596,-73.98926",95,8
25190757,"40.74123,-74.00548",91,13
25191316,"40.54889,-74.14199",0,3
25192722,"40.68195,-73.94827",16,4
25192771,"40.72787,-73.98844",164,9
25193004,"40.6509,-73.96266",2,4
25193752,"40.73873,-73.88147",33,6
25194498,"40.73552,-73.99719",97,11
25197784,"40.68327,-73.92411",13,6
25202604,"40.67638,-73.98278",70,4
25204010,"40.76306,-73.99015",158,6
25204567,"40.67956,-73.93806",20,6
25204636,"40.73675,-73.998",107,8
25205044,"40.63652,-73.89856",0,1
25205158,"40.6408,-74.08097",17,10
25205932,"40.75533,-73.91936",25,2
25206375,"40.73499,-73.95513",18,6
25206790,"40.62139,-74.0319",33,3
25207662,"40.86866,-73.92472",13,5
25208234,"40.70367,-73.91063",59,1
25208477,"40.7286,-73.98334",140,11
25209061,"40.78769,-73.94691",41,14
25209144,"40.825,-73.95181",22,7
25209293,"40.72277,-73.99524",149,9
25209619,"40.6811,-73.94541",15,4
25210171,"40.86734,-73.92102",11,2
25211991,"40.69394,-73.92972",12,6
25212748,"40.68081,-73.9729",62,5
25213872,"40.61006,-73.99902",11,2
25215426,"40.68074,-73.89157",2,2
25215547,"40.6791,-73.9096",3,6
25215973,"40.6993,-73.90825",61,2
25221034,"40.73631,-73.97512",6,5
25221993,"40.71886,-73.94054",26,6
25222993,"40.81759,-73.94385",12,5
25224320,"40.69104,-73.9258",4,5
25225344,"40.76272,-73.98898",197,6
25226728,"40.73507,-73.95229",17,2
25226807,"40.69284,-73.96065",17,9
25227326,"40.71754,-73.95906",91,11
25227782,"40.82617,-73.82073",0,3
25229392,"40.79938,-73.94698",13,7
25229464,"40.6417,-73.97365",13,0
25230902,"40.72765,-73.98669",160,9
25231000,"40.73133,-74.00461",182,23
25231230,"40.80149,-73.96375",70,13
25231699,"40.70238,-73.92886",47,4
25232008,"40.76457,-73.97518",97,4
25232254,"40.8659,-73.92869",12,4
25232501,"40.75178,-73.93973",43,6
25232614,"40.72941,-74.00317",184,19
25234017,"40.67163,-73.88898",0,6
25234477,"40.77288,-73.94745",32,4
25234555,"40.66918,-73.9475",6,2
25234732,"40.77416,-73.9501",73,2
25235760,"40.77182,-73.92867",20,7
25236588,"40.63584,-74.00578",31,3
25236786,"40.63404,-74.0072",26,5
25236926,"40.76269,-73.98954",174,4
25237818,"40.79747,-73.94836",9,5
25240993,"40.64254,-73.99759",13,6
25245882,"40.75096,-73.88423",36,25
25248774,"40.72967,-73.98668",164,6
25249692,"40.75439,-73.97339",125,9
25251220,"40.78818,-73.97057",60,5
25252356,"40.69264,-73.98542",33,8
25252879,"40.71024,-73.94933",41,7
25253576,"40.69464,-73.94963",8,7
25255024,"40.86681,-73.84073",2,4
25255214,"40.65986,-73.99684",18,0
25255942,"40.70119,-73.91368",63,4
25257443,"40.72469,-73.97892",57,14
25257912,"40.70361,-73.942",9,7
25259845,"40.74098,-73.99744",103,3
25262112,"40.73029,-73.98836",172,7
