id,geom,amenities_500,leisure_500
404923,"40.64791,-73.97904",7,7
405025,"40.75453,-73.93377",32,4
405408,"40.72057,-73.99976",188,13
406926,"40.7234,-73.99439",175,9
406992,"40.71121,-73.94669",52,6
407469,"40.68979,-73.91661",9,2
408491,"40.73448,-73.99797",122,13
408983,"40.65937,-73.95906",12,2
409262,"40.68599,-73.98826",62,3
409293,"40.79477,-73.95046",16,6
409666,"40.5781,-73.95455",2,5
411336,"40.72278,-73.9967",140,7
411525,"40.71472,-73.96225",96,12
411918,"40.66924,-73.94406",1,1
412061,"40.67259,-73.95489",37,1
412180,"40.69321,-73.9442",3,10
413504,"40.71348,-73.94447",39,5
413775,"40.75816,-73.96457",82,8
413876,"40.70537,-74.00992",140,21
414801,"40.68722,-73.96289",26,6
415304,"40.73111,-73.98528",138,11
416557,"40.72212,-73.94389",23,7
417685,"40.66626,-73.97933",31,1
418291,"40.72978,-73.9793",52,14
419373,"40.68838,-73.94193",3,6
419792,"40.71804,-73.98565",127,23
421554,"40.68559,-73.93896",11,4
422040,"40.77995,-73.98342",59,8
424192,"40.7559,-73.99469",147,3
424667,"40.76291,-73.99202",148,5
424767,"40.74406,-73.98273",213,6
424889,"40.73041,-74.00498",168,19
424930,"40.6764,-73.96218",58,3
425784,"40.70279,-73.98284",10,8
428226,"40.67436,-73.956",39,3
430427,"40.83559,-73.94095",4,7
430665,"40.79234,-73.96482",13,4
431865,"40.83451,-73.93885",3,4
432090,"40.74826,-73.94633",27,10
433218,"40.67763,-73.97185",68,4
433414,"40.68472,-73.96691",27,7
433914,"40.65408,-73.87883",1,2
434792,"40.67302,-73.98756",57,3
435774,"40.70633,-74.00974",149,24
435776,"40.77548,-73.95183",113,0
435909,"40.73775,-74.00344",109,16
435946,"40.70917,-74.0146",78,16
436510,"40.7108,-73.96226",61,26
436619,"40.72507,-73.98861",193,14
436824,"40.82726,-73.9444",26,8
436916,"40.82669,-73.94281",17,9
437352,"40.67078,-73.98815",50,2
437906,"40.728,-73.97903",58,14
438513,"40.65814,-73.96181",10,2
439750,"40.71517,-73.94292",36,4
439870,"40.66859,-73.98235",56,2
442636,"40.70054,-73.90255",57,2
442649,"40.74572,-73.99965",92,5
443646,"40.78911,-73.97396",81,8
444171,"40.68813,-73.92817",6,5
444430,"40.81128,-73.92399",4,10
446367,"40.77593,-73.97699",44,6
447766,"40.73903,-73.97975",82,7
447840,"40.71164,-73.965",53,15
448048,"40.75193,-73.87873",31,11
448049,"40.74906,-73.89377",32,12
449034,"40.71756,-73.95282",73,13
449130,"40.8179,-73.94319",12,5
449660,"40.64814,-73.97304",14,7
449680,"40.81611,-73.89909",1,7
450009,"40.62897,-73.90334",0,2
450577,"40.77555,-73.9767",43,6
450578,"40.6397,-74.0162",13,2
450905,"40.67267,-73.98348",60,3
452068,"40.64205,-73.97173",17,0
452541,"40.66034,-73.9829",20,4
453094,"40.68699,-73.9635",29,4
453161,"40.72183,-73.94908",50,12
453255,"40.71986,-73.9869",140,22
453317,"40.68881,-73.95405",16,6
454334,"40.81669,-73.94267",12,8
454763,"40.86717,-73.9194",10,2
454929,"40.72981,-73.98318",130,10
455734,"40.86929,-73.92421",13,4
455801,"40.80533,-73.95204",39,6
456110,"40.7476,-73.99698",94,3
456190,"40.73357,-74.00723",91,20
456457,"40.73204,-74.00189",185,21
456526,"40.81713,-73.94217",12,6
457829,"40.72917,-73.98811",178,6
458154,"40.7061,-73.94531",8,8
458377,"40.70147,-73.94378",4,12
459066,"40.76719,-73.95303",45,7
460036,"40.74134,-73.98113",145,7
460999,"40.8162,-73.94747",11,6
461050,"40.71613,-73.95837",100,14
462454,"40.71746,-73.98782",152,23
463107,"40.66933,-73.93798",2,2
464231,"40.68905,-73.9541",16,6
465277,"40.67615,-73.95441",40,1
466277,"40.7111,-73.94643",52,5
466457,"40.68944,-73.9376",3,5
467569,"40.72106,-73.98384",113,16
467634,"40.67747,-73.76493",5,2
467866,"40.73123,-74.00591",148,21
468613,"40.72152,-73.99279",222,13
470090,"40.72147,-73.99208",215,14
470370,"40.66604,-73.95086",6,1
470498,"40.71012,-74.01504",58,15
470709,"40.71856,-73.95166",50,15
471712,"40.80661,-73.9576",35,15
471758,"40.72203,-74.00988",57,18
471845,"40.68229,-73.94287",13,6
471914,"40.65955,-73.96066",10,2
472052,"40.77137,-73.98943",29,13
472376,"40.67796,-73.96458",53,4
472546,"40.6933,-73.90823",24,2
473592,"40.7502,-73.94189",34,10
473777,"40.71285,-73.94383",35,4
474283,"40.76487,-73.98471",177,6
475216,"40.66387,-73.99077",31,3
476527,"40.72893,-73.98278",132,12
476570,"40.73009,-73.9827",117,10
476571,"40.72955,-73.98298",131,10
476899,"40.72693,-73.98521",158,14
476983,"40.82537,-73.94392",24,8
478053,"40.71137,-73.99403",116,27
478385,"40.74428,-73.97809",137,4
478832,"40.67579,-73.99968",18,8
478949,"40.74087,-74.00226",113,11
479002,"40.68723,-73.96897",40,8
479263,"40.7182,-73.95763",93,15
479285,"40.74679,-73.91853",21,23
479867,"40.71739,-73.95472",87,15
480549,"40.77099,-73.9898",27,12
481022,"40.7195,-73.98022",37,11
482365,"40.75636,-73.9939",165,3
482765,"40.68834,-73.97875",42,5
483414,"40.68586,-73.94837",8,6
483485,"40.71164,-74.00774",111,24
483505,"40.70743,-73.96728",12,11
484297,"40.68545,-73.96534",36,5
484312,"40.65854,-73.98384",13,5
484728,"40.61269,-74.03381",9,6
485026,"40.67858,-73.98537",47,3
486350,"40.70821,-73.95352",30,17
488083,"40.66158,-73.98954",30,3
489018,"40.72457,-73.98453",158,18
489365,"40.71689,-73.95706",101,13
489924,"40.66221,-73.99743",13,0
489965,"40.79313,-73.93493",19,4
490011,"40.68444,-73.99904",44,3
490278,"40.75632,-73.96464",63,12
490989,"40.67996,-73.98027",63,4
491123,"40.67369,-73.96589",31,6
491529,"40.67211,-73.976",32,5
491942,"40.79183,-73.97172",70,10
491977,"40.71456,-73.99978",155,21
493177,"40.71668,-73.99073",173,20
493611,"40.67862,-73.98561",44,3
494296,"40.68721,-74.00147",23,4
494937,"40.72162,-74.00414",96,13
495249,"40.75541,-73.89239",11,10
495348,"40.69011,-73.97691",38,9
496166,"40.66641,-73.98283",50,4
497370,"40.67828,-73.99136",23,3
498052,"40.71483,-73.96216",97,11
498120,"40.8687,-73.8524",0,2
498859,"40.5822,-73.96392",3,7
500845,"40.72686,-73.9797",82,14
500886,"40.68825,-73.92951",4,4
501041,"40.78451,-73.97882",79,4
501082,"40.82392,-73.94205",7,11
501098,"40.71384,-73.9474",59,7
501693,"40.7952,-73.9624",21,4
502132,"40.73942,-74.00009",98,12
502309,"40.65524,-73.95646",6,4
502429,"40.66153,-73.98554",36,3
503460,"40.59274,-74.16178",5,2
503529,"40.72701,-74.0011",161,22
503585,"40.68607,-73.95839",25,5
503722,"40.71345,-73.95689",87,17
503790,"40.73214,-74.00188",180,21
504322,"40.72903,-74.00028",181,19
